Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,0.53222176041196
272.5GHz,-180,1deg,0.0722973969833825
272.5GHz,-180,2deg,-0.780602262979384
272.5GHz,-180,3deg,-1.97986196617683
272.5GHz,-180,4deg,-3.47750562165033
272.5GHz,-180,5deg,-5.23954555607702
272.5GHz,-180,6deg,-7.25692830703585
272.5GHz,-180,7deg,-9.54611635420048
272.5GHz,-180,8deg,-12.1074526281158
272.5GHz,-180,9deg,-14.638431333095
272.5GHz,-180,10deg,-15.8314295536501
272.5GHz,-180,11deg,-14.7753259905486
272.5GHz,-180,12deg,-12.9596587759654
272.5GHz,-180,13deg,-11.3501626782278
272.5GHz,-180,14deg,-9.90801145012704
272.5GHz,-180,15deg,-8.43759028143756
272.5GHz,-180,16deg,-6.97635757021263
272.5GHz,-180,17deg,-5.72553640448658
272.5GHz,-180,18deg,-4.84304480683806
272.5GHz,-180,19deg,-4.38000484335239
272.5GHz,-180,20deg,-4.31384712130769
272.5GHz,-180,21deg,-4.59196943929627
272.5GHz,-180,22deg,-5.16332072502398
272.5GHz,-180,23deg,-5.99458708332801
272.5GHz,-180,24deg,-7.07075183421642
272.5GHz,-180,25deg,-8.38701178480004
272.5GHz,-180,26deg,-9.93540235207248
272.5GHz,-180,27deg,-11.6509633807445
272.5GHz,-180,28deg,-13.2213652281308
272.5GHz,-180,29deg,-13.8842316853467
272.5GHz,-180,30deg,-13.1913672335221
272.5GHz,-180,31deg,-11.8554707175741
272.5GHz,-180,32deg,-10.6508010696
272.5GHz,-180,33deg,-9.8354726557179
272.5GHz,-180,34deg,-9.37011619281081
272.5GHz,-180,35deg,-9.07016344597579
272.5GHz,-180,36deg,-8.69859343860893
272.5GHz,-180,37deg,-8.12533741048289
272.5GHz,-180,38deg,-7.44767151684561
272.5GHz,-180,39deg,-6.90108968817969
272.5GHz,-180,40deg,-6.70283023982966
272.5GHz,-180,41deg,-7.00044627910612
272.5GHz,-180,42deg,-7.89336795565551
272.5GHz,-180,43deg,-9.45758433053202
272.5GHz,-180,44deg,-11.7186257241026
272.5GHz,-180,45deg,-14.3901627457198
272.5GHz,-180,46deg,-16.0553243302381
272.5GHz,-180,47deg,-15.2501805446284
272.5GHz,-180,48deg,-13.4345852719441
272.5GHz,-180,49deg,-11.8973384416057
272.5GHz,-180,50deg,-10.8790120160218
272.5GHz,-180,51deg,-10.3725944133819
272.5GHz,-180,52deg,-10.3409698689209
272.5GHz,-180,53deg,-10.6920051552929
272.5GHz,-180,54deg,-11.1678003307678
272.5GHz,-180,55deg,-11.2729219833157
272.5GHz,-180,56deg,-10.6186727668327
272.5GHz,-180,57deg,-9.43523606135317
272.5GHz,-180,58deg,-8.24064694276647
272.5GHz,-180,59deg,-7.35586259492113
272.5GHz,-180,60deg,-6.89815286325391
272.5GHz,-180,61deg,-6.89518930938181
272.5GHz,-180,62deg,-7.3466178566655
272.5GHz,-180,63deg,-8.24201306493873
272.5GHz,-180,64deg,-9.54658645204475
272.5GHz,-180,65deg,-11.1311924561306
272.5GHz,-180,66deg,-12.5994782336361
272.5GHz,-180,67deg,-13.2100294314205
272.5GHz,-180,68deg,-12.5975995160278
272.5GHz,-180,69deg,-11.3224868926347
272.5GHz,-180,70deg,-10.0013703054602
272.5GHz,-180,71deg,-8.87897323150408
272.5GHz,-180,72deg,-7.99872857670722
272.5GHz,-180,73deg,-7.3421224708205
272.5GHz,-180,74deg,-6.87861579449869
272.5GHz,-180,75deg,-6.57933578233157
272.5GHz,-180,76deg,-6.41951281009833
272.5GHz,-180,77deg,-6.37785400747819
272.5GHz,-180,78deg,-6.43536969047719
272.5GHz,-180,79deg,-6.57440234880747
272.5GHz,-180,80deg,-6.77805579656233
272.5GHz,-180,81deg,-7.03004508351319
272.5GHz,-180,82deg,-7.31492002910193
272.5GHz,-180,83deg,-7.61856811216839
272.5GHz,-180,84deg,-7.92885396814819
272.5GHz,-180,85deg,-8.23621557457895
272.5GHz,-180,86deg,-8.53403895901746
272.5GHz,-180,87deg,-8.81869190734342
272.5GHz,-180,88deg,-9.0892002266527
272.5GHz,-180,89deg,-9.3466558989892
272.5GHz,-180,90deg,-9.59350986294173
272.5GHz,-180,91deg,-9.83290372703238
272.5GHz,-180,92deg,-10.0681480900118
272.5GHz,-180,93deg,-10.3023910474086
272.5GHz,-180,94deg,-10.5384654763167
272.5GHz,-180,95deg,-10.7788697967335
272.5GHz,-180,96deg,-11.0258234753896
272.5GHz,-180,97deg,-11.2813394012869
272.5GHz,-180,98deg,-11.5472644666338
272.5GHz,-180,99deg,-11.825253920491
272.5GHz,-180,100deg,-12.1166636985835
272.5GHz,-180,101deg,-12.4223690759802
272.5GHz,-180,102deg,-12.742549105377
272.5GHz,-180,103deg,-13.0765139926744
272.5GHz,-180,104deg,-13.4226905307677
272.5GHz,-180,105deg,-13.7789010541834
272.5GHz,-180,106deg,-14.1430412021021
272.5GHz,-180,107deg,-14.5141422757103
272.5GHz,-180,108deg,-14.8935816941877
272.5GHz,-180,109deg,-15.2859336391715
272.5GHz,-180,110deg,-15.6987550555913
272.5GHz,-180,111deg,-16.1405950518645
272.5GHz,-180,112deg,-16.6167169734977
272.5GHz,-180,113deg,-17.1224545129553
272.5GHz,-180,114deg,-17.6352104560923
272.5GHz,-180,115deg,-18.1089417047331
272.5GHz,-180,116deg,-18.479703933314
272.5GHz,-180,117deg,-18.6911655210992
272.5GHz,-180,118deg,-18.7324124384888
272.5GHz,-180,119deg,-18.6563455619122
