Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,-1.46628977342699
272.5GHz,-180,1deg,-2.19318523693805
272.5GHz,-180,2deg,-3.08612292594968
272.5GHz,-180,3deg,-4.06631916713739
272.5GHz,-180,4deg,-5.12073028167547
272.5GHz,-180,5deg,-6.30355989285389
272.5GHz,-180,6deg,-7.68636779776529
272.5GHz,-180,7deg,-9.18220997560333
272.5GHz,-180,8deg,-10.2074851712911
272.5GHz,-180,9deg,-9.96164158506809
272.5GHz,-180,10deg,-8.76972700909426
272.5GHz,-180,11deg,-7.48466626415765
272.5GHz,-180,12deg,-6.37727458757856
272.5GHz,-180,13deg,-5.370375403945
272.5GHz,-180,14deg,-4.44772330737483
272.5GHz,-180,15deg,-3.76570963865114
272.5GHz,-180,16deg,-3.53133790782832
272.5GHz,-180,17deg,-3.90060543694646
272.5GHz,-180,18deg,-4.97540386426336
272.5GHz,-180,19deg,-6.83922295726181
272.5GHz,-180,20deg,-9.59118002200042
272.5GHz,-180,21deg,-13.3271220631762
272.5GHz,-180,22deg,-17.6200556277742
272.5GHz,-180,23deg,-19.3262418629559
272.5GHz,-180,24deg,-17.2055169673017
272.5GHz,-180,25deg,-14.5011528714294
272.5GHz,-180,26deg,-11.9632657023947
272.5GHz,-180,27deg,-9.74459987104565
272.5GHz,-180,28deg,-8.04388459625477
272.5GHz,-180,29deg,-6.98858496764225
272.5GHz,-180,30deg,-6.61370170046053
272.5GHz,-180,31deg,-6.87329341813043
272.5GHz,-180,32deg,-7.61122466041638
272.5GHz,-180,33deg,-8.51059253410427
272.5GHz,-180,34deg,-9.1976028065499
272.5GHz,-180,35deg,-9.61991112904965
272.5GHz,-180,36deg,-10.1703957677021
272.5GHz,-180,37deg,-11.3698916577539
272.5GHz,-180,38deg,-13.7696017390506
272.5GHz,-180,39deg,-18.1402362881847
272.5GHz,-180,40deg,-21.4060517891565
272.5GHz,-180,41deg,-15.9239999784071
272.5GHz,-180,42deg,-11.7389719195761
272.5GHz,-180,43deg,-9.29985668009909
272.5GHz,-180,44deg,-8.00106934511678
272.5GHz,-180,45deg,-7.53421938618698
272.5GHz,-180,46deg,-7.66897396421245
272.5GHz,-180,47deg,-8.07783777547177
272.5GHz,-180,48deg,-8.24556169939992
272.5GHz,-180,49deg,-7.76725773992949
272.5GHz,-180,50deg,-6.81498688787978
272.5GHz,-180,51deg,-5.85567231060561
272.5GHz,-180,52deg,-5.18735463768448
272.5GHz,-180,53deg,-4.90941041028638
272.5GHz,-180,54deg,-5.02474950478674
272.5GHz,-180,55deg,-5.49967814572685
272.5GHz,-180,56deg,-6.28534250587688
272.5GHz,-180,57deg,-7.31999116473593
272.5GHz,-180,58deg,-8.51998219550623
272.5GHz,-180,59deg,-9.76562809159263
272.5GHz,-180,60deg,-10.9015264326961
272.5GHz,-180,61deg,-11.7858771856017
272.5GHz,-180,62deg,-12.3780171316799
272.5GHz,-180,63deg,-12.7597025316431
272.5GHz,-180,64deg,-13.0399770549546
272.5GHz,-180,65deg,-13.2409130590204
