Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,2.96124487115461
272.5GHz,-180,1deg,2.60588525431362
272.5GHz,-180,2deg,1.86682039362028
272.5GHz,-180,3deg,0.851898739702666
272.5GHz,-180,4deg,-0.257395311637661
272.5GHz,-180,5deg,-1.22882527636158
272.5GHz,-180,6deg,-1.91076384374445
272.5GHz,-180,7deg,-2.35998474462441
272.5GHz,-180,8deg,-2.76256885520655
272.5GHz,-180,9deg,-3.26060366216699
272.5GHz,-180,10deg,-3.895380327381
272.5GHz,-180,11deg,-4.66823021722022
272.5GHz,-180,12deg,-5.63093913219397
272.5GHz,-180,13deg,-6.92149120340727
272.5GHz,-180,14deg,-8.72137253255799
272.5GHz,-180,15deg,-11.149032065974
272.5GHz,-180,16deg,-13.9096578760202
272.5GHz,-180,17deg,-15.4243280325448
272.5GHz,-180,18deg,-14.4636930814716
272.5GHz,-180,19deg,-12.6890096827777
272.5GHz,-180,20deg,-11.1730121430792
272.5GHz,-180,21deg,-10.0269716914092
272.5GHz,-180,22deg,-9.19626570198382
272.5GHz,-180,23deg,-8.6572643195286
272.5GHz,-180,24deg,-8.42942546086603
272.5GHz,-180,25deg,-8.56118298312255
272.5GHz,-180,26deg,-9.11424120078104
272.5GHz,-180,27deg,-10.1356784827549
272.5GHz,-180,28deg,-11.5780275110535
272.5GHz,-180,29deg,-13.0901598360831
272.5GHz,-180,30deg,-13.8764936526023
272.5GHz,-180,31deg,-13.5806378502425
272.5GHz,-180,32deg,-12.9752897380907
272.5GHz,-180,33deg,-12.8359442174088
272.5GHz,-180,34deg,-13.502910246918
272.5GHz,-180,35deg,-15.131739825253
272.5GHz,-180,36deg,-17.833924903909
272.5GHz,-180,37deg,-21.5538013161121
272.5GHz,-180,38deg,-25.2176057477741
272.5GHz,-180,39deg,-26.4881490693578
272.5GHz,-180,40deg,-25.5897052156017
272.5GHz,-180,41deg,-23.0044581477858
272.5GHz,-180,42deg,-19.4969310657966
272.5GHz,-180,43deg,-16.2794216755735
272.5GHz,-180,44deg,-13.6902923486198
272.5GHz,-180,45deg,-11.6645284713821
272.5GHz,-180,46deg,-10.0925092047679
272.5GHz,-180,47deg,-8.90534928212354
272.5GHz,-180,48deg,-8.07601438294895
272.5GHz,-180,49deg,-7.60092842445474
272.5GHz,-180,50deg,-7.48383489508865
272.5GHz,-180,51deg,-7.72794394716173
272.5GHz,-180,52deg,-8.33498521188569
272.5GHz,-180,53deg,-9.30748262269769
272.5GHz,-180,54deg,-10.648713687454
