Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,3.38379008467889
272.5GHz,-180,1deg,3.21279381359033
272.5GHz,-180,2deg,2.80509874340332
272.5GHz,-180,3deg,2.18310860878447
272.5GHz,-180,4deg,1.37419230504296
272.5GHz,-180,5deg,0.397917021791262
272.5GHz,-180,6deg,-0.748240441195392
272.5GHz,-180,7deg,-2.09870476078221
272.5GHz,-180,8deg,-3.72292460241687
272.5GHz,-180,9deg,-5.72754349282308
272.5GHz,-180,10deg,-8.27241676538749
272.5GHz,-180,11deg,-11.6403274717156
272.5GHz,-180,12deg,-16.5413419813923
272.5GHz,-180,13deg,-26.3189572485501
272.5GHz,-180,14deg,-26.5021616890756
272.5GHz,-180,15deg,-17.2884636880008
272.5GHz,-180,16deg,-12.9043332526959
272.5GHz,-180,17deg,-10.0696544938436
272.5GHz,-180,18deg,-8.12301707622279
272.5GHz,-180,19deg,-6.82660797507265
272.5GHz,-180,20deg,-6.05644078086742
272.5GHz,-180,21deg,-5.72824319439582
272.5GHz,-180,22deg,-5.77567032135683
272.5GHz,-180,23deg,-6.14374044336561
272.5GHz,-180,24deg,-6.78973246784184
272.5GHz,-180,25deg,-7.68915663913234
272.5GHz,-180,26deg,-8.84061655894097
272.5GHz,-180,27deg,-10.2575894528263
272.5GHz,-180,28deg,-11.9331275152516
272.5GHz,-180,29deg,-13.7648949104346
272.5GHz,-180,30deg,-15.460142219483
272.5GHz,-180,31deg,-16.604427806925
272.5GHz,-180,32deg,-17.0931992297575
272.5GHz,-180,33deg,-17.3301886685692
272.5GHz,-180,34deg,-17.8404840512408
272.5GHz,-180,35deg,-19.0627906399732
272.5GHz,-180,36deg,-21.4981958307956
272.5GHz,-180,37deg,-26.1916827940178
272.5GHz,-180,38deg,-37.1134538024793
272.5GHz,-180,39deg,-31.9873792791056
272.5GHz,-180,40deg,-26.9828965917671
272.5GHz,-180,41deg,-26.4333013480318
272.5GHz,-180,42deg,-29.1570130537226
272.5GHz,-180,43deg,-30.0126926586814
272.5GHz,-180,44deg,-23.4688315538429
272.5GHz,-180,45deg,-18.9612714314075
272.5GHz,-180,46deg,-16.3003233650557
272.5GHz,-180,47deg,-14.8768150869942
272.5GHz,-180,48deg,-14.3998201731104
272.5GHz,-180,49deg,-14.7343499685122
272.5GHz,-180,50deg,-15.8287623524153
272.5GHz,-180,51deg,-17.6285036533385
272.5GHz,-180,52deg,-19.651330750514
272.5GHz,-180,53deg,-19.916999275674
272.5GHz,-180,54deg,-17.4913998978947
272.5GHz,-180,55deg,-14.5709021677229
272.5GHz,-180,56deg,-12.165933336149
272.5GHz,-180,57deg,-10.3555584645398
272.5GHz,-180,58deg,-9.07310446657173
272.5GHz,-180,59deg,-8.25734095552626
272.5GHz,-180,60deg,-7.86629784490174
272.5GHz,-180,61deg,-7.87345831683385
272.5GHz,-180,62deg,-8.26349190367232
272.5GHz,-180,63deg,-9.02796461948275
272.5GHz,-180,64deg,-10.1569694049146
272.5GHz,-180,65deg,-11.6154095340011
272.5GHz,-180,66deg,-13.2761670304509
272.5GHz,-180,67deg,-14.7817293361927
272.5GHz,-180,68deg,-15.5147952407564
272.5GHz,-180,69deg,-15.171009612832
272.5GHz,-180,70deg,-14.1919913431694
272.5GHz,-180,71deg,-13.1233992058335
272.5GHz,-180,72deg,-12.218376009888
272.5GHz,-180,73deg,-11.5412663848925
272.5GHz,-180,74deg,-11.0881961934968
272.5GHz,-180,75deg,-10.8375295569235
272.5GHz,-180,76deg,-10.7660682860874
272.5GHz,-180,77deg,-10.8532271319291
272.5GHz,-180,78deg,-11.0813963292563
272.5GHz,-180,79deg,-11.4352168894118
272.5GHz,-180,80deg,-11.9006396140338
272.5GHz,-180,81deg,-12.4640274619527
272.5GHz,-180,82deg,-13.1113689792986
272.5GHz,-180,83deg,-13.8276302639481
272.5GHz,-180,84deg,-14.5962962184173
272.5GHz,-180,85deg,-15.3992035358627
272.5GHz,-180,86deg,-16.2168179461524
272.5GHz,-180,87deg,-17.0291105449522
272.5GHz,-180,88deg,-17.8170831673343
272.5GHz,-180,89deg,-18.5647507885314
272.5GHz,-180,90deg,-19.2610823485048
272.5GHz,-180,91deg,-19.9012290267833
272.5GHz,-180,92deg,-20.4865291738146
272.5GHz,-180,93deg,-21.0232506021324
272.5GHz,-180,94deg,-21.5205231486345
272.5GHz,-180,95deg,-21.9881125103585
272.5GHz,-180,96deg,-22.4345243562284
272.5GHz,-180,97deg,-22.865584837737
272.5GHz,-180,98deg,-23.2833408606179
272.5GHz,-180,99deg,-23.6849917192799
272.5GHz,-180,100deg,-24.0616717406445
272.5GHz,-180,101deg,-24.3973308199986
272.5GHz,-180,102deg,-24.6687472551762
272.5GHz,-180,103deg,-24.8485421872941
272.5GHz,-180,104deg,-24.9128252211259
272.5GHz,-180,105deg,-24.8523358809081
272.5GHz,-180,106deg,-24.6815742636867
272.5GHz,-180,107deg,-24.4394221679338
272.5GHz,-180,108deg,-24.1802733271354
272.5GHz,-180,109deg,-23.9612258827266
272.5GHz,-180,110deg,-23.8313812010693
272.5GHz,-180,111deg,-23.8250140153096
272.5GHz,-180,112deg,-23.9568117891165
272.5GHz,-180,113deg,-24.2169015468061
272.5GHz,-180,114deg,-24.565903336197
272.5GHz,-180,115deg,-24.9358870852222
272.5GHz,-180,116deg,-25.2489892078234
272.5GHz,-180,117deg,-25.4581706294639
272.5GHz,-180,118deg,-25.58515062919
272.5GHz,-180,119deg,-25.7172147787985
272.5GHz,-180,120deg,-25.9653673631056
272.5GHz,-180,121deg,-26.4215157896328
272.5GHz,-180,122deg,-27.1325350849797
272.5GHz,-180,123deg,-28.0800688817548
272.5GHz,-180,124deg,-29.1554205132272
272.5GHz,-180,125deg,-30.1540403234031
272.5GHz,-180,126deg,-30.857546675922
272.5GHz,-180,127deg,-31.1785752075684
272.5GHz,-180,128deg,-31.1607004305915
272.5GHz,-180,129deg,-30.8407850211555
272.5GHz,-180,130deg,-30.2494852229185
272.5GHz,-180,131deg,-29.5355800177917
272.5GHz,-180,132deg,-28.9593626152056
272.5GHz,-180,133deg,-28.7639154659928
272.5GHz,-180,134deg,-29.0811645003295
272.5GHz,-180,135deg,-29.8339961812308
272.5GHz,-180,136deg,-30.5165752994193
272.5GHz,-180,137deg,-30.2927377672483
272.5GHz,-180,138deg,-29.1749077650497
272.5GHz,-180,139deg,-28.0454203592804
272.5GHz,-180,140deg,-27.4836524041153
272.5GHz,-180,141deg,-27.6733474325261
272.5GHz,-180,142deg,-28.6463987674436
272.5GHz,-180,143deg,-30.3839704896427
272.5GHz,-180,144deg,-32.8222869429682
272.5GHz,-180,145deg,-35.6420812623188
272.5GHz,-180,146deg,-37.1138643362061
272.5GHz,-180,147deg,-35.2641897143931
272.5GHz,-180,148deg,-32.5612134558055
272.5GHz,-180,149deg,-30.7400673086966
272.5GHz,-180,150deg,-30.0717061128395
272.5GHz,-180,151deg,-30.5162847534555
272.5GHz,-180,152deg,-31.7376693240292
272.5GHz,-180,153deg,-32.6245701321945
272.5GHz,-180,154deg,-32.1578130898283
272.5GHz,-180,155deg,-31.2129201591455
272.5GHz,-180,156deg,-30.4223930407886
272.5GHz,-180,157deg,-29.1552114332044
272.5GHz,-180,158deg,-27.1165274275448
272.5GHz,-180,159deg,-25.140539025455
272.5GHz,-180,160deg,-23.908050124196
272.5GHz,-180,161deg,-23.6412310267858
272.5GHz,-180,162deg,-24.3973058756454
272.5GHz,-180,163deg,-26.2304467113752
272.5GHz,-180,164deg,-29.289597555544
272.5GHz,-180,165deg,-33.9118601342979
272.5GHz,-180,166deg,-38.599883593299
272.5GHz,-180,167deg,-35.7032003850058
272.5GHz,-180,168deg,-32.1366214883476
272.5GHz,-180,169deg,-30.2381809495491
272.5GHz,-180,170deg,-29.2321765300304
272.5GHz,-180,171deg,-28.0525004285046
272.5GHz,-180,172deg,-26.1057856190563
272.5GHz,-180,173deg,-23.881041805917
272.5GHz,-180,174deg,-21.9152280350331
272.5GHz,-180,175deg,-20.3438315179173
272.5GHz,-180,176deg,-19.149538244211
272.5GHz,-180,177deg,-18.3145589947779
272.5GHz,-180,178deg,-17.8166125523206
272.5GHz,-180,179deg,-17.5849651826399
272.5GHz,-180,180deg,-17.5130505053162
272.5GHz,-179,0deg,3.38379008467889
