Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,2.16243328991619
272.5GHz,-180,1deg,1.62490454911099
272.5GHz,-180,2deg,0.444037314654186
272.5GHz,-180,3deg,-1.26244559396194
272.5GHz,-180,4deg,-3.01673545269004
272.5GHz,-180,5deg,-3.75743265492068
272.5GHz,-180,6deg,-3.05424829896068
272.5GHz,-180,7deg,-1.85266580768533
272.5GHz,-180,8deg,-0.873495603757764
272.5GHz,-180,9deg,-0.270624116332895
272.5GHz,-180,10deg,0.00161553595199309
272.5GHz,-180,11deg,-0.00440420533456432
272.5GHz,-180,12deg,-0.296271770761396
272.5GHz,-180,13deg,-0.937672698984277
272.5GHz,-180,14deg,-2.00547039742632
272.5GHz,-180,15deg,-3.53860974134685
272.5GHz,-180,16deg,-5.48200891345221
272.5GHz,-180,17deg,-7.619311471616
272.5GHz,-180,18deg,-9.57404129091661
272.5GHz,-180,19deg,-11.039805406199
272.5GHz,-180,20deg,-11.9837274906816
272.5GHz,-180,21deg,-12.3947393499029
272.5GHz,-180,22deg,-12.1343644705493
272.5GHz,-180,23deg,-11.2967550984133
272.5GHz,-180,24deg,-10.3257858971674
272.5GHz,-180,25deg,-9.68053554750007
272.5GHz,-180,26deg,-9.68375950735892
272.5GHz,-180,27deg,-10.5986445086582
272.5GHz,-180,28deg,-12.7381017211247
272.5GHz,-180,29deg,-16.3182516587024
272.5GHz,-180,30deg,-18.4006017381699
272.5GHz,-180,31deg,-15.1383973199374
272.5GHz,-180,32deg,-12.2500035415274
272.5GHz,-180,33deg,-10.8959946002426
272.5GHz,-180,34deg,-10.8379968109503
272.5GHz,-180,35deg,-11.9517243346595
272.5GHz,-180,36deg,-14.193174879131
272.5GHz,-180,37deg,-17.0258325370118
272.5GHz,-180,38deg,-17.7662398399045
272.5GHz,-180,39deg,-15.6832231749371
272.5GHz,-180,40deg,-13.6810848154004
272.5GHz,-180,41deg,-12.5543592801195
272.5GHz,-180,42deg,-12.2150806747594
272.5GHz,-180,43deg,-12.4243311816555
272.5GHz,-180,44deg,-12.714313102943
272.5GHz,-180,45deg,-12.3568227734096
272.5GHz,-180,46deg,-11.0752004097433
272.5GHz,-180,47deg,-9.42986529153559
272.5GHz,-180,48deg,-7.98521675329743
272.5GHz,-180,49deg,-6.96049976484441
272.5GHz,-180,50deg,-6.38835522480927
272.5GHz,-180,51deg,-6.24054427421008
272.5GHz,-180,52deg,-6.47688688106511
272.5GHz,-180,53deg,-7.06408421680644
272.5GHz,-180,54deg,-7.98585932198639
272.5GHz,-180,55deg,-9.24927031473699
272.5GHz,-180,56deg,-10.8838584146063
272.5GHz,-180,57deg,-12.9193605552844
272.5GHz,-180,58deg,-15.2893091333532
272.5GHz,-180,59deg,-17.525571889087
272.5GHz,-180,60deg,-18.5167683985318
272.5GHz,-180,61deg,-17.906786485239
272.5GHz,-180,62deg,-16.7575138375423
272.5GHz,-180,63deg,-15.7714110830979
272.5GHz,-180,64deg,-15.0447426028342
272.5GHz,-180,65deg,-14.4529586023161
272.5GHz,-180,66deg,-13.8362553823256
272.5GHz,-180,67deg,-13.0960012507283
272.5GHz,-180,68deg,-12.235436333626
272.5GHz,-180,69deg,-11.3276474076797
272.5GHz,-180,70deg,-10.4546517521016
272.5GHz,-180,71deg,-9.67226704954846
272.5GHz,-180,72deg,-9.00606272733085
272.5GHz,-180,73deg,-8.46001043159279
272.5GHz,-180,74deg,-8.0256931253326
272.5GHz,-180,75deg,-7.68871765226004
272.5GHz,-180,76deg,-7.43258683989261
272.5GHz,-180,77deg,-7.24093927115359
272.5GHz,-180,78deg,-7.09885495884624
272.5GHz,-180,79deg,-6.99362684997964
272.5GHz,-180,80deg,-6.91518571558971
272.5GHz,-180,81deg,-6.85624826564204
272.5GHz,-180,82deg,-6.81221417220683
272.5GHz,-180,83deg,-6.7808419167487
272.5GHz,-180,84deg,-6.76175897968747
272.5GHz,-180,85deg,-6.75588442201857
272.5GHz,-180,86deg,-6.7648467081706
272.5GHz,-180,87deg,-6.79046524333333
272.5GHz,-180,88deg,-6.83433893470703
272.5GHz,-180,89deg,-6.8975601681783
272.5GHz,-180,90deg,-6.98055567808898
272.5GHz,-180,91deg,-7.08304921315531
272.5GHz,-180,92deg,-7.20414241916564
272.5GHz,-180,93deg,-7.34251497966082
272.5GHz,-180,94deg,-7.49674666875683
272.5GHz,-180,95deg,-7.66575679248976
272.5GHz,-180,96deg,-7.84933700034849
272.5GHz,-180,97deg,-8.048722895626
272.5GHz,-180,98deg,-8.26711604597542
272.5GHz,-180,99deg,-8.5100434692603
272.5GHz,-180,100deg,-8.78543689603693
272.5GHz,-180,101deg,-9.10332783583641
272.5GHz,-180,102deg,-9.47506853029494
272.5GHz,-180,103deg,-9.91197405741078
272.5GHz,-180,104deg,-10.4232158998228
272.5GHz,-180,105deg,-11.0127043813243
272.5GHz,-180,106deg,-11.6747152165012
272.5GHz,-180,107deg,-12.3885409502907
272.5GHz,-180,108deg,-13.1142284867453
272.5GHz,-180,109deg,-13.7948520190952
272.5GHz,-180,110deg,-14.3727079713974
272.5GHz,-180,111deg,-14.8187997703343
272.5GHz,-180,112deg,-15.1562710104664
272.5GHz,-180,113deg,-15.4544839057865
272.5GHz,-180,114deg,-15.796731137844
272.5GHz,-180,115deg,-16.2446254111138
272.5GHz,-180,116deg,-16.811325996176
272.5GHz,-180,117deg,-17.4420554987987
272.5GHz,-180,118deg,-18.0114697547963
272.5GHz,-180,119deg,-18.3742002067136
272.5GHz,-180,120deg,-18.4748030375394
272.5GHz,-180,121deg,-18.4060696107497
272.5GHz,-180,122deg,-18.3297099853616
272.5GHz,-180,123deg,-18.3600260544409
272.5GHz,-180,124deg,-18.5096408533445
272.5GHz,-180,125deg,-18.695880761537
272.5GHz,-180,126deg,-18.8071356352128
272.5GHz,-180,127deg,-18.82195798538
272.5GHz,-180,128deg,-18.878798418129
272.5GHz,-180,129deg,-19.2191015999188
272.5GHz,-180,130deg,-20.0949883274579
272.5GHz,-180,131deg,-21.7062023670389
272.5GHz,-180,132deg,-23.9649232445014
272.5GHz,-180,133deg,-25.494046045087
272.5GHz,-180,134deg,-24.4716337016002
272.5GHz,-180,135deg,-22.7531842539752
272.5GHz,-180,136deg,-22.0134870797474
272.5GHz,-180,137deg,-22.692256175353
272.5GHz,-180,138deg,-25.1628248521892
272.5GHz,-180,139deg,-29.8754314458612
272.5GHz,-180,140deg,-31.1313216310622
272.5GHz,-180,141deg,-26.8191223663976
272.5GHz,-180,142deg,-24.6390477746068
272.5GHz,-180,143deg,-24.358330790876
272.5GHz,-180,144deg,-25.0081639989634
272.5GHz,-180,145deg,-24.9750369137073
272.5GHz,-180,146deg,-23.8522154467174
272.5GHz,-180,147deg,-23.1516242538198
272.5GHz,-180,148deg,-23.7850568112269
272.5GHz,-180,149deg,-25.624828086408
272.5GHz,-180,150deg,-26.1314312840403
272.5GHz,-180,151deg,-23.8475823761051
272.5GHz,-180,152deg,-22.119096899426
272.5GHz,-180,153deg,-22.1897703387121
272.5GHz,-180,154deg,-24.447124939634
272.5GHz,-180,155deg,-29.1813552159058
272.5GHz,-180,156deg,-29.8549040610453
272.5GHz,-180,157deg,-26.3131236624304
272.5GHz,-180,158deg,-25.7346139822322
272.5GHz,-180,159deg,-28.7546173784967
272.5GHz,-180,160deg,-33.6806632349762
272.5GHz,-180,161deg,-26.8915335275498
272.5GHz,-180,162deg,-22.6376120705086
272.5GHz,-180,163deg,-20.8949345807973
272.5GHz,-180,164deg,-20.4423000491809
272.5GHz,-180,165deg,-20.4153370052596
272.5GHz,-180,166deg,-20.4820540848162
272.5GHz,-180,167deg,-20.9749213914828
272.5GHz,-180,168deg,-21.7999697655777
272.5GHz,-180,169deg,-21.2878818248834
272.5GHz,-180,170deg,-19.2506876224879
272.5GHz,-180,171deg,-17.8490530208747
272.5GHz,-180,172deg,-18.1392586119265
272.5GHz,-180,173deg,-20.8033826697511
272.5GHz,-180,174deg,-26.7922603666964
272.5GHz,-180,175deg,-24.8553900708226
272.5GHz,-180,176deg,-19.7686522057831
272.5GHz,-180,177deg,-17.7624903616247
272.5GHz,-180,178deg,-17.6397275165154
272.5GHz,-180,179deg,-18.6197245818895
272.5GHz,-180,180deg,-19.8512441808031
272.5GHz,-179,0deg,2.16243328991619
272.5GHz,-179,1deg,1.59565840763583
272.5GHz,-179,2deg,0.390593096610632
272.5GHz,-179,3deg,-1.32923734877011
272.5GHz,-179,4deg,-3.0821787298864
272.5GHz,-179,5deg,-3.83337118957743
272.5GHz,-179,6deg,-3.18334807280442
272.5GHz,-179,7deg,-2.04605361534694
272.5GHz,-179,8deg,-1.11697252379574
272.5GHz,-179,9deg,-0.543959446647708
272.5GHz,-179,10deg,-0.279547044766452
272.5GHz,-179,11deg,-0.27175176200461
272.5GHz,-179,12deg,-0.529426340975537
272.5GHz,-179,13deg,-1.11373608758781
272.5GHz,-179,14deg,-2.09089257688572
272.5GHz,-179,15deg,-3.4809061170016
272.5GHz,-179,16deg,-5.21247649372498
272.5GHz,-179,17deg,-7.0967130812762
272.5GHz,-179,18deg,-8.88899202882745
272.5GHz,-179,19deg,-10.4671049397097
272.5GHz,-179,20deg,-11.8731332369703
272.5GHz,-179,21deg,-13.0279800013154
272.5GHz,-179,22deg,-13.4990553280322
272.5GHz,-179,23deg,-12.9967120223827
272.5GHz,-179,24deg,-12.0015550179207
272.5GHz,-179,25deg,-11.2024110302135
272.5GHz,-179,26deg,-10.998299820465
272.5GHz,-179,27deg,-11.5754782544476
272.5GHz,-179,28deg,-12.9760547032634
272.5GHz,-179,29deg,-14.8042823965966
272.5GHz,-179,30deg,-15.5242641509736
272.5GHz,-179,31deg,-14.3120234479857
272.5GHz,-179,32deg,-12.8443595777157
