Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,-1.79567713463688
272.5GHz,-180,1deg,-2.1776197223988
272.5GHz,-180,2deg,-2.45642135613893
272.5GHz,-180,3deg,-2.68052078468773
272.5GHz,-180,4deg,-2.9449902956017
272.5GHz,-180,5deg,-3.33004058226361
272.5GHz,-180,6deg,-3.869279822411
272.5GHz,-180,7deg,-4.55175668749804
272.5GHz,-180,8deg,-5.3583481020156
272.5GHz,-180,9deg,-6.3239562545036
272.5GHz,-180,10deg,-7.57842748729987
272.5GHz,-180,11deg,-9.31616755759185
272.5GHz,-180,12deg,-11.6579683737617
272.5GHz,-180,13deg,-14.1565696965483
272.5GHz,-180,14deg,-15.0251655427491
272.5GHz,-180,15deg,-13.7732101822056
272.5GHz,-180,16deg,-12.1654627922945
272.5GHz,-180,17deg,-10.7714856566881
272.5GHz,-180,18deg,-9.39941773065749
272.5GHz,-180,19deg,-7.95082904973201
272.5GHz,-180,20deg,-6.57519518694509
272.5GHz,-180,21deg,-5.46781369661634
272.5GHz,-180,22deg,-4.73616584833576
272.5GHz,-180,23deg,-4.40251937304771
272.5GHz,-180,24deg,-4.43701095462062
272.5GHz,-180,25deg,-4.77754711702926
272.5GHz,-180,26deg,-5.33912318695273
272.5GHz,-180,27deg,-6.02453819384651
272.5GHz,-180,28deg,-6.7442883093652
272.5GHz,-180,29deg,-7.43823612293304
272.5GHz,-180,30deg,-8.07802906385258
272.5GHz,-180,31deg,-8.64668118292507
272.5GHz,-180,32deg,-9.13093615693174
272.5GHz,-180,33deg,-9.56020362929381
272.5GHz,-180,34deg,-10.059515933106
272.5GHz,-180,35deg,-10.8517194660252
272.5GHz,-180,36deg,-12.2243046483176
272.5GHz,-180,37deg,-14.5382256027496
272.5GHz,-180,38deg,-18.2888470019223
272.5GHz,-180,39deg,-23.1311470206529
272.5GHz,-180,40deg,-22.1552060815014
272.5GHz,-180,41deg,-18.5711326448329
272.5GHz,-180,42deg,-16.5088606990136
272.5GHz,-180,43deg,-15.3495150573656
272.5GHz,-180,44deg,-14.2435160925775
272.5GHz,-180,45deg,-12.70512801708
272.5GHz,-180,46deg,-10.9304251983105
272.5GHz,-180,47deg,-9.33515043183814
272.5GHz,-180,48deg,-8.14659775619057
272.5GHz,-180,49deg,-7.42758931684877
272.5GHz,-180,50deg,-7.17503448173176
272.5GHz,-180,51deg,-7.36847506653764
272.5GHz,-180,52deg,-7.97999350129828
272.5GHz,-180,53deg,-8.95180831930674
272.5GHz,-180,54deg,-10.1222340605083
272.5GHz,-180,55deg,-11.0986426057967
272.5GHz,-180,56deg,-11.3230437885355
272.5GHz,-180,57deg,-10.6645541217664
272.5GHz,-180,58deg,-9.60969954349617
272.5GHz,-180,59deg,-8.63903492089944
272.5GHz,-180,60deg,-7.97061381850788
272.5GHz,-180,61deg,-7.6668795233027
272.5GHz,-180,62deg,-7.73146954964193
272.5GHz,-180,63deg,-8.1471205605446
272.5GHz,-180,64deg,-8.88240655303392
272.5GHz,-180,65deg,-9.88085004073928
272.5GHz,-180,66deg,-11.0348652348059
272.5GHz,-180,67deg,-12.1550490838357
272.5GHz,-180,68deg,-12.9879899993375
272.5GHz,-180,69deg,-13.3546471208161
272.5GHz,-180,70deg,-13.3009680450384
272.5GHz,-180,71deg,-13.0325670280758
272.5GHz,-180,72deg,-12.73852398463
272.5GHz,-180,73deg,-12.5197030346692
272.5GHz,-180,74deg,-12.406584564625
272.5GHz,-180,75deg,-12.3915095422356
272.5GHz,-180,76deg,-12.4506072836722
272.5GHz,-180,77deg,-12.5563266576141
272.5GHz,-180,78deg,-12.6844963043831
272.5GHz,-180,79deg,-12.8179714024602
272.5GHz,-180,80deg,-12.9476545516149
272.5GHz,-180,81deg,-13.0714965690907
272.5GHz,-180,82deg,-13.1923455536736
272.5GHz,-180,83deg,-13.3155917200547
272.5GHz,-180,84deg,-13.4472772414627
272.5GHz,-180,85deg,-13.592913709888
272.5GHz,-180,86deg,-13.7569264201804
272.5GHz,-180,87deg,-13.9425120205533
272.5GHz,-180,88deg,-14.1517040920802
272.5GHz,-180,89deg,-14.3855067162944
272.5GHz,-180,90deg,-14.6440233518098
272.5GHz,-180,91deg,-14.9265563749113
272.5GHz,-180,92deg,-15.23168109406
272.5GHz,-180,93deg,-15.5573135916953
272.5GHz,-180,94deg,-15.9008004902348
272.5GHz,-180,95deg,-16.2590632612924
272.5GHz,-180,96deg,-16.6288284499949
272.5GHz,-180,97deg,-17.0069632968465
272.5GHz,-180,98deg,-17.3909078450093
272.5GHz,-180,99deg,-17.7791469480802
272.5GHz,-180,100deg,-18.1716034584572
272.5GHz,-180,101deg,-18.5697708824647
272.5GHz,-180,102deg,-18.9763564990911
272.5GHz,-180,103deg,-19.3941838507498
