Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,1.08128225090524
272.5GHz,-180,1deg,0.438103846344009
272.5GHz,-180,2deg,-0.987263579436477
272.5GHz,-180,3deg,-3.37794033739836
272.5GHz,-180,4deg,-7.2420836760962
272.5GHz,-180,5deg,-13.6956883182784
272.5GHz,-180,6deg,-14.091437220231
272.5GHz,-180,7deg,-7.91408272579365
272.5GHz,-180,8deg,-4.30149124670529
272.5GHz,-180,9deg,-2.12675906269081
272.5GHz,-180,10deg,-0.869520902073034
272.5GHz,-180,11deg,-0.364554236394421
272.5GHz,-180,12deg,-0.607804085643422
272.5GHz,-180,13deg,-1.7023893633579
272.5GHz,-180,14deg,-3.89061187885905
272.5GHz,-180,15deg,-7.74270809400311
272.5GHz,-180,16deg,-14.7399601157263
272.5GHz,-180,17deg,-16.4492078542351
272.5GHz,-180,18deg,-10.0744984671728
272.5GHz,-180,19deg,-6.93277104111111
272.5GHz,-180,20deg,-5.37848235487048
272.5GHz,-180,21deg,-4.71018752958566
272.5GHz,-180,22deg,-4.63426277322589
272.5GHz,-180,23deg,-5.03638392366553
272.5GHz,-180,24deg,-5.90775285177836
272.5GHz,-180,25deg,-7.30837228489573
272.5GHz,-180,26deg,-9.30169881955791
272.5GHz,-180,27deg,-11.6409625555768
272.5GHz,-180,28deg,-12.8490316387146
272.5GHz,-180,29deg,-11.6110472496628
272.5GHz,-180,30deg,-9.70570535119184
272.5GHz,-180,31deg,-8.42867937544603
272.5GHz,-180,32deg,-8.00135117219386
272.5GHz,-180,33deg,-8.41484793477425
272.5GHz,-180,34deg,-9.64397710648358
272.5GHz,-180,35deg,-11.6185584289347
272.5GHz,-180,36deg,-13.9931631167158
272.5GHz,-180,37deg,-15.7489991460655
272.5GHz,-180,38deg,-16.0305443533227
272.5GHz,-180,39deg,-15.5584233439556
272.5GHz,-180,40deg,-14.9844362150616
272.5GHz,-180,41deg,-14.1496230112976
272.5GHz,-180,42deg,-12.8933969764399
272.5GHz,-180,43deg,-11.5111594998665
272.5GHz,-180,44deg,-10.3894692728172
272.5GHz,-180,45deg,-9.71715905892939
272.5GHz,-180,46deg,-9.51043438960801
272.5GHz,-180,47deg,-9.66713302405699
272.5GHz,-180,48deg,-9.97387684822834
272.5GHz,-180,49deg,-10.1428516205904
272.5GHz,-180,50deg,-9.98141476286346
272.5GHz,-180,51deg,-9.56300354465505
272.5GHz,-180,52deg,-9.13516229889937
272.5GHz,-180,53deg,-8.92165057814155
272.5GHz,-180,54deg,-9.0592353265283
272.5GHz,-180,55deg,-9.62673249467116
272.5GHz,-180,56deg,-10.677534726256
272.5GHz,-180,57deg,-12.2365368947076
272.5GHz,-180,58deg,-14.1925896170226
272.5GHz,-180,59deg,-15.9123225402496
272.5GHz,-180,60deg,-16.0990627678708
272.5GHz,-180,61deg,-14.7288225272022
272.5GHz,-180,62deg,-13.0929866846848
272.5GHz,-180,63deg,-11.8355260675707
272.5GHz,-180,64deg,-11.0675320706682
272.5GHz,-180,65deg,-10.7615276535648
272.5GHz,-180,66deg,-10.867125368924
272.5GHz,-180,67deg,-11.3237907467681
272.5GHz,-180,68deg,-12.0377161931203
272.5GHz,-180,69deg,-12.8345010995355
272.5GHz,-180,70deg,-13.421419833955
272.5GHz,-180,71deg,-13.4833933367884
272.5GHz,-180,72deg,-12.9474016556196
272.5GHz,-180,73deg,-12.0441079569455
272.5GHz,-180,74deg,-11.0543798669095
272.5GHz,-180,75deg,-10.1448826474254
272.5GHz,-180,76deg,-9.37911646865704
272.5GHz,-180,77deg,-8.76667688010622
272.5GHz,-180,78deg,-8.29489541372514
272.5GHz,-180,79deg,-7.94380413982314
272.5GHz,-180,80deg,-7.69254781019535
272.5GHz,-180,81deg,-7.52203772424442
272.5GHz,-180,82deg,-7.41599821836554
272.5GHz,-180,83deg,-7.36128066782278
272.5GHz,-180,84deg,-7.34778740248219
272.5GHz,-180,85deg,-7.36815094031444
272.5GHz,-180,86deg,-7.41725650845448
272.5GHz,-180,87deg,-7.49168673965657
272.5GHz,-180,88deg,-7.58916538364987
272.5GHz,-180,89deg,-7.70806740731022
272.5GHz,-180,90deg,-7.84704599848207
272.5GHz,-180,91deg,-8.00480801169615
272.5GHz,-180,92deg,-8.18005247730478
272.5GHz,-180,93deg,-8.37157234369956
272.5GHz,-180,94deg,-8.57850485168988
272.5GHz,-180,95deg,-8.80069740985414
272.5GHz,-180,96deg,-9.03913247230445
272.5GHz,-180,97deg,-9.29632998041165
272.5GHz,-180,98deg,-9.57662633660845
272.5GHz,-180,99deg,-9.88622104224738
272.5GHz,-180,100deg,-10.2328859459236
272.5GHz,-180,101deg,-10.6252375456722
272.5GHz,-180,102deg,-11.0714647814931
272.5GHz,-180,103deg,-11.577379395411
272.5GHz,-180,104deg,-12.1436538472758
272.5GHz,-180,105deg,-12.7622756522787
272.5GHz,-180,106deg,-13.4128859461096
272.5GHz,-180,107deg,-14.0611532101352
272.5GHz,-180,108deg,-14.6632821426666
272.5GHz,-180,109deg,-15.1803707898686
272.5GHz,-180,110deg,-15.5992598786398
272.5GHz,-180,111deg,-15.9459055189892
272.5GHz,-180,112deg,-16.2782169168659
272.5GHz,-180,113deg,-16.6613371873814
272.5GHz,-180,114deg,-17.1383321700448
272.5GHz,-180,115deg,-17.7029513536584
272.5GHz,-180,116deg,-18.2770611304143
272.5GHz,-180,117deg,-18.714550860711
272.5GHz,-180,118deg,-18.8776654534416
272.5GHz,-180,119deg,-18.7629212373424
272.5GHz,-180,120deg,-18.5258000704277
272.5GHz,-180,121deg,-18.3667438919282
272.5GHz,-180,122deg,-18.4244091526935
272.5GHz,-180,123deg,-18.7337559194375
272.5GHz,-180,124deg,-19.1994801690246
272.5GHz,-180,125deg,-19.580673613895
272.5GHz,-180,126deg,-19.6092823973986
272.5GHz,-180,127deg,-19.2764547390868
272.5GHz,-180,128deg,-18.8955107469769
272.5GHz,-180,129deg,-18.8454845682814
272.5GHz,-180,130deg,-19.4242824573439
272.5GHz,-180,131deg,-20.8853454921107
272.5GHz,-180,132deg,-23.4593172497253
272.5GHz,-180,133deg,-26.7056359669473
272.5GHz,-180,134deg,-27.0925828635223
272.5GHz,-180,135deg,-24.6879459884614
272.5GHz,-180,136deg,-23.1897669370956
272.5GHz,-180,137deg,-23.2637033130591
272.5GHz,-180,138deg,-24.9910062092208
272.5GHz,-180,139deg,-28.0848035977686
272.5GHz,-180,140deg,-28.9220436307264
272.5GHz,-180,141deg,-26.2370681234742
272.5GHz,-180,142deg,-24.5398305737347
272.5GHz,-180,143deg,-24.6129050404377
272.5GHz,-180,144deg,-26.2656654737924
272.5GHz,-180,145deg,-28.2686613246917
272.5GHz,-180,146deg,-27.8027307810918
272.5GHz,-180,147deg,-26.2882767701951
272.5GHz,-180,148deg,-25.9358649328412
272.5GHz,-180,149deg,-26.5329705142301
272.5GHz,-180,150deg,-26.1344468361761
272.5GHz,-180,151deg,-24.1653274917747
272.5GHz,-180,152deg,-22.6307270724861
272.5GHz,-180,153deg,-22.4776824524436
272.5GHz,-180,154deg,-23.9143014963425
