Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,3.29754865447709
272.5GHz,-180,1deg,3.31505929959382
272.5GHz,-180,2deg,2.88248773313438
272.5GHz,-180,3deg,1.98931260118565
272.5GHz,-180,4deg,0.63819814699707
272.5GHz,-180,5deg,-1.15837188814581
272.5GHz,-180,6deg,-3.35188700451611
272.5GHz,-180,7deg,-5.69388244909961
272.5GHz,-180,8deg,-7.27572794057948
272.5GHz,-180,9deg,-6.90636700666921
272.5GHz,-180,10deg,-5.20972275080597
272.5GHz,-180,11deg,-3.44914013132104
272.5GHz,-180,12deg,-2.1185345898669
272.5GHz,-180,13deg,-1.34200856654726
272.5GHz,-180,14deg,-1.16576795362654
272.5GHz,-180,15deg,-1.63049621563978
272.5GHz,-180,16deg,-2.7872162467037
272.5GHz,-180,17deg,-4.70594575316421
272.5GHz,-180,18deg,-7.48467395865607
272.5GHz,-180,19deg,-11.2197278683409
272.5GHz,-180,20deg,-15.5369128318896
272.5GHz,-180,21deg,-17.5020936136882
272.5GHz,-180,22deg,-15.7186122117809
272.5GHz,-180,23deg,-13.5919970271267
272.5GHz,-180,24deg,-12.0000803848868
272.5GHz,-180,25deg,-10.8859585296825
272.5GHz,-180,26deg,-10.2237260560089
272.5GHz,-180,27deg,-10.1015682129985
272.5GHz,-180,28deg,-10.7120918517707
272.5GHz,-180,29deg,-12.3784764269082
272.5GHz,-180,30deg,-15.6789464950055
272.5GHz,-180,31deg,-20.8719117263351
272.5GHz,-180,32deg,-19.2590722166115
272.5GHz,-180,33deg,-14.5049367558654
272.5GHz,-180,34deg,-11.9190753006992
272.5GHz,-180,35deg,-10.8693382386588
272.5GHz,-180,36deg,-10.9386575497611
272.5GHz,-180,37deg,-11.8411229376346
272.5GHz,-180,38deg,-13.0299382010389
272.5GHz,-180,39deg,-13.2899382996875
272.5GHz,-180,40deg,-11.9795120179991
272.5GHz,-180,41deg,-10.1657234912114
272.5GHz,-180,42deg,-8.72912552044754
272.5GHz,-180,43deg,-7.91088233442103
272.5GHz,-180,44deg,-7.73160093528957
272.5GHz,-180,45deg,-8.1486460391791
272.5GHz,-180,46deg,-9.04003321967506
272.5GHz,-180,47deg,-10.0878232764795
272.5GHz,-180,48deg,-10.7117371680829
272.5GHz,-180,49deg,-10.5201655592093
272.5GHz,-180,50deg,-9.83817210752199
272.5GHz,-180,51deg,-9.20938511355042
272.5GHz,-180,52deg,-8.91390559551785
272.5GHz,-180,53deg,-9.0193806101558
272.5GHz,-180,54deg,-9.50274393372373
272.5GHz,-180,55deg,-10.3023638027145
272.5GHz,-180,56deg,-11.3249276282018
272.5GHz,-180,57deg,-12.4288987006888
272.5GHz,-180,58deg,-13.4090562655689
272.5GHz,-180,59deg,-14.0392897266622
272.5GHz,-180,60deg,-14.2052031877997
272.5GHz,-180,61deg,-13.9851345582891
272.5GHz,-180,62deg,-13.5464058715663
272.5GHz,-180,63deg,-13.0055900545024
272.5GHz,-180,64deg,-12.395400416712
272.5GHz,-180,65deg,-11.7061056855207
272.5GHz,-180,66deg,-10.9365751620204
272.5GHz,-180,67deg,-10.1181336614082
272.5GHz,-180,68deg,-9.30528682846416
272.5GHz,-180,69deg,-8.553295481824
272.5GHz,-180,70deg,-7.90299842325811
272.5GHz,-180,71deg,-7.37731747905842
272.5GHz,-180,72deg,-6.98433534342598
272.5GHz,-180,73deg,-6.721888509009
272.5GHz,-180,74deg,-6.58136711837625
272.5GHz,-180,75deg,-6.55023530941028
272.5GHz,-180,76deg,-6.61348406270393
272.5GHz,-180,77deg,-6.75438293568981
272.5GHz,-180,78deg,-6.95488516752777
272.5GHz,-180,79deg,-7.1960026687505
272.5GHz,-180,80deg,-7.45841944903935
272.5GHz,-180,81deg,-7.72351914605445
272.5GHz,-180,82deg,-7.97482723121259
272.5GHz,-180,83deg,-8.19962430825971
272.5GHz,-180,84deg,-8.39027599254989
272.5GHz,-180,85deg,-8.54480169430349
272.5GHz,-180,86deg,-8.66644414330322
272.5GHz,-180,87deg,-8.76238896592855
272.5GHz,-180,88deg,-8.84208128694258
272.5GHz,-180,89deg,-8.91563501472755
272.5GHz,-180,90deg,-8.99266394061323
272.5GHz,-180,91deg,-9.08163217643327
272.5GHz,-180,92deg,-9.18964939349535
272.5GHz,-180,93deg,-9.32256057124368
272.5GHz,-180,94deg,-9.48517521365654
272.5GHz,-180,95deg,-9.68150728919546
272.5GHz,-180,96deg,-9.9149263474617
272.5GHz,-180,97deg,-10.188140281633
272.5GHz,-180,98deg,-10.5029404911039
272.5GHz,-180,99deg,-10.8596482890533
272.5GHz,-180,100deg,-11.2562244377566
272.5GHz,-180,101deg,-11.6870747920317
272.5GHz,-180,102deg,-12.1417580701689
272.5GHz,-180,103deg,-12.604131380393
272.5GHz,-180,104deg,-13.0529156072183
272.5GHz,-180,105deg,-13.4648937382473
272.5GHz,-180,106deg,-13.8212522388969
272.5GHz,-180,107deg,-14.1154600783242
272.5GHz,-180,108deg,-14.3587350849928
272.5GHz,-180,109deg,-14.5793496780102
272.5GHz,-180,110deg,-14.8155991756554
272.5GHz,-180,111deg,-15.1058257345954
272.5GHz,-180,112deg,-15.4791256112734
272.5GHz,-180,113deg,-15.9482489976238
272.5GHz,-180,114deg,-16.504884282908
272.5GHz,-180,115deg,-17.1186376789691
272.5GHz,-180,116deg,-17.7435372559906
272.5GHz,-180,117deg,-18.3353641674417
272.5GHz,-180,118deg,-18.8740625001696
272.5GHz,-180,119deg,-19.3736554794976
272.5GHz,-180,120deg,-19.8671294883693
272.5GHz,-180,121deg,-20.3766840852161
272.5GHz,-180,122deg,-20.894391399432
272.5GHz,-180,123deg,-21.3941540035282
272.5GHz,-180,124deg,-21.8763354669244
272.5GHz,-180,125deg,-22.4106659897274
272.5GHz,-180,126deg,-23.1274338730058
272.5GHz,-180,127deg,-24.1362796030903
272.5GHz,-180,128deg,-25.3316877628478
272.5GHz,-180,129deg,-26.0403235583513
272.5GHz,-180,130deg,-25.3812910253616
272.5GHz,-180,131deg,-23.8281487145066
272.5GHz,-180,132deg,-22.4711934878077
272.5GHz,-180,133deg,-21.8456921489848
272.5GHz,-180,134deg,-22.1611668492661
272.5GHz,-180,135deg,-23.5565865262895
272.5GHz,-180,136deg,-25.9510726736224
272.5GHz,-180,137deg,-27.6938596954696
272.5GHz,-180,138deg,-26.3451606430523
272.5GHz,-180,139deg,-24.4429127627245
272.5GHz,-180,140deg,-23.7849703401853
272.5GHz,-180,141deg,-24.5480648089661
272.5GHz,-180,142deg,-26.2319241321908
272.5GHz,-180,143deg,-26.692926860054
272.5GHz,-180,144deg,-25.0236558172943
272.5GHz,-180,145deg,-23.6720838298587
272.5GHz,-180,146deg,-23.6651041756502
272.5GHz,-180,147deg,-24.8201259736379
272.5GHz,-180,148deg,-25.6106627392767
272.5GHz,-180,149deg,-24.4207794828295
272.5GHz,-180,150deg,-23.0263774262759
272.5GHz,-180,151deg,-22.9605039160576
272.5GHz,-180,152deg,-24.6696030080145
272.5GHz,-180,153deg,-28.0276845401901
272.5GHz,-180,154deg,-29.6282697785567
272.5GHz,-180,155deg,-27.9863688948445
272.5GHz,-180,156deg,-28.0357148663271
272.5GHz,-180,157deg,-30.9281964912631
272.5GHz,-180,158deg,-30.7145608622535
272.5GHz,-180,159deg,-25.7820929687625
272.5GHz,-180,160deg,-23.3226389761085
272.5GHz,-180,161deg,-23.3543689984238
272.5GHz,-180,162deg,-25.3856257260559
272.5GHz,-180,163deg,-25.897444959712
272.5GHz,-180,164deg,-22.4566287607763
272.5GHz,-180,165deg,-19.8219374540147
272.5GHz,-180,166deg,-18.7439650741671
272.5GHz,-180,167deg,-18.6736769856613
272.5GHz,-180,168deg,-18.8581398745366
272.5GHz,-180,169deg,-18.9300987424547
272.5GHz,-180,170deg,-19.4252516463764
272.5GHz,-180,171deg,-21.157972003989
272.5GHz,-180,172deg,-24.1754853751837
272.5GHz,-180,173deg,-24.1567005713909
272.5GHz,-180,174deg,-20.7302361373018
272.5GHz,-180,175deg,-18.5171123949738
272.5GHz,-180,176deg,-17.7554837609963
272.5GHz,-180,177deg,-17.9686133082439
272.5GHz,-180,178deg,-18.6189873639574
272.5GHz,-180,179deg,-19.1268266293128
272.5GHz,-180,180deg,-18.9713846931292
272.5GHz,-179,0deg,3.29754865447709
272.5GHz,-179,1deg,3.28770476804033
272.5GHz,-179,2deg,2.83047356949739
272.5GHz,-179,3deg,1.91708121919783
272.5GHz,-179,4deg,0.552050458574812
272.5GHz,-179,5deg,-1.24972344221648
272.5GHz,-179,6deg,-3.43634272321179
272.5GHz,-179,7deg,-5.75874296325719
272.5GHz,-179,8deg,-7.33492888758779
272.5GHz,-179,9deg,-7.01669829326416
272.5GHz,-179,10deg,-5.38215357609371
272.5GHz,-179,11deg,-3.65970187169701
272.5GHz,-179,12deg,-2.34723804014725
272.5GHz,-179,13deg,-1.57220631278028
272.5GHz,-179,14deg,-1.37869236176165
272.5GHz,-179,15deg,-1.8009289368099
272.5GHz,-179,16deg,-2.87865303594369
272.5GHz,-179,17deg,-4.66401969338322
272.5GHz,-179,18deg,-7.23135837901033
272.5GHz,-179,19deg,-10.6811857089898
272.5GHz,-179,20deg,-14.979042006373
272.5GHz,-179,21deg,-18.4489397412148
272.5GHz,-179,22deg,-17.5210108830351
272.5GHz,-179,23deg,-15.0475533154533
272.5GHz,-179,24deg,-13.1330522968566
272.5GHz,-179,25deg,-11.8583888849535
272.5GHz,-179,26deg,-11.1527234594276
272.5GHz,-179,27deg,-11.0509300780133
272.5GHz,-179,28deg,-11.7084005879147
272.5GHz,-179,29deg,-13.4380755305395
272.5GHz,-179,30deg,-16.889559492688
272.5GHz,-179,31deg,-23.1155504555725
272.5GHz,-179,32deg,-21.9437111606912
272.5GHz,-179,33deg,-16.4119270225682
272.5GHz,-179,34deg,-13.6347958011984
272.5GHz,-179,35deg,-12.5395698601593
272.5GHz,-179,36deg,-12.6009585598637
272.5GHz,-179,37deg,-13.4578842246946
272.5GHz,-179,38deg,-14.4591874486115
272.5GHz,-179,39deg,-14.4724689594239
272.5GHz,-179,40deg,-13.2210321547397
272.5GHz,-179,41deg,-11.7048285818245
272.5GHz,-179,42deg,-10.6184151149995
272.5GHz,-179,43deg,-10.1630929343323
272.5GHz,-179,44deg,-10.3721521358398
272.5GHz,-179,45deg,-11.2157309940184
272.5GHz,-179,46deg,-12.5248168885207
272.5GHz,-179,47deg,-13.7369485883911
