Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,4.61340984198785
272.5GHz,-180,1deg,4.34634492202136
272.5GHz,-180,2deg,3.60292815957248
272.5GHz,-180,3deg,2.35472283406848
272.5GHz,-180,4deg,0.532321729831388
272.5GHz,-180,5deg,-2.01256025594981
272.5GHz,-180,6deg,-5.55858360082083
272.5GHz,-180,7deg,-10.1659501729193
272.5GHz,-180,8deg,-11.5629187652997
272.5GHz,-180,9deg,-7.89851902140502
272.5GHz,-180,10deg,-4.9344016095865
272.5GHz,-180,11deg,-3.16085588912188
272.5GHz,-180,12deg,-2.31395543959845
272.5GHz,-180,13deg,-2.25269393769439
272.5GHz,-180,14deg,-2.91830451052739
272.5GHz,-180,15deg,-4.27661138266932
272.5GHz,-180,16deg,-6.24317618337021
272.5GHz,-180,17deg,-8.50817623389434
272.5GHz,-180,18deg,-10.2855280480722
272.5GHz,-180,19deg,-10.8175837015446
272.5GHz,-180,20deg,-10.5144458882024
272.5GHz,-180,21deg,-10.1881756912193
272.5GHz,-180,22deg,-10.2196289938311
272.5GHz,-180,23deg,-10.7289688234314
272.5GHz,-180,24deg,-11.7737320192825
272.5GHz,-180,25deg,-13.4228839068415
272.5GHz,-180,26deg,-15.7757706688395
272.5GHz,-180,27deg,-18.7186728857044
272.5GHz,-180,28deg,-20.3342659852803
272.5GHz,-180,29deg,-18.291975918074
272.5GHz,-180,30deg,-15.6266931452457
272.5GHz,-180,31deg,-13.9643961195916
272.5GHz,-180,32deg,-13.4378140295115
272.5GHz,-180,33deg,-14.0556121920625
272.5GHz,-180,34deg,-15.9162201134772
272.5GHz,-180,35deg,-19.1454851555668
272.5GHz,-180,36deg,-22.7928748986857
272.5GHz,-180,37deg,-22.8451351271521
272.5GHz,-180,38deg,-21.1944898980509
272.5GHz,-180,39deg,-20.8842904333395
272.5GHz,-180,40deg,-21.9851390147673
272.5GHz,-180,41deg,-23.0700381697258
272.5GHz,-180,42deg,-21.5618528577847
272.5GHz,-180,43deg,-18.8064307848626
272.5GHz,-180,44deg,-16.6012419657352
272.5GHz,-180,45deg,-15.094857235993
272.5GHz,-180,46deg,-14.0810418734623
272.5GHz,-180,47deg,-13.3775282143661
272.5GHz,-180,48deg,-12.8805843747486
272.5GHz,-180,49deg,-12.5447385331696
272.5GHz,-180,50deg,-12.3379864169763
272.5GHz,-180,51deg,-12.2116560105611
272.5GHz,-180,52deg,-12.1070822068716
272.5GHz,-180,53deg,-11.9900275874448
272.5GHz,-180,54deg,-11.8761735268648
272.5GHz,-180,55deg,-11.8176983927264
272.5GHz,-180,56deg,-11.8627876452273
272.5GHz,-180,57deg,-12.0190196458881
272.5GHz,-180,58deg,-12.234981090411
272.5GHz,-180,59deg,-12.4057685459471
272.5GHz,-180,60deg,-12.4147618100189
272.5GHz,-180,61deg,-12.2037425272036
272.5GHz,-180,62deg,-11.8109969998763
272.5GHz,-180,63deg,-11.3343819921768
272.5GHz,-180,64deg,-10.866613791869
272.5GHz,-180,65deg,-10.4611612005433
272.5GHz,-180,66deg,-10.1313885925587
272.5GHz,-180,67deg,-9.86301371506602
272.5GHz,-180,68deg,-9.62840554695066
272.5GHz,-180,69deg,-9.39952919690572
272.5GHz,-180,70deg,-9.15791263833272
272.5GHz,-180,71deg,-8.89945244397021
272.5GHz,-180,72deg,-8.63309034769238
272.5GHz,-180,73deg,-8.37522337162813
272.5GHz,-180,74deg,-8.14334293103645
272.5GHz,-180,75deg,-7.95152657276641
272.5GHz,-180,76deg,-7.80846396025343
272.5GHz,-180,77deg,-7.71740299072352
272.5GHz,-180,78deg,-7.67711050318735
272.5GHz,-180,79deg,-7.68317641229647
272.5GHz,-180,80deg,-7.72929866829735
272.5GHz,-180,81deg,-7.80839304192631
272.5GHz,-180,82deg,-7.91347156987909
272.5GHz,-180,83deg,-8.03827173711347
272.5GHz,-180,84deg,-8.17763501803543
272.5GHz,-180,85deg,-8.32764957507855
272.5GHz,-180,86deg,-8.4855926222896
272.5GHz,-180,87deg,-8.64972839279848
272.5GHz,-180,88deg,-8.81903072374775
272.5GHz,-180,89deg,-8.99290111582435
272.5GHz,-180,90deg,-9.17094470305487
272.5GHz,-180,91deg,-9.3528517900322
272.5GHz,-180,92deg,-9.5384151069172
272.5GHz,-180,93deg,-9.72769390551507
272.5GHz,-180,94deg,-9.92131438586967
272.5GHz,-180,95deg,-10.120870441381
272.5GHz,-180,96deg,-10.3293606575561
272.5GHz,-180,97deg,-10.5515721259109
272.5GHz,-180,98deg,-10.7943060715304
272.5GHz,-180,99deg,-11.0663379550142
