Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,3.68838573678793
272.5GHz,-180,1deg,3.437557585655
272.5GHz,-180,2deg,2.79078019870122
272.5GHz,-180,3deg,1.77211012954218
272.5GHz,-180,4deg,0.40560267593223
272.5GHz,-180,5deg,-1.29358170174159
272.5GHz,-180,6deg,-3.32872859076065
272.5GHz,-180,7deg,-5.71437687216423
272.5GHz,-180,8deg,-8.35179084047682
272.5GHz,-180,9deg,-10.471540745184
272.5GHz,-180,10deg,-10.4669434700538
272.5GHz,-180,11deg,-8.79911126466625
272.5GHz,-180,12deg,-7.13979151459995
272.5GHz,-180,13deg,-6.02957659931761
272.5GHz,-180,14deg,-5.43950922502532
272.5GHz,-180,15deg,-5.2029496754163
272.5GHz,-180,16deg,-5.14843403045179
272.5GHz,-180,17deg,-5.17653304477605
272.5GHz,-180,18deg,-5.28059671166384
272.5GHz,-180,19deg,-5.49324425826951
272.5GHz,-180,20deg,-5.82266620439699
272.5GHz,-180,21deg,-6.23539254449621
272.5GHz,-180,22deg,-6.67851893531683
272.5GHz,-180,23deg,-7.11456358263602
272.5GHz,-180,24deg,-7.55935276295262
272.5GHz,-180,25deg,-8.11568874514418
272.5GHz,-180,26deg,-8.98029173808358
272.5GHz,-180,27deg,-10.4308842798474
272.5GHz,-180,28deg,-12.8626547662711
272.5GHz,-180,29deg,-17.0267284399825
272.5GHz,-180,30deg,-24.8034439987557
272.5GHz,-180,31deg,-24.224704028541
272.5GHz,-180,32deg,-18.0832454895043
272.5GHz,-180,33deg,-15.2997597938375
272.5GHz,-180,34deg,-14.2270279107064
272.5GHz,-180,35deg,-14.3803952835839
272.5GHz,-180,36deg,-15.7484045000702
272.5GHz,-180,37deg,-18.7190313217595
272.5GHz,-180,38deg,-24.5058360783606
272.5GHz,-180,39deg,-30.1867480563609
272.5GHz,-180,40deg,-23.4303048569559
272.5GHz,-180,41deg,-20.1735313059369
272.5GHz,-180,42deg,-18.9692370354152
272.5GHz,-180,43deg,-18.2247196670243
272.5GHz,-180,44deg,-16.621908685616
272.5GHz,-180,45deg,-14.3371459004525
272.5GHz,-180,46deg,-12.2862750454666
272.5GHz,-180,47deg,-10.8528022604479
272.5GHz,-180,48deg,-10.0578883959035
272.5GHz,-180,49deg,-9.81834917182543
272.5GHz,-180,50deg,-10.0287285749244
272.5GHz,-180,51deg,-10.5832699982201
272.5GHz,-180,52deg,-11.3858432456605
272.5GHz,-180,53deg,-12.3479697225942
272.5GHz,-180,54deg,-13.355112708705
272.5GHz,-180,55deg,-14.2077928768878
272.5GHz,-180,56deg,-14.6477209079517
272.5GHz,-180,57deg,-14.588798670759
272.5GHz,-180,58deg,-14.2721388133112
272.5GHz,-180,59deg,-14.0579549770043
272.5GHz,-180,60deg,-14.2064622366289
272.5GHz,-180,61deg,-14.8428214507224
272.5GHz,-180,62deg,-15.9250905429331
272.5GHz,-180,63deg,-16.9942627841164
272.5GHz,-180,64deg,-16.9157839460872
272.5GHz,-180,65deg,-15.227782327388
272.5GHz,-180,66deg,-12.9783138409673
272.5GHz,-180,67deg,-10.9366273382691
272.5GHz,-180,68deg,-9.27953778464535
272.5GHz,-180,69deg,-7.98578149021119
272.5GHz,-180,70deg,-6.9984355048823
272.5GHz,-180,71deg,-6.26396341743149
272.5GHz,-180,72deg,-5.73865461670464
272.5GHz,-180,73deg,-5.38775669486711
272.5GHz,-180,74deg,-5.18334741035157
272.5GHz,-180,75deg,-5.10231490082813
272.5GHz,-180,76deg,-5.12471847439233
272.5GHz,-180,77deg,-5.23256382427419
272.5GHz,-180,78deg,-5.40898724034683
272.5GHz,-180,79deg,-5.63784107056259
272.5GHz,-180,80deg,-5.90366457246869
272.5GHz,-180,81deg,-6.19199629207453
272.5GHz,-180,82deg,-6.48993409791115
272.5GHz,-180,83deg,-6.78678976939135
272.5GHz,-180,84deg,-7.07464545482952
272.5GHz,-180,85deg,-7.34863192477762
272.5GHz,-180,86deg,-7.60682555130094
272.5GHz,-180,87deg,-7.84977758675731
272.5GHz,-180,88deg,-8.07979460523659
272.5GHz,-180,89deg,-8.30013912616087
272.5GHz,-180,90deg,-8.51430509512958
272.5GHz,-180,91deg,-8.72546794235628
272.5GHz,-180,92deg,-8.93614789977193
272.5GHz,-180,93deg,-9.14808187553734
272.5GHz,-180,94deg,-9.36227951609497
272.5GHz,-180,95deg,-9.5792363931925
272.5GHz,-180,96deg,-9.79928001879836
272.5GHz,-180,97deg,-10.0230222362266
272.5GHz,-180,98deg,-10.2518785484504
272.5GHz,-180,99deg,-10.4885914881951
272.5GHz,-180,100deg,-10.737668078381
272.5GHz,-180,101deg,-11.0056213359848
272.5GHz,-180,102deg,-11.3009003241174
272.5GHz,-180,103deg,-11.6333997012576
272.5GHz,-180,104deg,-12.0134425063035
272.5GHz,-180,105deg,-12.450109788302
272.5GHz,-180,106deg,-12.9487493534746
272.5GHz,-180,107deg,-13.5075037654025
272.5GHz,-180,108deg,-14.1129764005222
272.5GHz,-180,109deg,-14.7361486510627
272.5GHz,-180,110deg,-15.3317623420588
272.5GHz,-180,111deg,-15.8464895328292
272.5GHz,-180,112deg,-16.2386959467235
272.5GHz,-180,113deg,-16.5013589866125
272.5GHz,-180,114deg,-16.6698178456862
272.5GHz,-180,115deg,-16.8062163787424
272.5GHz,-180,116deg,-16.9737999997503
272.5GHz,-180,117deg,-17.2185621279843
272.5GHz,-180,118deg,-17.5639647223372
272.5GHz,-180,119deg,-18.0156103134312
272.5GHz,-180,120deg,-18.5709508646008
272.5GHz,-180,121deg,-19.2280319499064
272.5GHz,-180,122deg,-19.9845113781823
272.5GHz,-180,123deg,-20.8178720255575
272.5GHz,-180,124deg,-21.6476942340286
272.5GHz,-180,125deg,-22.3155566507872
272.5GHz,-180,126deg,-22.6665061261963
272.5GHz,-180,127deg,-22.7255659711742
272.5GHz,-180,128deg,-22.7339113065518
272.5GHz,-180,129deg,-22.9780520906467
272.5GHz,-180,130deg,-23.6332510541299
272.5GHz,-180,131deg,-24.6399419265534
272.5GHz,-180,132deg,-25.4761836132427
272.5GHz,-180,133deg,-25.3100230839048
272.5GHz,-180,134deg,-24.2493426667841
272.5GHz,-180,135deg,-23.2354089355666
272.5GHz,-180,136deg,-22.86484382622
272.5GHz,-180,137deg,-23.3499400004633
272.5GHz,-180,138deg,-24.6963676370863
272.5GHz,-180,139deg,-26.4793228354288
272.5GHz,-180,140deg,-27.3945638391991
272.5GHz,-180,141deg,-26.9221440791367
272.5GHz,-180,142deg,-26.5663071604814
272.5GHz,-180,143deg,-27.453377598903
272.5GHz,-180,144deg,-29.9437701698862
272.5GHz,-180,145deg,-32.1640023476401
272.5GHz,-180,146deg,-29.9340175578922
272.5GHz,-180,147deg,-27.5022402010131
272.5GHz,-180,148deg,-26.9501581906422
272.5GHz,-180,149deg,-28.2882081906754
272.5GHz,-180,150deg,-30.6669849921495
272.5GHz,-180,151deg,-30.4921899915924
272.5GHz,-180,152deg,-28.4749271531151
272.5GHz,-180,153deg,-27.9183359250442
272.5GHz,-180,154deg,-29.1001446253189
272.5GHz,-180,155deg,-29.6065080237785
272.5GHz,-180,156deg,-26.9466840027342
272.5GHz,-180,157deg,-24.4810696475441
272.5GHz,-180,158deg,-23.4405007344451
272.5GHz,-180,159deg,-23.2863944789
272.5GHz,-180,160deg,-22.770330335347
272.5GHz,-180,161deg,-21.3911991531852
272.5GHz,-180,162deg,-20.1568164336766
272.5GHz,-180,163deg,-19.8148827506858
272.5GHz,-180,164deg,-20.4717824746331
272.5GHz,-180,165deg,-21.8331471261999
272.5GHz,-180,166deg,-23.3798400848071
272.5GHz,-180,167deg,-25.0716786816579
272.5GHz,-180,168deg,-27.5649947384152
272.5GHz,-180,169deg,-29.5115820312858
272.5GHz,-180,170deg,-27.303968366333
272.5GHz,-180,171deg,-25.3193753358866
272.5GHz,-180,172deg,-25.8347892648414
272.5GHz,-180,173deg,-28.1619648100715
272.5GHz,-180,174deg,-25.0279994775761
272.5GHz,-180,175deg,-20.1480351520295
272.5GHz,-180,176deg,-17.3232942162268
272.5GHz,-180,177deg,-16.1337779074606
272.5GHz,-180,178deg,-16.1371149340475
272.5GHz,-180,179deg,-16.938781495851
272.5GHz,-180,180deg,-18.0818293147221
272.5GHz,-179,0deg,3.68838573678792
272.5GHz,-179,1deg,3.41624896680153
272.5GHz,-179,2deg,2.75317656342367
272.5GHz,-179,3deg,1.72494320231031
272.5GHz,-179,4deg,0.356012687439985
