Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,2.95358039907083
272.5GHz,-180,1deg,2.9358084087001
272.5GHz,-180,2deg,2.61930326885108
272.5GHz,-180,3deg,2.03137938999417
272.5GHz,-180,4deg,1.20271953996533
272.5GHz,-180,5deg,0.162048176381813
272.5GHz,-180,6deg,-1.06648845918154
272.5GHz,-180,7deg,-2.45908897097554
272.5GHz,-180,8deg,-3.97678159124791
272.5GHz,-180,9deg,-5.53484827240396
272.5GHz,-180,10deg,-6.96854575001312
272.5GHz,-180,11deg,-8.05732880759629
272.5GHz,-180,12deg,-8.67290717952635
272.5GHz,-180,13deg,-8.89994646162768
272.5GHz,-180,14deg,-8.92968651249453
272.5GHz,-180,15deg,-8.91246829697559
272.5GHz,-180,16deg,-8.95859809742146
272.5GHz,-180,17deg,-9.19941689587371
272.5GHz,-180,18deg,-9.80130783669864
272.5GHz,-180,19deg,-10.9388730353492
272.5GHz,-180,20deg,-12.7641952401233
272.5GHz,-180,21deg,-15.3193846505216
272.5GHz,-180,22deg,-18.0673522385659
272.5GHz,-180,23deg,-19.0763402934855
272.5GHz,-180,24deg,-17.8409826159739
272.5GHz,-180,25deg,-16.2781631600304
272.5GHz,-180,26deg,-15.1383773854785
272.5GHz,-180,27deg,-14.450943884923
272.5GHz,-180,28deg,-14.1747721594796
272.5GHz,-180,29deg,-14.2771401368423
272.5GHz,-180,30deg,-14.6395704498052
272.5GHz,-180,31deg,-14.9195059221291
272.5GHz,-180,32deg,-14.6043084976738
272.5GHz,-180,33deg,-13.5434251977034
272.5GHz,-180,34deg,-12.1581242094302
272.5GHz,-180,35deg,-10.8984230320219
272.5GHz,-180,36deg,-9.9815538794795
272.5GHz,-180,37deg,-9.48032967589028
272.5GHz,-180,38deg,-9.41797952755141
272.5GHz,-180,39deg,-9.80865937735704
272.5GHz,-180,40deg,-10.6652814525762
272.5GHz,-180,41deg,-11.9759955544896
272.5GHz,-180,42deg,-13.5978948664659
272.5GHz,-180,43deg,-14.9621188542744
272.5GHz,-180,44deg,-15.0275191475895
272.5GHz,-180,45deg,-13.6874457280123
272.5GHz,-180,46deg,-11.9608757390632
272.5GHz,-180,47deg,-10.4934140871859
272.5GHz,-180,48deg,-9.46415457241307
272.5GHz,-180,49deg,-8.89966372527524
272.5GHz,-180,50deg,-8.79719407518382
272.5GHz,-180,51deg,-9.15482817778269
272.5GHz,-180,52deg,-9.97497998901533
272.5GHz,-180,53deg,-11.2563246603012
272.5GHz,-180,54deg,-12.9653302688504
272.5GHz,-180,55deg,-14.9534680472123
272.5GHz,-180,56deg,-16.7911508986183
272.5GHz,-180,57deg,-17.7901129610218
272.5GHz,-180,58deg,-17.7481007260036
272.5GHz,-180,59deg,-17.2301525735143
272.5GHz,-180,60deg,-16.7536128982794
272.5GHz,-180,61deg,-16.5039687563846
272.5GHz,-180,62deg,-16.4900819255304
272.5GHz,-180,63deg,-16.6495085913422
272.5GHz,-180,64deg,-16.873044835097
272.5GHz,-180,65deg,-17.0044919283849
272.5GHz,-180,66deg,-16.872737214507
272.5GHz,-180,67deg,-16.3843919975648
272.5GHz,-180,68deg,-15.5958413984715
272.5GHz,-180,69deg,-14.6635312798526
272.5GHz,-180,70deg,-13.7398043850505
272.5GHz,-180,71deg,-12.9226557790239
272.5GHz,-180,72deg,-12.259438910123
272.5GHz,-180,73deg,-11.7653942042424
272.5GHz,-180,74deg,-11.4384395742984
272.5GHz,-180,75deg,-11.2678829595621
272.5GHz,-180,76deg,-11.2389909328332
272.5GHz,-180,77deg,-11.335270243003
272.5GHz,-180,78deg,-11.5395993315812
272.5GHz,-180,79deg,-11.8348249329149
272.5GHz,-180,80deg,-12.2041418551574
272.5GHz,-180,81deg,-12.6314114710346
272.5GHz,-180,82deg,-13.1014796757569
272.5GHz,-180,83deg,-13.6004942672799
272.5GHz,-180,84deg,-14.1161832621811
272.5GHz,-180,85deg,-14.6380395947854
272.5GHz,-180,86deg,-15.157366083552
272.5GHz,-180,87deg,-15.6671642964902
272.5GHz,-180,88deg,-16.1618910922103
272.5GHz,-180,89deg,-16.6371425275612
272.5GHz,-180,90deg,-17.0893454982843
272.5GHz,-180,91deg,-17.51554025364
272.5GHz,-180,92deg,-17.913325894532
272.5GHz,-180,93deg,-18.2810206966208
272.5GHz,-180,94deg,-18.6180590746674
272.5GHz,-180,95deg,-18.9256020214972
272.5GHz,-180,96deg,-19.2072759890284
272.5GHz,-180,97deg,-19.469888539061
272.5GHz,-180,98deg,-19.7239263256832
272.5GHz,-180,99deg,-19.9836516294442
272.5GHz,-180,100deg,-20.2666797166623
272.5GHz,-180,101deg,-20.5929978589667
272.5GHz,-180,102deg,-20.9834048213174
272.5GHz,-180,103deg,-21.4572414419834
272.5GHz,-180,104deg,-22.0290271044136
272.5GHz,-180,105deg,-22.7032911704894
272.5GHz,-180,106deg,-23.46686881093
272.5GHz,-180,107deg,-24.2794165318269
272.5GHz,-180,108deg,-25.0682342510146
272.5GHz,-180,109deg,-25.7423600861623
272.5GHz,-180,110deg,-26.2381546063724
272.5GHz,-180,111deg,-26.5720674315345
272.5GHz,-180,112deg,-26.8455710667958
272.5GHz,-180,113deg,-27.1953108107627
272.5GHz,-180,114deg,-27.7395291225717
272.5GHz,-180,115deg,-28.5487734280831
272.5GHz,-180,116deg,-29.6248770965836
272.5GHz,-180,117deg,-30.8666115735967
272.5GHz,-180,118deg,-32.044787343749
272.5GHz,-180,119deg,-32.9044766443201
272.5GHz,-180,120deg,-33.4213827916507
272.5GHz,-180,121deg,-33.8458705897886
272.5GHz,-180,122deg,-34.4070363782847
272.5GHz,-180,123deg,-35.0249435192745
272.5GHz,-180,124deg,-35.2001719525458
272.5GHz,-180,125deg,-34.4777836700428
272.5GHz,-180,126deg,-33.1674385296608
272.5GHz,-180,127deg,-31.8616312958577
272.5GHz,-180,128deg,-30.8043886665179
272.5GHz,-180,129deg,-29.8996894996884
272.5GHz,-180,130deg,-28.8839391030162
272.5GHz,-180,131deg,-27.5877535814082
272.5GHz,-180,132deg,-26.1420530747496
272.5GHz,-180,133deg,-24.8532626559459
272.5GHz,-180,134deg,-23.982896273777
272.5GHz,-180,135deg,-23.6888121516901
272.5GHz,-180,136deg,-24.0396891826107
272.5GHz,-180,137deg,-24.9638039458982
272.5GHz,-180,138deg,-26.0251478259071
272.5GHz,-180,139deg,-26.3241595754965
272.5GHz,-180,140deg,-25.6145488504225
272.5GHz,-180,141deg,-24.8125670043859
272.5GHz,-180,142deg,-24.6834119168019
272.5GHz,-180,143deg,-25.5807475131206
272.5GHz,-180,144deg,-27.7955016736987
272.5GHz,-180,145deg,-31.7210317709469
272.5GHz,-180,146deg,-35.4174952944859
272.5GHz,-180,147deg,-32.017788983028
272.5GHz,-180,148deg,-28.3027272970461
272.5GHz,-180,149deg,-26.1377734768372
272.5GHz,-180,150deg,-25.1328015353641
272.5GHz,-180,151deg,-25.0705654130189
272.5GHz,-180,152deg,-25.7834260807869
272.5GHz,-180,153deg,-26.8704798344472
272.5GHz,-180,154deg,-27.534611084848
272.5GHz,-180,155deg,-27.4115872615328
272.5GHz,-180,156deg,-27.1795459563515
272.5GHz,-180,157deg,-27.3946891743642
272.5GHz,-180,158deg,-27.9079759466453
272.5GHz,-180,159deg,-28.219913845638
272.5GHz,-180,160deg,-28.3579692106011
272.5GHz,-180,161deg,-28.8758072118159
272.5GHz,-180,162deg,-29.6054166398888
272.5GHz,-180,163deg,-28.9564100410092
272.5GHz,-180,164deg,-26.9888013486645
272.5GHz,-180,165deg,-25.6266940876987
272.5GHz,-180,166deg,-25.700474881193
272.5GHz,-180,167deg,-27.232384338977
272.5GHz,-180,168deg,-28.4603146943227
272.5GHz,-180,169deg,-26.5448093826664
272.5GHz,-180,170deg,-24.3393341282562
272.5GHz,-180,171deg,-23.7710253212428
272.5GHz,-180,172deg,-24.9970959009041
272.5GHz,-180,173deg,-26.5136489405626
272.5GHz,-180,174deg,-24.1949382886767
272.5GHz,-180,175deg,-20.7968513634928
272.5GHz,-180,176deg,-18.7117554348515
272.5GHz,-180,177deg,-17.8987972091434
272.5GHz,-180,178deg,-18.0650968570931
272.5GHz,-180,179deg,-18.8844175692435
272.5GHz,-180,180deg,-19.9329448681988
272.5GHz,-179,0deg,2.95358039907083
272.5GHz,-179,1deg,2.90871841188768
272.5GHz,-179,2deg,2.56810292076839
272.5GHz,-179,3deg,1.96073646295456
272.5GHz,-179,4deg,1.11905068892905
272.5GHz,-179,5deg,0.0724391293507513
272.5GHz,-179,6deg,-1.15763659239229
272.5GHz,-179,7deg,-2.55562645801439
272.5GHz,-179,8deg,-4.09571000328318
272.5GHz,-179,9deg,-5.70378370292337
272.5GHz,-179,10deg,-7.20598485150455
272.5GHz,-179,11deg,-8.33902390663363
272.5GHz,-179,12deg,-8.93161217031985
272.5GHz,-179,13deg,-9.0824450793916
272.5GHz,-179,14deg,-9.03195164767617
272.5GHz,-179,15deg,-8.96198099103625
272.5GHz,-179,16deg,-8.98289465274258
272.5GHz,-179,17deg,-9.20261799064962
272.5GHz,-179,18deg,-9.75660155512089
272.5GHz,-179,19deg,-10.7959719524485
272.5GHz,-179,20deg,-12.4703318595982
272.5GHz,-179,21deg,-14.88981296124
272.5GHz,-179,22deg,-17.855750539537
272.5GHz,-179,23deg,-19.8301853321518
272.5GHz,-179,24deg,-19.0885239542096
272.5GHz,-179,25deg,-17.4774116725315
272.5GHz,-179,26deg,-16.3979594778883
272.5GHz,-179,27deg,-16.0158584362324
272.5GHz,-179,28deg,-16.2612996304061
272.5GHz,-179,29deg,-17.0531495498839
272.5GHz,-179,30deg,-18.233576013339
272.5GHz,-179,31deg,-19.3140085756028
272.5GHz,-179,32deg,-19.3855439355574
272.5GHz,-179,33deg,-18.2141662815115
272.5GHz,-179,34deg,-16.6345190300195
272.5GHz,-179,35deg,-15.2624411503912
272.5GHz,-179,36deg,-14.2452332644778
272.5GHz,-179,37deg,-13.549803235032
272.5GHz,-179,38deg,-13.1214049213493
272.5GHz,-179,39deg,-12.9399474757343
272.5GHz,-179,40deg,-13.0229518967954
272.5GHz,-179,41deg,-13.3956349274965
272.5GHz,-179,42deg,-14.042578240218
272.5GHz,-179,43deg,-14.8435023038594
272.5GHz,-179,44deg,-15.5172109210302
272.5GHz,-179,45deg,-15.7161115925356
272.5GHz,-179,46deg,-15.3561769489307
272.5GHz,-179,47deg,-14.7236382467414
272.5GHz,-179,48deg,-14.1698495406459
272.5GHz,-179,49deg,-13.9210491629298
272.5GHz,-179,50deg,-14.1077076051709
272.5GHz,-179,51deg,-14.8346977323863
272.5GHz,-179,52deg,-16.2345747608587
272.5GHz,-179,53deg,-18.5141132043918
272.5GHz,-179,54deg,-21.9353275597465
272.5GHz,-179,55deg,-25.6378773910876
272.5GHz,-179,56deg,-24.5546579432246
272.5GHz,-179,57deg,-21.2066488523863
272.5GHz,-179,58deg,-18.927834614856
272.5GHz,-179,59deg,-17.695214602203
272.5GHz,-179,60deg,-17.2636784787972
272.5GHz,-179,61deg,-17.4806930843982
272.5GHz,-179,62deg,-18.2505567081694
272.5GHz,-179,63deg,-19.479733419079
272.5GHz,-179,64deg,-20.9762595454473
272.5GHz,-179,65deg,-22.2571578602655
272.5GHz,-179,66deg,-22.5546365395412
272.5GHz,-179,67deg,-21.6536651992485
272.5GHz,-179,68deg,-20.188334767107
272.5GHz,-179,69deg,-18.7153072096075
272.5GHz,-179,70deg,-17.4390322358122
272.5GHz,-179,71deg,-16.3977051201815
272.5GHz,-179,72deg,-15.5814747182109
272.5GHz,-179,73deg,-14.9714787731292
272.5GHz,-179,74deg,-14.5495576158034
272.5GHz,-179,75deg,-14.2995798548237
