Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,3.56834863079692
272.5GHz,-180,1deg,3.50750216126542
272.5GHz,-180,2deg,3.20974498461361
272.5GHz,-180,3deg,2.69206501911591
272.5GHz,-180,4deg,1.98878677489055
272.5GHz,-180,5deg,1.13207188258476
272.5GHz,-180,6deg,0.128859393373151
272.5GHz,-180,7deg,-1.05181959364327
272.5GHz,-180,8deg,-2.4713112802865
272.5GHz,-180,9deg,-4.19061841023584
272.5GHz,-180,10deg,-6.19430945463057
272.5GHz,-180,11deg,-8.20626817870551
272.5GHz,-180,12deg,-9.53379138724648
272.5GHz,-180,13deg,-9.75786935525586
272.5GHz,-180,14deg,-9.48882707889571
272.5GHz,-180,15deg,-9.41572580964321
272.5GHz,-180,16deg,-9.69455845301498
272.5GHz,-180,17deg,-10.0784089109801
272.5GHz,-180,18deg,-10.1883200141419
272.5GHz,-180,19deg,-9.9284487849469
272.5GHz,-180,20deg,-9.57468278742187
272.5GHz,-180,21deg,-9.42830320034494
272.5GHz,-180,22deg,-9.63397444344832
272.5GHz,-180,23deg,-10.2115842701287
272.5GHz,-180,24deg,-11.093179646453
272.5GHz,-180,25deg,-12.1231577152724
272.5GHz,-180,26deg,-13.116860269969
272.5GHz,-180,27deg,-14.0729906427744
272.5GHz,-180,28deg,-15.3496870927326
272.5GHz,-180,29deg,-17.6351507959163
272.5GHz,-180,30deg,-22.1133197828473
272.5GHz,-180,31deg,-26.9430486468537
272.5GHz,-180,32deg,-20.0966864554551
272.5GHz,-180,33deg,-15.3665020328024
272.5GHz,-180,34deg,-12.6916837799498
272.5GHz,-180,35deg,-11.2208822848465
272.5GHz,-180,36deg,-10.5715509193028
272.5GHz,-180,37deg,-10.5067645234435
272.5GHz,-180,38deg,-10.7890846855893
272.5GHz,-180,39deg,-11.1108450639181
272.5GHz,-180,40deg,-11.1763083056857
272.5GHz,-180,41deg,-10.9378433998621
272.5GHz,-180,42deg,-10.634721497826
272.5GHz,-180,43deg,-10.552239036148
272.5GHz,-180,44deg,-10.8682131045839
272.5GHz,-180,45deg,-11.6588400464841
272.5GHz,-180,46deg,-12.9370955170171
272.5GHz,-180,47deg,-14.6646858560977
272.5GHz,-180,48deg,-16.7168159832458
272.5GHz,-180,49deg,-18.77221715492
272.5GHz,-180,50deg,-20.2261374127721
272.5GHz,-180,51deg,-20.6198833852736
272.5GHz,-180,52deg,-20.2660803891588
272.5GHz,-180,53deg,-19.7394828581906
272.5GHz,-180,54deg,-19.261197820558
272.5GHz,-180,55deg,-18.7172309152658
272.5GHz,-180,56deg,-17.9072925032341
272.5GHz,-180,57deg,-16.829907205347
272.5GHz,-180,58deg,-15.71852346241
272.5GHz,-180,59deg,-14.8356031570993
272.5GHz,-180,60deg,-14.3536882655856
272.5GHz,-180,61deg,-14.3725123102225
272.5GHz,-180,62deg,-14.9685290576202
272.5GHz,-180,63deg,-16.235509050595
272.5GHz,-180,64deg,-18.3053348218017
272.5GHz,-180,65deg,-21.2145495956841
272.5GHz,-180,66deg,-23.6326933755876
272.5GHz,-180,67deg,-22.1573397148934
272.5GHz,-180,68deg,-19.0146648792837
272.5GHz,-180,69deg,-16.4786209626678
272.5GHz,-180,70deg,-14.6510375648542
272.5GHz,-180,71deg,-13.3532551003116
272.5GHz,-180,72deg,-12.4442299888362
272.5GHz,-180,73deg,-11.8285272713282
272.5GHz,-180,74deg,-11.4414297175969
272.5GHz,-180,75deg,-11.2378857811878
272.5GHz,-180,76deg,-11.1852662629046
272.5GHz,-180,77deg,-11.2583774819162
272.5GHz,-180,78deg,-11.4358293487141
272.5GHz,-180,79deg,-11.6973667998406
272.5GHz,-180,80deg,-12.0220676960368
272.5GHz,-180,81deg,-12.387492888052
272.5GHz,-180,82deg,-12.7699733193215
272.5GHz,-180,83deg,-13.1461651857481
272.5GHz,-180,84deg,-13.4956949714298
272.5GHz,-180,85deg,-13.8041833129176
272.5GHz,-180,86deg,-14.0655007884376
272.5GHz,-180,87deg,-14.2822346923804
272.5GHz,-180,88deg,-14.4641425405319
272.5GHz,-180,89deg,-14.6253138113256
272.5GHz,-180,90deg,-14.7811768639205
272.5GHz,-180,91deg,-14.9462167455982
272.5GHz,-180,92deg,-15.1326986714786
272.5GHz,-180,93deg,-15.3502471563098
272.5GHz,-180,94deg,-15.605955719378
272.5GHz,-180,95deg,-15.9047198641906
272.5GHz,-180,96deg,-16.2495751618594
272.5GHz,-180,97deg,-16.6419075942123
272.5GHz,-180,98deg,-17.081460885418
272.5GHz,-180,99deg,-17.5661003833
272.5GHz,-180,100deg,-18.0913227862375
272.5GHz,-180,101deg,-18.6495503105031
272.5GHz,-180,102deg,-19.2293464090757
272.5GHz,-180,103deg,-19.8148607226832
272.5GHz,-180,104deg,-20.3860292183236
272.5GHz,-180,105deg,-20.9201760374781
272.5GHz,-180,106deg,-21.3953867492121
272.5GHz,-180,107deg,-21.7951039327707
272.5GHz,-180,108deg,-22.112176441125
272.5GHz,-180,109deg,-22.3502189671553
272.5GHz,-180,110deg,-22.5215103159898
272.5GHz,-180,111deg,-22.6429680641605
272.5GHz,-180,112deg,-22.733009534515
272.5GHz,-180,113deg,-22.8113790934019
272.5GHz,-180,114deg,-22.9020368267902
272.5GHz,-180,115deg,-23.037320477185
272.5GHz,-180,116deg,-23.2608766169928
272.5GHz,-180,117deg,-23.6275808396031
272.5GHz,-180,118deg,-24.1996952656736
272.5GHz,-180,119deg,-25.0372711699594
