Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,2.44593487835217
272.5GHz,-180,1deg,1.81649310062113
272.5GHz,-180,2deg,0.823020807811951
272.5GHz,-180,3deg,-0.509972377198481
272.5GHz,-180,4deg,-2.18668262382776
272.5GHz,-180,5deg,-4.24440495552203
272.5GHz,-180,6deg,-6.74223411707507
272.5GHz,-180,7deg,-9.60537412204718
272.5GHz,-180,8deg,-11.8613942739008
272.5GHz,-180,9deg,-11.6526246194501
272.5GHz,-180,10deg,-10.0693467578273
272.5GHz,-180,11deg,-8.90952418242971
272.5GHz,-180,12deg,-8.49103000253487
272.5GHz,-180,13deg,-8.49461869134719
272.5GHz,-180,14deg,-8.37703667285155
272.5GHz,-180,15deg,-7.89458640731234
272.5GHz,-180,16deg,-7.3708349867894
272.5GHz,-180,17deg,-7.19684090102919
272.5GHz,-180,18deg,-7.47273957104905
272.5GHz,-180,19deg,-7.99601691363606
272.5GHz,-180,20deg,-8.37844607188983
272.5GHz,-180,21deg,-8.3899724905614
272.5GHz,-180,22deg,-8.22156656752519
272.5GHz,-180,23deg,-8.2308739032197
272.5GHz,-180,24deg,-8.64370403215068
272.5GHz,-180,25deg,-9.47593226287319
272.5GHz,-180,26deg,-10.4448740549028
272.5GHz,-180,27deg,-10.9375772588737
272.5GHz,-180,28deg,-10.6475741320872
272.5GHz,-180,29deg,-10.1312313524767
272.5GHz,-180,30deg,-10.0797235357755
272.5GHz,-180,31deg,-10.8592987585715
272.5GHz,-180,32deg,-12.5391335149092
272.5GHz,-180,33deg,-14.4144153741371
272.5GHz,-180,34deg,-14.3037286591459
272.5GHz,-180,35deg,-12.3462588795888
272.5GHz,-180,36deg,-10.6858376982138
272.5GHz,-180,37deg,-9.96825874535477
272.5GHz,-180,38deg,-10.1878389131213
272.5GHz,-180,39deg,-11.105551800052
272.5GHz,-180,40deg,-11.9177119620261
272.5GHz,-180,41deg,-11.3142316483116
272.5GHz,-180,42deg,-9.50186313474981
272.5GHz,-180,43deg,-7.71355568436348
272.5GHz,-180,44deg,-6.46212140567734
272.5GHz,-180,45deg,-5.78263071011813
272.5GHz,-180,46deg,-5.56589301551258
272.5GHz,-180,47deg,-5.63778368426333
272.5GHz,-180,48deg,-5.78082952186134
272.5GHz,-180,49deg,-5.80591818288153
272.5GHz,-180,50deg,-5.66708302611605
272.5GHz,-180,51deg,-5.48322925627456
272.5GHz,-180,52deg,-5.43362561959111
272.5GHz,-180,53deg,-5.66550072523528
272.5GHz,-180,54deg,-6.27652025887672
272.5GHz,-180,55deg,-7.33192476782403
272.5GHz,-180,56deg,-8.87608744002834
272.5GHz,-180,57deg,-10.9066938246969
272.5GHz,-180,58deg,-13.2351990316606
272.5GHz,-180,59deg,-15.1540219646621
272.5GHz,-180,60deg,-15.6857149628665
272.5GHz,-180,61deg,-15.1423839655709
272.5GHz,-180,62deg,-14.5784230761189
272.5GHz,-180,63deg,-14.5065676163809
272.5GHz,-180,64deg,-15.0524229083983
272.5GHz,-180,65deg,-16.182066805762
272.5GHz,-180,66deg,-17.589739120905
272.5GHz,-180,67deg,-18.2877854861425
272.5GHz,-180,68deg,-17.2565060400435
272.5GHz,-180,69deg,-15.2186187570161
272.5GHz,-180,70deg,-13.2231401021863
272.5GHz,-180,71deg,-11.5995462933522
272.5GHz,-180,72deg,-10.3578051923108
272.5GHz,-180,73deg,-9.43893947208104
272.5GHz,-180,74deg,-8.7795057606437
272.5GHz,-180,75deg,-8.32332254552189
272.5GHz,-180,76deg,-8.02176552965856
272.5GHz,-180,77deg,-7.83250913643965
272.5GHz,-180,78deg,-7.7189191431204
272.5GHz,-180,79deg,-7.65037844001
272.5GHz,-180,80deg,-7.60318741346087
272.5GHz,-180,81deg,-7.56139221647578
272.5GHz,-180,82deg,-7.51689644976489
272.5GHz,-180,83deg,-7.46853473266043
272.5GHz,-180,84deg,-7.42026998290765
272.5GHz,-180,85deg,-7.37902638389149
272.5GHz,-180,86deg,-7.35270882975776
272.5GHz,-180,87deg,-7.34875067146816
272.5GHz,-180,88deg,-7.37326573567581
272.5GHz,-180,89deg,-7.43070004813986
272.5GHz,-180,90deg,-7.52381464251948
272.5GHz,-180,91deg,-7.65384593034463
272.5GHz,-180,92deg,-7.82073673267213
272.5GHz,-180,93deg,-8.02337887671398
272.5GHz,-180,94deg,-8.25984527170348
272.5GHz,-180,95deg,-8.52761396853978
272.5GHz,-180,96deg,-8.82380042764059
272.5GHz,-180,97deg,-9.14541794890477
272.5GHz,-180,98deg,-9.48967909464685
272.5GHz,-180,99deg,-9.85433130658745
272.5GHz,-180,100deg,-10.2379877914508
272.5GHz,-180,101deg,-10.6403748471588
272.5GHz,-180,102deg,-11.0623803696928
272.5GHz,-180,103deg,-11.5057718393931
272.5GHz,-180,104deg,-11.972473785206
272.5GHz,-180,105deg,-12.4633730792545
272.5GHz,-180,106deg,-12.976779803047
272.5GHz,-180,107deg,-13.5069450353013
272.5GHz,-180,108deg,-14.0434281724039
272.5GHz,-180,109deg,-14.5724536879148
272.5GHz,-180,110deg,-15.0811932104161
272.5GHz,-180,111deg,-15.5644708412952
272.5GHz,-180,112deg,-16.0308891132657
272.5GHz,-180,113deg,-16.5037991426416
272.5GHz,-180,114deg,-17.0139602036335
272.5GHz,-180,115deg,-17.5838945855283
272.5GHz,-180,116deg,-18.2058093599791
272.5GHz,-180,117deg,-18.8178540836833
272.5GHz,-180,118deg,-19.2974597010818
272.5GHz,-180,119deg,-19.5107961992391
272.5GHz,-180,120deg,-19.4183162327878
272.5GHz,-180,121deg,-19.1233747999497
272.5GHz,-180,122deg,-18.7905128320464
272.5GHz,-180,123deg,-18.5367669248257
272.5GHz,-180,124deg,-18.3849081186691
272.5GHz,-180,125deg,-18.2696247362077
272.5GHz,-180,126deg,-18.0877124260759
272.5GHz,-180,127deg,-17.7915807171312
272.5GHz,-180,128deg,-17.4606541536486
272.5GHz,-180,129deg,-17.2744962166122
272.5GHz,-180,130deg,-17.4345149090869
272.5GHz,-180,131deg,-18.118682104453
272.5GHz,-180,132deg,-19.4595135235384
272.5GHz,-180,133deg,-21.4189303017364
272.5GHz,-180,134deg,-23.2433652078343
272.5GHz,-180,135deg,-23.3206640432604
272.5GHz,-180,136deg,-22.0902706659429
272.5GHz,-180,137deg,-21.2531803261883
272.5GHz,-180,138deg,-21.4501666240555
272.5GHz,-180,139deg,-22.7185411595623
272.5GHz,-180,140deg,-24.368461779415
272.5GHz,-180,141deg,-24.4512443195784
272.5GHz,-180,142deg,-23.0094213857848
272.5GHz,-180,143deg,-22.0801944575572
272.5GHz,-180,144deg,-22.4918043841795
272.5GHz,-180,145deg,-24.4665069610316
272.5GHz,-180,146deg,-27.4924083719174
272.5GHz,-180,147deg,-27.9252349311068
272.5GHz,-180,148deg,-25.7087688761895
272.5GHz,-180,149deg,-24.3407911022604
272.5GHz,-180,150deg,-23.7488607278209
272.5GHz,-180,151deg,-22.7487813674913
272.5GHz,-180,152deg,-21.1592841061676
272.5GHz,-180,153deg,-19.9738697084579
272.5GHz,-180,154deg,-19.8427424402834
272.5GHz,-180,155deg,-20.9174516836577
272.5GHz,-180,156deg,-22.7625831660846
272.5GHz,-180,157deg,-23.7681736432564
272.5GHz,-180,158deg,-23.4696335215992
272.5GHz,-180,159deg,-24.0359920750264
272.5GHz,-180,160deg,-27.3961317409015
272.5GHz,-180,161deg,-32.6183887307315
272.5GHz,-180,162deg,-25.3227245414407
272.5GHz,-180,163deg,-20.8300600766866
272.5GHz,-180,164deg,-19.0704186100646
272.5GHz,-180,165deg,-19.183420921704
272.5GHz,-180,166deg,-20.9013769274588
272.5GHz,-180,167deg,-24.1293349725565
272.5GHz,-180,168deg,-28.6162545177982
272.5GHz,-180,169deg,-33.2722391281416
272.5GHz,-180,170deg,-32.9698464134478
272.5GHz,-180,171deg,-28.49438647438
272.5GHz,-180,172deg,-25.7352183429551
