Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,2.14815905280799
272.5GHz,-180,1deg,2.24663219940111
272.5GHz,-180,2deg,2.06836193115214
272.5GHz,-180,3deg,1.58920813765176
272.5GHz,-180,4deg,0.792968163784131
272.5GHz,-180,5deg,-0.332797049344685
272.5GHz,-180,6deg,-1.80380835877053
272.5GHz,-180,7deg,-3.65055665114203
272.5GHz,-180,8deg,-5.93311828993944
272.5GHz,-180,9deg,-8.72872700246838
272.5GHz,-180,10deg,-11.8621074959409
272.5GHz,-180,11deg,-13.624409662556
272.5GHz,-180,12deg,-12.0416642186725
272.5GHz,-180,13deg,-9.46553339126196
272.5GHz,-180,14deg,-7.40606155495368
272.5GHz,-180,15deg,-5.98984597718506
272.5GHz,-180,16deg,-5.12798936713372
272.5GHz,-180,17deg,-4.73900413278443
272.5GHz,-180,18deg,-4.76202205673014
272.5GHz,-180,19deg,-5.14221169318347
272.5GHz,-180,20deg,-5.81291579931439
272.5GHz,-180,21deg,-6.68201958244181
272.5GHz,-180,22deg,-7.63522154335026
272.5GHz,-180,23deg,-8.56733564018901
272.5GHz,-180,24deg,-9.42312580721728
272.5GHz,-180,25deg,-10.2019298936273
272.5GHz,-180,26deg,-10.9231691207083
272.5GHz,-180,27deg,-11.6074244792115
272.5GHz,-180,28deg,-12.295685666724
272.5GHz,-180,29deg,-13.0639194354942
272.5GHz,-180,30deg,-13.9978760764058
272.5GHz,-180,31deg,-15.1433297413701
272.5GHz,-180,32deg,-16.4373100738584
272.5GHz,-180,33deg,-17.5747445462293
272.5GHz,-180,34deg,-17.936448411164
272.5GHz,-180,35deg,-17.1913600583118
272.5GHz,-180,36deg,-15.8968756025297
272.5GHz,-180,37deg,-14.7577819194088
272.5GHz,-180,38deg,-14.116913255014
272.5GHz,-180,39deg,-14.073475239955
272.5GHz,-180,40deg,-14.6055729661463
272.5GHz,-180,41deg,-15.5845883059438
272.5GHz,-180,42deg,-16.750951289325
272.5GHz,-180,43deg,-17.8047477322592
272.5GHz,-180,44deg,-18.6949509526217
272.5GHz,-180,45deg,-19.71677488422
272.5GHz,-180,46deg,-21.1925110356222
272.5GHz,-180,47deg,-23.0473904244448
272.5GHz,-180,48deg,-24.3126364462876
272.5GHz,-180,49deg,-24.0127384460017
272.5GHz,-180,50deg,-23.0842221890897
272.5GHz,-180,51deg,-22.39920810762
272.5GHz,-180,52deg,-21.5344880464521
272.5GHz,-180,53deg,-19.6002522482767
272.5GHz,-180,54deg,-16.864745891247
272.5GHz,-180,55deg,-14.2126635265548
272.5GHz,-180,56deg,-12.0398007093173
272.5GHz,-180,57deg,-10.3986858588743
272.5GHz,-180,58deg,-9.24385205563725
272.5GHz,-180,59deg,-8.51561260813705
272.5GHz,-180,60deg,-8.15933183752469
272.5GHz,-180,61deg,-8.12648798319195
272.5GHz,-180,62deg,-8.37005919866717
272.5GHz,-180,63deg,-8.83638970110333
272.5GHz,-180,64deg,-9.45315524185821
272.5GHz,-180,65deg,-10.115299717084
272.5GHz,-180,66deg,-10.6806976256869
272.5GHz,-180,67deg,-11.0006573951495
272.5GHz,-180,68deg,-10.9922262219478
272.5GHz,-180,69deg,-10.6903637101499
272.5GHz,-180,70deg,-10.2137847544384
272.5GHz,-180,71deg,-9.68803980489021
272.5GHz,-180,72deg,-9.2016740806909
272.5GHz,-180,73deg,-8.8031865976842
272.5GHz,-180,74deg,-8.5131276465125
272.5GHz,-180,75deg,-8.33567728269986
272.5GHz,-180,76deg,-8.26615903498399
272.5GHz,-180,77deg,-8.2952866720158
272.5GHz,-180,78deg,-8.41146029302853
272.5GHz,-180,79deg,-8.60203729871678
272.5GHz,-180,80deg,-8.85411054150647
272.5GHz,-180,81deg,-9.15506943958901
272.5GHz,-180,82deg,-9.49306664547029
272.5GHz,-180,83deg,-9.85742136515872
272.5GHz,-180,84deg,-10.2389382957722
272.5GHz,-180,85deg,-10.6301006119036
272.5GHz,-180,86deg,-11.0251032684663
272.5GHz,-180,87deg,-11.4197224132455
272.5GHz,-180,88deg,-11.8110552103108
272.5GHz,-180,89deg,-12.1971967193452
272.5GHz,-180,90deg,-12.5769354045324
272.5GHz,-180,91deg,-12.9495429856969
272.5GHz,-180,92deg,-13.3147112857283
272.5GHz,-180,93deg,-13.6726550012128
272.5GHz,-180,94deg,-14.0243609421157
272.5GHz,-180,95deg,-14.3719259522943
272.5GHz,-180,96deg,-14.7188917818741
272.5GHz,-180,97deg,-15.070459776503
272.5GHz,-180,98deg,-15.4334528878749
272.5GHz,-180,99deg,-15.8158820917531
272.5GHz,-180,100deg,-16.2259557178895
272.5GHz,-180,101deg,-16.6703299440772
272.5GHz,-180,102deg,-17.1513492463628
272.5GHz,-180,103deg,-17.6630692690813
272.5GHz,-180,104deg,-18.186305148177
272.5GHz,-180,105deg,-18.6844189958647
272.5GHz,-180,106deg,-19.1044303588149
272.5GHz,-180,107deg,-19.3901245299894
272.5GHz,-180,108deg,-19.5082535211618
272.5GHz,-180,109deg,-19.4731527799518
272.5GHz,-180,110deg,-19.3482344722058
272.5GHz,-180,111deg,-19.2231341862683
272.5GHz,-180,112deg,-19.1873410880875
272.5GHz,-180,113deg,-19.3162985523994
272.5GHz,-180,114deg,-19.669733690718
272.5GHz,-180,115deg,-20.2949470241576
272.5GHz,-180,116deg,-21.2281016317205
272.5GHz,-180,117deg,-22.4850178636975
272.5GHz,-180,118deg,-24.0220712304948
272.5GHz,-180,119deg,-25.6284280296235
272.5GHz,-180,120deg,-26.7831664720832
272.5GHz,-180,121deg,-26.9227324167367
272.5GHz,-180,122deg,-26.1991926974999
272.5GHz,-180,123deg,-25.2459286556226
272.5GHz,-180,124deg,-24.4718690042199
272.5GHz,-180,125deg,-24.013489714101
272.5GHz,-180,126deg,-23.8808622031237
272.5GHz,-180,127deg,-24.02220462832
272.5GHz,-180,128deg,-24.3254938193905
272.5GHz,-180,129deg,-24.6072101445203
272.5GHz,-180,130deg,-24.6606972786869
272.5GHz,-180,131deg,-24.4039115355973
272.5GHz,-180,132deg,-23.9754611588749
272.5GHz,-180,133deg,-23.6332124577583
272.5GHz,-180,134deg,-23.6126578429954
272.5GHz,-180,135deg,-24.0872699520441
272.5GHz,-180,136deg,-25.1841116882514
272.5GHz,-180,137deg,-26.968187569024
272.5GHz,-180,138deg,-29.2622745654483
272.5GHz,-180,139deg,-31.1510966122825
272.5GHz,-180,140deg,-31.5011267815201
272.5GHz,-180,141deg,-31.0894219592789
272.5GHz,-180,142deg,-31.0575352848725
272.5GHz,-180,143deg,-31.4905728067089
272.5GHz,-180,144deg,-31.862518334422
272.5GHz,-180,145deg,-31.9386842254333
272.5GHz,-180,146deg,-32.2089039507389
272.5GHz,-180,147deg,-32.7434385882586
272.5GHz,-180,148deg,-31.9233118510114
272.5GHz,-180,149deg,-29.2470987310715
272.5GHz,-180,150deg,-26.77735004452
272.5GHz,-180,151deg,-25.426311385634
272.5GHz,-180,152deg,-25.2930125338703
272.5GHz,-180,153deg,-26.3015623207049
272.5GHz,-180,154deg,-28.1520547747457
272.5GHz,-180,155deg,-29.951793338946
272.5GHz,-180,156deg,-30.6878892413795
272.5GHz,-180,157deg,-30.5138954274085
272.5GHz,-180,158deg,-29.4263512906882
272.5GHz,-180,159deg,-27.4061248567783
272.5GHz,-180,160deg,-25.4102136003284
272.5GHz,-180,161deg,-24.0719551078421
272.5GHz,-180,162deg,-23.3877100554726
272.5GHz,-180,163deg,-23.0968449621499
272.5GHz,-180,164deg,-23.0529019521982
272.5GHz,-180,165deg,-23.4445390806672
272.5GHz,-180,166deg,-24.6081848797817
272.5GHz,-180,167deg,-26.5124980931184
272.5GHz,-180,168deg,-27.8499352974948
272.5GHz,-180,169deg,-27.4869276372699
272.5GHz,-180,170deg,-27.3177775091629
272.5GHz,-180,171deg,-28.5141901413434
272.5GHz,-180,172deg,-28.4462640319398
272.5GHz,-180,173deg,-24.6499473928714
272.5GHz,-180,174deg,-21.2886341760423
272.5GHz,-180,175deg,-19.3775150628427
272.5GHz,-180,176deg,-18.634609531205
272.5GHz,-180,177deg,-18.7025707714063
272.5GHz,-180,178deg,-19.2206466583824
272.5GHz,-180,179deg,-19.8737084307261
272.5GHz,-180,180deg,-20.4338211698322
272.5GHz,-179,0deg,2.14815905280799
272.5GHz,-179,1deg,2.22264055804512
272.5GHz,-179,2deg,2.02398241382256
272.5GHz,-179,3deg,1.52944726017108
272.5GHz,-179,4deg,0.724446596594647
272.5GHz,-179,5deg,-0.401494045414562
272.5GHz,-179,6deg,-1.86182586644672
272.5GHz,-179,7deg,-3.68480546404771
272.5GHz,-179,8deg,-5.92865735822533
272.5GHz,-179,9deg,-8.67022154622898
272.5GHz,-179,10deg,-11.7535529453682
272.5GHz,-179,11deg,-13.5817469405778
272.5GHz,-179,12deg,-12.1224952229705
272.5GHz,-179,13deg,-9.55829663321648
272.5GHz,-179,14deg,-7.46856935914949
272.5GHz,-179,15deg,-6.0141935435937
272.5GHz,-179,16deg,-5.11545402728303
272.5GHz,-179,17deg,-4.69469469844105
272.5GHz,-179,18deg,-4.69236010867372
272.5GHz,-179,19deg,-5.05238320957007
272.5GHz,-179,20deg,-5.70315990653292
272.5GHz,-179,21deg,-6.53876860480748
272.5GHz,-179,22deg,-7.41186793506668
272.5GHz,-179,23deg,-8.16309867958975
272.5GHz,-179,24deg,-8.69504181949926
272.5GHz,-179,25deg,-9.03010021765346
272.5GHz,-179,26deg,-9.28336246500541
272.5GHz,-179,27deg,-9.58936091100158
272.5GHz,-179,28deg,-10.0576277258016
272.5GHz,-179,29deg,-10.7665792001686
272.5GHz,-179,30deg,-11.7730348189632
272.5GHz,-179,31deg,-13.1252844688242
272.5GHz,-179,32deg,-14.8753223703384
272.5GHz,-179,33deg,-17.0635441222268
272.5GHz,-179,34deg,-19.5312088020848
272.5GHz,-179,35deg,-21.2267137171797
272.5GHz,-179,36deg,-20.6376754920356
272.5GHz,-179,37deg,-18.8661498799477
272.5GHz,-179,38deg,-17.4495018268749
272.5GHz,-179,39deg,-16.7996886813105
272.5GHz,-179,40deg,-16.9421159714263
272.5GHz,-179,41deg,-17.8023217909235
272.5GHz,-179,42deg,-19.169764044169
272.5GHz,-179,43deg,-20.5567895734312
272.5GHz,-179,44deg,-21.3830172868957
272.5GHz,-179,45deg,-21.734197068342
272.5GHz,-179,46deg,-22.2827466423676
