Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,3.02971401069265
272.5GHz,-180,1deg,3.08270640510659
272.5GHz,-180,2deg,2.73973012389219
272.5GHz,-180,3deg,1.99323566561678
272.5GHz,-180,4deg,0.837164029790428
272.5GHz,-180,5deg,-0.737286128534659
272.5GHz,-180,6deg,-2.74240042148478
272.5GHz,-180,7deg,-5.17012562818652
272.5GHz,-180,8deg,-7.8430670688111
272.5GHz,-180,9deg,-9.87704023316478
272.5GHz,-180,10deg,-9.73734175096739
272.5GHz,-180,11deg,-7.946512460341
272.5GHz,-180,12deg,-6.04122568524799
272.5GHz,-180,13deg,-4.56762244013014
272.5GHz,-180,14deg,-3.59286676325851
272.5GHz,-180,15deg,-3.0799380457601
272.5GHz,-180,16deg,-2.97769643718431
272.5GHz,-180,17deg,-3.24374455615813
272.5GHz,-180,18deg,-3.85353132072648
272.5GHz,-180,19deg,-4.80025892217482
272.5GHz,-180,20deg,-6.0821237689298
272.5GHz,-180,21deg,-7.67424250376369
272.5GHz,-180,22deg,-9.47965137560902
272.5GHz,-180,23deg,-11.2529460261388
272.5GHz,-180,24deg,-12.563415251056
272.5GHz,-180,25deg,-13.0545478844669
272.5GHz,-180,26deg,-12.8945906835554
272.5GHz,-180,27deg,-12.6180650870618
272.5GHz,-180,28deg,-12.6630180576436
272.5GHz,-180,29deg,-13.2670574460119
272.5GHz,-180,30deg,-14.5366859370315
272.5GHz,-180,31deg,-16.4831416449206
272.5GHz,-180,32deg,-18.9989215346101
272.5GHz,-180,33deg,-21.8441193936376
272.5GHz,-180,34deg,-24.7897828939174
272.5GHz,-180,35deg,-27.5316223137564
272.5GHz,-180,36deg,-28.4590529652598
272.5GHz,-180,37deg,-26.8266826505267
272.5GHz,-180,38deg,-24.8130119497958
272.5GHz,-180,39deg,-22.9618639050434
272.5GHz,-180,40deg,-20.8161473945582
272.5GHz,-180,41deg,-18.4739446559873
272.5GHz,-180,42deg,-16.4682169145653
272.5GHz,-180,43deg,-15.1222713172331
272.5GHz,-180,44deg,-14.4961132315724
272.5GHz,-180,45deg,-14.4663637939695
272.5GHz,-180,46deg,-14.6826679847192
272.5GHz,-180,47deg,-14.5790525697496
272.5GHz,-180,48deg,-13.857161847637
272.5GHz,-180,49deg,-12.8710176037024
272.5GHz,-180,50deg,-12.1164350362842
272.5GHz,-180,51deg,-11.8395086677562
272.5GHz,-180,52deg,-12.0678160442548
272.5GHz,-180,53deg,-12.6450618135221
272.5GHz,-180,54deg,-13.1719809051306
272.5GHz,-180,55deg,-13.1124805808759
272.5GHz,-180,56deg,-12.3362985952795
272.5GHz,-180,57deg,-11.2621670380207
272.5GHz,-180,58deg,-10.304790262426
272.5GHz,-180,59deg,-9.64119106172944
272.5GHz,-180,60deg,-9.29818412584648
272.5GHz,-180,61deg,-9.23716091946197
272.5GHz,-180,62deg,-9.38684087207267
272.5GHz,-180,63deg,-9.6499728277058
272.5GHz,-180,64deg,-9.90612172268308
272.5GHz,-180,65deg,-10.0293974501256
272.5GHz,-180,66deg,-9.92975231577829
272.5GHz,-180,67deg,-9.59389101374174
272.5GHz,-180,68deg,-9.08381725916214
272.5GHz,-180,69deg,-8.4937650333485
272.5GHz,-180,70deg,-7.90817850446939
272.5GHz,-180,71deg,-7.38487768979078
272.5GHz,-180,72deg,-6.95657874236043
272.5GHz,-180,73deg,-6.63808403568695
272.5GHz,-180,74deg,-6.43281419692375
272.5GHz,-180,75deg,-6.33727068731828
272.5GHz,-180,76deg,-6.34377732890954
272.5GHz,-180,77deg,-6.4421153089443
272.5GHz,-180,78deg,-6.62052621690793
272.5GHz,-180,79deg,-6.86638717503783
272.5GHz,-180,80deg,-7.16673798535243
272.5GHz,-180,81deg,-7.50875665374987
272.5GHz,-180,82deg,-7.88022009120563
272.5GHz,-180,83deg,-8.26994178933857
272.5GHz,-180,84deg,-8.66814732238447
272.5GHz,-180,85deg,-9.06673648593212
272.5GHz,-180,86deg,-9.45939176259997
272.5GHz,-180,87deg,-9.84152391763132
