Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,120deg,-26.7228642804659
272.5GHz,-180,121deg,-26.7782896608558
272.5GHz,-180,122deg,-26.9305620197692
272.5GHz,-180,123deg,-27.0941264086852
272.5GHz,-180,124deg,-27.145170344758
272.5GHz,-180,125deg,-26.9965887504533
272.5GHz,-180,126deg,-26.6707782667929
272.5GHz,-180,127deg,-26.2835267889366
272.5GHz,-180,128deg,-25.9630533378129
272.5GHz,-180,129deg,-25.7948056072575
272.5GHz,-180,130deg,-25.8120716745378
272.5GHz,-180,131deg,-25.9998900121517
272.5GHz,-180,132deg,-26.2853876016387
272.5GHz,-180,133deg,-26.5157917389532
272.5GHz,-180,134deg,-26.4810709259092
272.5GHz,-180,135deg,-26.0602165743114
272.5GHz,-180,136deg,-25.3715525320508
272.5GHz,-180,137deg,-24.6900293757958
272.5GHz,-180,138deg,-24.2567702415082
272.5GHz,-180,139deg,-24.1946375533933
272.5GHz,-180,140deg,-24.4931834792436
272.5GHz,-180,141deg,-24.9928242073369
272.5GHz,-180,142deg,-25.4393905527024
272.5GHz,-180,143deg,-25.7486267906536
272.5GHz,-180,144deg,-26.2373631586853
272.5GHz,-180,145deg,-27.44513343499
272.5GHz,-180,146deg,-29.6351686865363
272.5GHz,-180,147deg,-30.632361546698
272.5GHz,-180,148deg,-27.5252303750165
272.5GHz,-180,149deg,-24.3118885738841
272.5GHz,-180,150deg,-22.5239180185497
272.5GHz,-180,151deg,-22.1691646544744
272.5GHz,-180,152deg,-23.2849162695743
272.5GHz,-180,153deg,-26.1213596831531
272.5GHz,-180,154deg,-30.7341255482359
272.5GHz,-180,155deg,-32.4889979999772
272.5GHz,-180,156deg,-30.2416270784138
272.5GHz,-180,157deg,-29.8905272121484
272.5GHz,-180,158deg,-31.08009416679
272.5GHz,-180,159deg,-29.6547678471679
272.5GHz,-180,160deg,-26.1652653592183
272.5GHz,-180,161deg,-23.9821453313921
272.5GHz,-180,162deg,-23.5085506163103
272.5GHz,-180,163deg,-24.7735578272292
272.5GHz,-180,164deg,-28.1818401389705
272.5GHz,-180,165deg,-35.3902038885701
272.5GHz,-180,166deg,-41.123373369277
272.5GHz,-180,167deg,-33.6898905248107
272.5GHz,-180,168deg,-30.9969446933375
272.5GHz,-180,169deg,-29.7787565795818
272.5GHz,-180,170deg,-28.90756508754
272.5GHz,-180,171deg,-28.1508081434968
272.5GHz,-180,172deg,-27.1610512864257
272.5GHz,-180,173deg,-25.4394286645044
272.5GHz,-180,174deg,-23.2970798019675
272.5GHz,-180,175deg,-21.40353838767
272.5GHz,-180,176deg,-20.0140636216613
272.5GHz,-180,177deg,-19.0619972793884
