Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,2.69114556291362
272.5GHz,-180,1deg,2.8389893504878
272.5GHz,-180,2deg,2.72390674135154
272.5GHz,-180,3deg,2.30994109305627
272.5GHz,-180,4deg,1.57818990776701
272.5GHz,-180,5deg,0.528827080156768
272.5GHz,-180,6deg,-0.819089880495033
272.5GHz,-180,7deg,-2.42666110385853
272.5GHz,-180,8deg,-4.2262427931306
272.5GHz,-180,9deg,-6.08979919334048
272.5GHz,-180,10deg,-7.75365201462039
272.5GHz,-180,11deg,-8.76108727764175
272.5GHz,-180,12deg,-8.7487697137486
272.5GHz,-180,13deg,-7.96598735423308
272.5GHz,-180,14deg,-7.02459777730291
272.5GHz,-180,15deg,-6.36018594302919
272.5GHz,-180,16deg,-6.16604033279009
272.5GHz,-180,17deg,-6.49605869005246
272.5GHz,-180,18deg,-7.31775993491023
272.5GHz,-180,19deg,-8.50799995339812
272.5GHz,-180,20deg,-9.82872404414744
272.5GHz,-180,21deg,-10.9770187025361
272.5GHz,-180,22deg,-11.7953771671972
272.5GHz,-180,23deg,-12.4239938562644
272.5GHz,-180,24deg,-13.1409312645318
272.5GHz,-180,25deg,-14.1184765325052
272.5GHz,-180,26deg,-15.244680168565
272.5GHz,-180,27deg,-15.98415887622
272.5GHz,-180,28deg,-15.8179658659385
272.5GHz,-180,29deg,-15.1125771393283
272.5GHz,-180,30deg,-14.5996967603878
272.5GHz,-180,31deg,-14.6527228109343
272.5GHz,-180,32deg,-15.3428477011918
272.5GHz,-180,33deg,-16.5968622275612
272.5GHz,-180,34deg,-18.2772135769943
272.5GHz,-180,35deg,-20.2423376513488
272.5GHz,-180,36deg,-22.2545739489211
272.5GHz,-180,37deg,-23.4203134880294
272.5GHz,-180,38deg,-22.5691149307453
272.5GHz,-180,39deg,-20.5335619758014
272.5GHz,-180,40deg,-18.5038335534319
272.5GHz,-180,41deg,-16.7177812933371
272.5GHz,-180,42deg,-15.1117968146642
272.5GHz,-180,43deg,-13.6892152925006
272.5GHz,-180,44deg,-12.5260762681509
272.5GHz,-180,45deg,-11.6680225795515
272.5GHz,-180,46deg,-11.0687165593378
272.5GHz,-180,47deg,-10.5932413488016
272.5GHz,-180,48deg,-10.0896761415954
272.5GHz,-180,49deg,-9.50444132441737
272.5GHz,-180,50deg,-8.92647258179236
272.5GHz,-180,51deg,-8.50830796722055
272.5GHz,-180,52deg,-8.37335124487749
272.5GHz,-180,53deg,-8.58367769990792
272.5GHz,-180,54deg,-9.1427098646667
272.5GHz,-180,55deg,-9.99707615243049
272.5GHz,-180,56deg,-11.0292252917436
272.5GHz,-180,57deg,-12.0611318739727
272.5GHz,-180,58deg,-12.9109457585215
