Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,0.8388322812879
272.5GHz,-180,1deg,0.788276529383062
272.5GHz,-180,2deg,0.334544442694342
272.5GHz,-180,3deg,-0.512833091832656
272.5GHz,-180,4deg,-1.74754472908077
272.5GHz,-180,5deg,-3.36528869439451
272.5GHz,-180,6deg,-5.34112588421018
272.5GHz,-180,7deg,-7.53881033248278
272.5GHz,-180,8deg,-9.46175393859696
272.5GHz,-180,9deg,-10.143724949068
272.5GHz,-180,10deg,-9.30956542736845
272.5GHz,-180,11deg,-7.8773094990911
272.5GHz,-180,12deg,-6.56049929917868
272.5GHz,-180,13deg,-5.56935359544503
272.5GHz,-180,14deg,-4.90127718106385
272.5GHz,-180,15deg,-4.49925741374635
272.5GHz,-180,16deg,-4.32227105331763
272.5GHz,-180,17deg,-4.375109460813
272.5GHz,-180,18deg,-4.70009008020932
272.5GHz,-180,19deg,-5.34374351080443
272.5GHz,-180,20deg,-6.31854432090458
272.5GHz,-180,21deg,-7.5576760290676
272.5GHz,-180,22deg,-8.84240155929169
272.5GHz,-180,23deg,-9.75592419575361
272.5GHz,-180,24deg,-9.93187007894672
272.5GHz,-180,25deg,-9.50904263148465
272.5GHz,-180,26deg,-8.97261662182583
272.5GHz,-180,27deg,-8.69734987000716
272.5GHz,-180,28deg,-8.86345889714905
272.5GHz,-180,29deg,-9.5441150530648
272.5GHz,-180,30deg,-10.7479398135611
272.5GHz,-180,31deg,-12.3158242973802
272.5GHz,-180,32deg,-13.5116980305126
272.5GHz,-180,33deg,-13.0847202171774
272.5GHz,-180,34deg,-11.3178640284061
272.5GHz,-180,35deg,-9.50710091269155
272.5GHz,-180,36deg,-8.21067169891596
272.5GHz,-180,37deg,-7.51097071739969
272.5GHz,-180,38deg,-7.364371812539
272.5GHz,-180,39deg,-7.70083587153491
272.5GHz,-180,40deg,-8.44813054607749
272.5GHz,-180,41deg,-9.5411504810403
272.5GHz,-180,42deg,-10.9109858829458
272.5GHz,-180,43deg,-12.398178958829
272.5GHz,-180,44deg,-13.5433640949288
272.5GHz,-180,45deg,-13.6500943604898
272.5GHz,-180,46deg,-12.7193490542989
272.5GHz,-180,47deg,-11.5294088182671
272.5GHz,-180,48deg,-10.6525606964209
272.5GHz,-180,49deg,-10.2980711058664
272.5GHz,-180,50deg,-10.5181068869195
272.5GHz,-180,51deg,-11.3030344562747
272.5GHz,-180,52deg,-12.5522478559819
272.5GHz,-180,53deg,-13.8919496718585
272.5GHz,-180,54deg,-14.4883661528044
