Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,4.68686529709883
272.5GHz,-180,1deg,4.52803952450454
272.5GHz,-180,2deg,4.11999607208494
272.5GHz,-180,3deg,3.50333930774714
272.5GHz,-180,4deg,2.7212602897399
272.5GHz,-180,5deg,1.80342282066371
272.5GHz,-180,6deg,0.746523824509828
272.5GHz,-180,7deg,-0.496573324013748
272.5GHz,-180,8deg,-2.0091056565363
272.5GHz,-180,9deg,-3.88578142191807
272.5GHz,-180,10deg,-6.19496096330221
272.5GHz,-180,11deg,-8.91117186531558
272.5GHz,-180,12deg,-11.7860917679936
272.5GHz,-180,13deg,-14.2795558775291
272.5GHz,-180,14deg,-16.0155971557506
272.5GHz,-180,15deg,-17.2874867350245
272.5GHz,-180,16deg,-18.4833817761013
272.5GHz,-180,17deg,-19.5124617631638
272.5GHz,-180,18deg,-19.8849146657884
272.5GHz,-180,19deg,-19.2993286724332
272.5GHz,-180,20deg,-18.0749094907988
272.5GHz,-180,21deg,-16.7099802748474
272.5GHz,-180,22deg,-15.4860200656955
272.5GHz,-180,23deg,-14.5011678789323
272.5GHz,-180,24deg,-13.7845902598565
272.5GHz,-180,25deg,-13.3536688307566
272.5GHz,-180,26deg,-13.2118825835222
272.5GHz,-180,27deg,-13.3095572618718
272.5GHz,-180,28deg,-13.5062716570695
272.5GHz,-180,29deg,-13.6113527288695
272.5GHz,-180,30deg,-13.5507540846186
272.5GHz,-180,31deg,-13.4792696431282
272.5GHz,-180,32deg,-13.6497289489348
272.5GHz,-180,33deg,-14.2052904866717
272.5GHz,-180,34deg,-15.0059595050791
272.5GHz,-180,35deg,-15.4674441221391
272.5GHz,-180,36deg,-14.956974045973
272.5GHz,-180,37deg,-13.7448087453215
272.5GHz,-180,38deg,-12.5488204785737
272.5GHz,-180,39deg,-11.7482831848813
272.5GHz,-180,40deg,-11.4474600472372
272.5GHz,-180,41deg,-11.671790916126
272.5GHz,-180,42deg,-12.4575878631984
272.5GHz,-180,43deg,-13.8755543734684
272.5GHz,-180,44deg,-15.9663433990949
272.5GHz,-180,45deg,-18.2812041782477
272.5GHz,-180,46deg,-18.8177455306516
272.5GHz,-180,47deg,-16.8544078628147
272.5GHz,-180,48deg,-14.6227615259836
272.5GHz,-180,49deg,-13.0394521460282
272.5GHz,-180,50deg,-12.1434116046151
272.5GHz,-180,51deg,-11.8478218279074
272.5GHz,-180,52deg,-12.080875919285
272.5GHz,-180,53deg,-12.7970909203766
272.5GHz,-180,54deg,-13.9647509444404
272.5GHz,-180,55deg,-15.5306458929561
272.5GHz,-180,56deg,-17.3266349649173
