Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,2.91125592676859
272.5GHz,-180,1deg,2.79618810181529
272.5GHz,-180,2deg,2.57251127247589
272.5GHz,-180,3deg,2.24377786109604
272.5GHz,-180,4deg,1.8129717691713
272.5GHz,-180,5deg,1.27222485419714
272.5GHz,-180,6deg,0.607323227646743
272.5GHz,-180,7deg,-0.182959348625907
272.5GHz,-180,8deg,-1.06100771719475
272.5GHz,-180,9deg,-1.93551742602268
272.5GHz,-180,10deg,-2.69288858161235
272.5GHz,-180,11deg,-3.29493858648076
272.5GHz,-180,12deg,-3.86089363311229
272.5GHz,-180,13deg,-4.62925055501865
272.5GHz,-180,14deg,-5.86687847846528
272.5GHz,-180,15deg,-7.84800086661394
272.5GHz,-180,16deg,-10.9392433994187
272.5GHz,-180,17deg,-15.8663597072622
272.5GHz,-180,18deg,-23.6941957778602
272.5GHz,-180,19deg,-21.6952930145377
272.5GHz,-180,20deg,-17.0124725892697
272.5GHz,-180,21deg,-14.7803328766249
272.5GHz,-180,22deg,-13.7881620013963
272.5GHz,-180,23deg,-13.5707879465122
272.5GHz,-180,24deg,-14.0127729255779
272.5GHz,-180,25deg,-15.1956659183396
272.5GHz,-180,26deg,-17.3719559978876
272.5GHz,-180,27deg,-20.9134475211625
272.5GHz,-180,28deg,-24.0719755578532
272.5GHz,-180,29deg,-20.8423155418309
272.5GHz,-180,30deg,-17.0274859790884
272.5GHz,-180,31deg,-14.7583802248143
272.5GHz,-180,32deg,-13.7512554352933
272.5GHz,-180,33deg,-13.8147876826886
272.5GHz,-180,34deg,-14.8892756412096
272.5GHz,-180,35deg,-16.9519963708669
272.5GHz,-180,36deg,-19.7348384144865
272.5GHz,-180,37deg,-21.9338032337385
272.5GHz,-180,38deg,-22.1631895996309
272.5GHz,-180,39deg,-21.8497001523191
272.5GHz,-180,40deg,-22.2734674298585
272.5GHz,-180,41deg,-23.205517373455
272.5GHz,-180,42deg,-23.0805452018366
272.5GHz,-180,43deg,-21.1715566593267
272.5GHz,-180,44deg,-18.9771806535593
272.5GHz,-180,45deg,-17.3620051675911
272.5GHz,-180,46deg,-16.4321499285913
272.5GHz,-180,47deg,-16.1159129534555
272.5GHz,-180,48deg,-16.3001288969449
272.5GHz,-180,49deg,-16.7964213289664
272.5GHz,-180,50deg,-17.2728828609424
272.5GHz,-180,51deg,-17.3413242539725
272.5GHz,-180,52deg,-16.9173591268901
272.5GHz,-180,53deg,-16.3237456060709
272.5GHz,-180,54deg,-15.9318077930107
272.5GHz,-180,55deg,-15.9543030214021
272.5GHz,-180,56deg,-16.4724544009707
272.5GHz,-180,57deg,-17.4686033021919
272.5GHz,-180,58deg,-18.7512220652061
272.5GHz,-180,59deg,-19.7464433169422
272.5GHz,-180,60deg,-19.6438833761257
272.5GHz,-180,61deg,-18.4592891444637
272.5GHz,-180,62deg,-16.9615023116665
272.5GHz,-180,63deg,-15.639941846815
272.5GHz,-180,64deg,-14.6272961406895
272.5GHz,-180,65deg,-13.918591282967
272.5GHz,-180,66deg,-13.4717370797384
272.5GHz,-180,67deg,-13.2351989490962
272.5GHz,-180,68deg,-13.1521438218977
272.5GHz,-180,69deg,-13.1598987353501
272.5GHz,-180,70deg,-13.1926639003974
272.5GHz,-180,71deg,-13.1911240823788
272.5GHz,-180,72deg,-13.1168504370885
272.5GHz,-180,73deg,-12.9626125369015
272.5GHz,-180,74deg,-12.7500362549974
272.5GHz,-180,75deg,-12.5160291372161
272.5GHz,-180,76deg,-12.2975725864898
272.5GHz,-180,77deg,-12.1223171077859
272.5GHz,-180,78deg,-12.0058034382259
272.5GHz,-180,79deg,-11.9526470527553
272.5GHz,-180,80deg,-11.9591464206382
272.5GHz,-180,81deg,-12.0160061757397
272.5GHz,-180,82deg,-12.1107735602419
272.5GHz,-180,83deg,-12.2299651789664
272.5GHz,-180,84deg,-12.3609065175721
272.5GHz,-180,85deg,-12.4932211369597
272.5GHz,-180,86deg,-12.6198320302478
272.5GHz,-180,87deg,-12.737355147457
272.5GHz,-180,88deg,-12.8458811105896
272.5GHz,-180,89deg,-12.9482915930748
272.5GHz,-180,90deg,-13.0493551661632
272.5GHz,-180,91deg,-13.1548475429572
272.5GHz,-180,92deg,-13.2708607982827
272.5GHz,-180,93deg,-13.4033584957002
272.5GHz,-180,94deg,-13.5579447166229
272.5GHz,-180,95deg,-13.7397628501657
272.5GHz,-180,96deg,-13.9534196536246
272.5GHz,-180,97deg,-14.2028277707165
272.5GHz,-180,98deg,-14.4908643092832
272.5GHz,-180,99deg,-14.8187514646993
272.5GHz,-180,100deg,-15.1850881603567
272.5GHz,-180,101deg,-15.5845309058678
272.5GHz,-180,102deg,-16.0062978206544
272.5GHz,-180,103deg,-16.4330259454936
272.5GHz,-180,104deg,-16.8410385836929
272.5GHz,-180,105deg,-17.2034446620588
272.5GHz,-180,106deg,-17.4968574127001
272.5GHz,-180,107deg,-17.71016497944
272.5GHz,-180,108deg,-17.8508949392858
272.5GHz,-180,109deg,-17.9446811970857
272.5GHz,-180,110deg,-18.0275233480192
272.5GHz,-180,111deg,-18.134988549852
272.5GHz,-180,112deg,-18.293044744139
272.5GHz,-180,113deg,-18.5129150738533
272.5GHz,-180,114deg,-18.790707724253
272.5GHz,-180,115deg,-19.1125876590499
272.5GHz,-180,116deg,-19.4658643729021
272.5GHz,-180,117deg,-19.8531388634251
272.5GHz,-180,118deg,-20.3019060233984
272.5GHz,-180,119deg,-20.8615469761416
272.5GHz,-180,120deg,-21.5848749478958
272.5GHz,-180,121deg,-22.4933772054148
272.5GHz,-180,122deg,-23.5196298693014
272.5GHz,-180,123deg,-24.4386751216525
272.5GHz,-180,124deg,-24.9193729585045
272.5GHz,-180,125deg,-24.8545457213121
272.5GHz,-180,126deg,-24.5590951373422
272.5GHz,-180,127deg,-24.4726788668913
272.5GHz,-180,128deg,-24.9100742252833
272.5GHz,-180,129deg,-26.0510500755934
272.5GHz,-180,130deg,-27.8512802150772
272.5GHz,-180,131deg,-29.3878173849745
272.5GHz,-180,132deg,-28.7766527650362
272.5GHz,-180,133deg,-26.7888253457326
272.5GHz,-180,134deg,-25.2091152222463
272.5GHz,-180,135deg,-24.5193044837323
272.5GHz,-180,136deg,-24.7187972289047
272.5GHz,-180,137deg,-25.6555916308046
272.5GHz,-180,138deg,-26.9233730371211
272.5GHz,-180,139deg,-27.8366598155258
272.5GHz,-180,140deg,-28.2158387562218
272.5GHz,-180,141deg,-28.8571327401778
272.5GHz,-180,142deg,-30.7475527624201
272.5GHz,-180,143deg,-35.0635760753838
272.5GHz,-180,144deg,-42.7071593575149
272.5GHz,-180,145deg,-37.5951114816128
272.5GHz,-180,146deg,-33.5794065545854
272.5GHz,-180,147deg,-32.1186227968908
272.5GHz,-180,148deg,-30.8971947775798
272.5GHz,-180,149deg,-28.7155453826712
272.5GHz,-180,150deg,-26.5976228929076
272.5GHz,-180,151deg,-25.5029893826249
272.5GHz,-180,152deg,-25.7108756701549
272.5GHz,-180,153deg,-27.2478756040596
272.5GHz,-180,154deg,-29.677174780672
272.5GHz,-180,155deg,-31.3037027686237
272.5GHz,-180,156deg,-31.6707201302942
272.5GHz,-180,157deg,-33.337967517824
272.5GHz,-180,158deg,-37.545609225467
272.5GHz,-180,159deg,-33.8888068951167
272.5GHz,-180,160deg,-28.500437349604
272.5GHz,-180,161deg,-25.889522269811
272.5GHz,-180,162deg,-25.2045852911097
