Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,5.21887738365143
272.5GHz,-180,1deg,4.86932189583473
272.5GHz,-180,2deg,4.14104128186796
272.5GHz,-180,3deg,3.06038151005418
272.5GHz,-180,4deg,1.64708626640304
272.5GHz,-180,5deg,-0.0880509715646202
272.5GHz,-180,6deg,-2.13340209728676
272.5GHz,-180,7deg,-4.40713206605235
272.5GHz,-180,8deg,-6.51222782325828
272.5GHz,-180,9deg,-7.52984357225326
272.5GHz,-180,10deg,-7.14215910179099
272.5GHz,-180,11deg,-6.36004902249543
272.5GHz,-180,12deg,-6.02203337309206
272.5GHz,-180,13deg,-6.40982288087726
272.5GHz,-180,14deg,-7.5426829994141
272.5GHz,-180,15deg,-9.23084771356827
272.5GHz,-180,16deg,-10.916525183422
272.5GHz,-180,17deg,-11.8162788852831
272.5GHz,-180,18deg,-11.860768224814
272.5GHz,-180,19deg,-11.6491189361181
272.5GHz,-180,20deg,-11.5242258867803
272.5GHz,-180,21deg,-11.518739833005
272.5GHz,-180,22deg,-11.6260533661979
272.5GHz,-180,23deg,-11.9317172960575
272.5GHz,-180,24deg,-12.6219450043693
272.5GHz,-180,25deg,-13.9648170697533
272.5GHz,-180,26deg,-16.2941751299997
272.5GHz,-180,27deg,-19.6781530804824
272.5GHz,-180,28deg,-21.3212990169496
272.5GHz,-180,29deg,-18.7980747400982
272.5GHz,-180,30deg,-16.6122809526666
272.5GHz,-180,31deg,-15.9314906219869
272.5GHz,-180,32deg,-16.6348223656418
272.5GHz,-180,33deg,-18.2865621199334
272.5GHz,-180,34deg,-19.1737742784118
272.5GHz,-180,35deg,-17.6905982832285
272.5GHz,-180,36deg,-15.7345006673442
272.5GHz,-180,37deg,-14.6579503941156
272.5GHz,-180,38deg,-14.7260910359204
272.5GHz,-180,39deg,-16.1361951403241
272.5GHz,-180,40deg,-19.4054787056413
272.5GHz,-180,41deg,-23.9890082218752
272.5GHz,-180,42deg,-19.9738383093811
272.5GHz,-180,43deg,-14.8790542231001
272.5GHz,-180,44deg,-11.753351063838
272.5GHz,-180,45deg,-9.8854830959096
272.5GHz,-180,46deg,-8.88317165929844
272.5GHz,-180,47deg,-8.52601308122657
272.5GHz,-180,48deg,-8.64950682558674
272.5GHz,-180,49deg,-9.0879534507654
272.5GHz,-180,50deg,-9.65533950584052
272.5GHz,-180,51deg,-10.1803467301316
272.5GHz,-180,52deg,-10.5871665095067
272.5GHz,-180,53deg,-10.9353795635296
272.5GHz,-180,54deg,-11.3626551093997
272.5GHz,-180,55deg,-12.0043386577645
272.5GHz,-180,56deg,-12.9616317764908
272.5GHz,-180,57deg,-14.3080103723146
272.5GHz,-180,58deg,-16.0994436058593
272.5GHz,-180,59deg,-18.3544357716908
272.5GHz,-180,60deg,-20.9247956570381
272.5GHz,-180,61deg,-23.1223917939552
272.5GHz,-180,62deg,-23.7802572654549
272.5GHz,-180,63deg,-23.0053727987856
272.5GHz,-180,64deg,-21.8309837272702
272.5GHz,-180,65deg,-20.6204313587358
272.5GHz,-180,66deg,-19.2849976273032
272.5GHz,-180,67deg,-17.7483438417793
272.5GHz,-180,68deg,-16.0953164666507
272.5GHz,-180,69deg,-14.4808914302813
272.5GHz,-180,70deg,-13.0217652669516
272.5GHz,-180,71deg,-11.7725712056312
272.5GHz,-180,72deg,-10.7449267292718
272.5GHz,-180,73deg,-9.92809128652905
272.5GHz,-180,74deg,-9.30147797277652
272.5GHz,-180,75deg,-8.84091549054985
272.5GHz,-180,76deg,-8.5215451810549
272.5GHz,-180,77deg,-8.319161045842
272.5GHz,-180,78deg,-8.21092357088741
272.5GHz,-180,79deg,-8.17587956149205
272.5GHz,-180,80deg,-8.19544995056158
272.5GHz,-180,81deg,-8.25389395018796
272.5GHz,-180,82deg,-8.33867360136525
272.5GHz,-180,83deg,-8.44061680500663
272.5GHz,-180,84deg,-8.55380530263556
272.5GHz,-180,85deg,-8.6751800888824
272.5GHz,-180,86deg,-8.80392886749884
272.5GHz,-180,87deg,-8.9407665872564
272.5GHz,-180,88deg,-9.08722591316682
272.5GHz,-180,89deg,-9.24504681445721
272.5GHz,-180,90deg,-9.41571318803624
272.5GHz,-180,91deg,-9.60014859635778
272.5GHz,-180,92deg,-9.79856270884159
272.5GHz,-180,93deg,-10.0104352332501
272.5GHz,-180,94deg,-10.2346292794637
272.5GHz,-180,95deg,-10.4696330100572
272.5GHz,-180,96deg,-10.7139287086466
272.5GHz,-180,97deg,-10.9664752658991
272.5GHz,-180,98deg,-11.2272609475924
272.5GHz,-180,99deg,-11.4978428658208
272.5GHz,-180,100deg,-11.7817509611046
272.5GHz,-180,101deg,-12.0846147637436
272.5GHz,-180,102deg,-12.4138819881893
272.5GHz,-180,103deg,-12.778035195501
272.5GHz,-180,104deg,-13.1852598650767
272.5GHz,-180,105deg,-13.6415655577045
272.5GHz,-180,106deg,-14.1484427871066
272.5GHz,-180,107deg,-14.7003496790478
272.5GHz,-180,108deg,-15.282806380327
272.5GHz,-180,109deg,-15.8726366956221
272.5GHz,-180,110deg,-16.4423519730129
272.5GHz,-180,111deg,-16.9693365988938
272.5GHz,-180,112deg,-17.4463677870396
272.5GHz,-180,113deg,-17.8858984722387
272.5GHz,-180,114deg,-18.3122548969153
272.5GHz,-180,115deg,-18.74370379496
272.5GHz,-180,116deg,-19.1732760968024
272.5GHz,-180,117deg,-19.5607385328584
272.5GHz,-180,118deg,-19.8499612847568
272.5GHz,-180,119deg,-20.0147845181133
272.5GHz,-180,120deg,-20.1017483083316
272.5GHz,-180,121deg,-20.2249642026512
272.5GHz,-180,122deg,-20.5176764636024
272.5GHz,-180,123deg,-21.0792216201622
272.5GHz,-180,124deg,-21.9211010230479
272.5GHz,-180,125deg,-22.8785651934535
272.5GHz,-180,126deg,-23.5397318042577
272.5GHz,-180,127deg,-23.5311882071393
272.5GHz,-180,128deg,-23.0677033745224
272.5GHz,-180,129deg,-22.745296475781
272.5GHz,-180,130deg,-23.0354887382513
272.5GHz,-180,131deg,-24.2326721099017
272.5GHz,-180,132deg,-26.4095708155213
272.5GHz,-180,133deg,-28.2968180110435
272.5GHz,-180,134deg,-26.9161844501153
272.5GHz,-180,135deg,-24.3086276562084
272.5GHz,-180,136deg,-22.697230814167
272.5GHz,-180,137deg,-22.3457251926299
272.5GHz,-180,138deg,-23.187703512706
272.5GHz,-180,139deg,-24.8608613166459
272.5GHz,-180,140deg,-25.823488599712
272.5GHz,-180,141deg,-24.7244634575384
272.5GHz,-180,142deg,-23.3472990853129
272.5GHz,-180,143deg,-23.0829018095676
272.5GHz,-180,144deg,-24.3630356356686
272.5GHz,-180,145deg,-27.5433521716736
272.5GHz,-180,146deg,-31.8504930359999
272.5GHz,-180,147deg,-30.6405901861057
272.5GHz,-180,148deg,-27.8592649111438
272.5GHz,-180,149deg,-26.9327818943018
272.5GHz,-180,150deg,-26.9218210077667
272.5GHz,-180,151deg,-26.2224365514567
