Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,2.50790368371037
272.5GHz,-180,1deg,2.18623375287419
272.5GHz,-180,2deg,1.62202135742521
272.5GHz,-180,3deg,0.815734805298574
272.5GHz,-180,4deg,-0.27166585411406
272.5GHz,-180,5deg,-1.72687245432455
272.5GHz,-180,6deg,-3.69619940525853
272.5GHz,-180,7deg,-6.41568855807682
272.5GHz,-180,8deg,-10.2844624754422
272.5GHz,-180,9deg,-15.8587297127265
272.5GHz,-180,10deg,-20.0528622439168
272.5GHz,-180,11deg,-17.0135215165758
272.5GHz,-180,12deg,-14.7112210296621
272.5GHz,-180,13deg,-13.8240409568386
272.5GHz,-180,14deg,-13.6986523109204
272.5GHz,-180,15deg,-14.0216225418414
272.5GHz,-180,16deg,-14.8111453124833
272.5GHz,-180,17deg,-16.131123432972
272.5GHz,-180,18deg,-17.4338864851203
272.5GHz,-180,19deg,-17.2079815418485
272.5GHz,-180,20deg,-15.531732824351
272.5GHz,-180,21deg,-13.9874166956501
272.5GHz,-180,22deg,-13.2232922953487
272.5GHz,-180,23deg,-13.3084260584893
272.5GHz,-180,24deg,-14.1320068692383
272.5GHz,-180,25deg,-15.2739432042155
272.5GHz,-180,26deg,-15.743906388232
272.5GHz,-180,27deg,-15.0555533444473
272.5GHz,-180,28deg,-14.2599397908364
272.5GHz,-180,29deg,-14.4623694583593
272.5GHz,-180,30deg,-16.5703388488977
272.5GHz,-180,31deg,-22.6987678969137
272.5GHz,-180,32deg,-22.1472682323579
272.5GHz,-180,33deg,-13.6529843600525
272.5GHz,-180,34deg,-9.21542036907716
272.5GHz,-180,35deg,-6.5964436512206
272.5GHz,-180,36deg,-5.07231771280155
272.5GHz,-180,37deg,-4.3258009492074
272.5GHz,-180,38deg,-4.17150380338629
272.5GHz,-180,39deg,-4.4619568381002
272.5GHz,-180,40deg,-5.03767772497367
272.5GHz,-180,41deg,-5.70314982514602
272.5GHz,-180,42deg,-6.25934106907143
272.5GHz,-180,43deg,-6.60746231122585
272.5GHz,-180,44deg,-6.81973607988682
272.5GHz,-180,45deg,-7.07169927370412
272.5GHz,-180,46deg,-7.52556143582964
272.5GHz,-180,47deg,-8.27201529204057
272.5GHz,-180,48deg,-9.30899468101842
272.5GHz,-180,49deg,-10.5012058714183
272.5GHz,-180,50deg,-11.530025304258
272.5GHz,-180,51deg,-12.0110096761582
272.5GHz,-180,52deg,-11.8728804858785
272.5GHz,-180,53deg,-11.4290261174487
272.5GHz,-180,54deg,-11.000097591333
272.5GHz,-180,55deg,-10.7216951100999
272.5GHz,-180,56deg,-10.5889253012191
272.5GHz,-180,57deg,-10.5359069901803
272.5GHz,-180,58deg,-10.5000384293343
272.5GHz,-180,59deg,-10.4665915624015
272.5GHz,-180,60deg,-10.4778335498103
272.5GHz,-180,61deg,-10.6077144814648
272.5GHz,-180,62deg,-10.9288689480422
272.5GHz,-180,63deg,-11.4914239727473
272.5GHz,-180,64deg,-12.3097697158086
272.5GHz,-180,65deg,-13.3409746217177
272.5GHz,-180,66deg,-14.4401203922189
272.5GHz,-180,67deg,-15.3168999172775
272.5GHz,-180,68deg,-15.631643687023
272.5GHz,-180,69deg,-15.2979187631403
272.5GHz,-180,70deg,-14.5685041080215
272.5GHz,-180,71deg,-13.7477012339538
272.5GHz,-180,72deg,-13.007912375729
272.5GHz,-180,73deg,-12.4083646614018
272.5GHz,-180,74deg,-11.9522536549885
272.5GHz,-180,75deg,-11.621623065549
272.5GHz,-180,76deg,-11.3933418559657
272.5GHz,-180,77deg,-11.245655845772
272.5GHz,-180,78deg,-11.1605188312894
272.5GHz,-180,79deg,-11.1240304414649
272.5GHz,-180,80deg,-11.1260413349323
272.5GHz,-180,81deg,-11.1594645464234
272.5GHz,-180,82deg,-11.2195792386676
272.5GHz,-180,83deg,-11.3034554133787
272.5GHz,-180,84deg,-11.4095239354416
272.5GHz,-180,85deg,-11.5372603841241
272.5GHz,-180,86deg,-11.6869360013995
272.5GHz,-180,87deg,-11.8593985576559
272.5GHz,-180,88deg,-12.0558633076622
272.5GHz,-180,89deg,-12.2777077109787
272.5GHz,-180,90deg,-12.5262689660434
272.5GHz,-180,91deg,-12.8026421311553
272.5GHz,-180,92deg,-13.1074729924461
272.5GHz,-180,93deg,-13.4407387463229
272.5GHz,-180,94deg,-13.8015153753363
272.5GHz,-180,95deg,-14.1877470074359
272.5GHz,-180,96deg,-14.5960619578095
272.5GHz,-180,97deg,-15.0217211353388
272.5GHz,-180,98deg,-15.4588262825927
272.5GHz,-180,99deg,-15.9009310385372
272.5GHz,-180,100deg,-16.3421432864955
272.5GHz,-180,101deg,-16.7786431603724
272.5GHz,-180,102deg,-17.2102811260044
272.5GHz,-180,103deg,-17.64167466654
272.5GHz,-180,104deg,-18.0821571727009
272.5GHz,-180,105deg,-18.5441270795885
272.5GHz,-180,106deg,-19.0396766090432
272.5GHz,-180,107deg,-19.5756397017011
272.5GHz,-180,108deg,-20.1474191188368
272.5GHz,-180,109deg,-20.7326834392173
272.5GHz,-180,110deg,-21.2881674490162
272.5GHz,-180,111deg,-21.7560369876726
272.5GHz,-180,112deg,-22.0855255681245
272.5GHz,-180,113deg,-22.2628928814651
272.5GHz,-180,114deg,-22.3264387960407
272.5GHz,-180,115deg,-22.3516227710669
272.5GHz,-180,116deg,-22.4207216533198
272.5GHz,-180,117deg,-22.6005775954413
272.5GHz,-180,118deg,-22.9362071947825
272.5GHz,-180,119deg,-23.455614511933
272.5GHz,-180,120deg,-24.180494393992
272.5GHz,-180,121deg,-25.1397304110891
272.5GHz,-180,122deg,-26.3802750164184
272.5GHz,-180,123deg,-27.9562528693954
272.5GHz,-180,124deg,-29.8251724640571
272.5GHz,-180,125deg,-31.4613767668116
272.5GHz,-180,126deg,-31.5983766957056
272.5GHz,-180,127deg,-30.1540088593754
272.5GHz,-180,128deg,-28.5569706899438
272.5GHz,-180,129deg,-27.62232203183
272.5GHz,-180,130deg,-27.616868066786
272.5GHz,-180,131deg,-28.6585488525956
272.5GHz,-180,132deg,-30.401765212401
272.5GHz,-180,133deg,-30.3408036077967
272.5GHz,-180,134deg,-27.2580008937182
272.5GHz,-180,135deg,-24.2060351672682
272.5GHz,-180,136deg,-22.168812318916
272.5GHz,-180,137deg,-21.0959591503831
272.5GHz,-180,138deg,-20.816792762199
272.5GHz,-180,139deg,-21.0735597639529
272.5GHz,-180,140deg,-21.4231796718812
272.5GHz,-180,141deg,-21.3984922362986
272.5GHz,-180,142deg,-21.0474333854662
272.5GHz,-180,143deg,-20.9172624688653
272.5GHz,-180,144deg,-21.5392157394606
272.5GHz,-180,145deg,-23.3306514564846
272.5GHz,-180,146deg,-26.7097042423314
272.5GHz,-180,147deg,-30.6838246631181
272.5GHz,-180,148deg,-28.9166418491915
272.5GHz,-180,149deg,-25.63634722455
272.5GHz,-180,150deg,-23.8514173634589
272.5GHz,-180,151deg,-23.0731081704694
272.5GHz,-180,152deg,-22.7081460405577
272.5GHz,-180,153deg,-22.420892397114
272.5GHz,-180,154deg,-22.2765563132176
272.5GHz,-180,155deg,-22.5061234878003
272.5GHz,-180,156deg,-23.1545659843009
272.5GHz,-180,157deg,-23.9278301279489
272.5GHz,-180,158deg,-24.4629635078001
272.5GHz,-180,159deg,-25.0157334569482
272.5GHz,-180,160deg,-26.5020055883555
272.5GHz,-180,161deg,-30.3763547232073
272.5GHz,-180,162deg,-39.0441273704758
272.5GHz,-180,163deg,-30.9216857026203
272.5GHz,-180,164deg,-25.5151964858459
272.5GHz,-180,165deg,-23.2560098998913
272.5GHz,-180,166deg,-22.9652668538086
272.5GHz,-180,167deg,-24.5425961094022
272.5GHz,-180,168deg,-28.7733989706265
272.5GHz,-180,169deg,-38.7249618737823
272.5GHz,-180,170deg,-32.4295517540891
272.5GHz,-180,171deg,-27.4605158546058
272.5GHz,-180,172deg,-26.0448302847364
272.5GHz,-180,173deg,-26.1967279750681
