Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,4.05613389710988
272.5GHz,-180,1deg,4.08974351755124
272.5GHz,-180,2deg,3.83195413405998
272.5GHz,-180,3deg,3.29056082591418
272.5GHz,-180,4deg,2.48007804515415
272.5GHz,-180,5deg,1.4131293705994
272.5GHz,-180,6deg,0.0877879137283182
272.5GHz,-180,7deg,-1.52735268000548
272.5GHz,-180,8deg,-3.50370712574544
272.5GHz,-180,9deg,-5.93449773780661
272.5GHz,-180,10deg,-8.77009031927617
272.5GHz,-180,11deg,-11.1040300189834
272.5GHz,-180,12deg,-11.0453093476859
272.5GHz,-180,13deg,-9.36588637996353
272.5GHz,-180,14deg,-7.8389858997686
272.5GHz,-180,15deg,-6.90509644918763
272.5GHz,-180,16deg,-6.536589135106
272.5GHz,-180,17deg,-6.65347492551537
272.5GHz,-180,18deg,-7.19431071849878
272.5GHz,-180,19deg,-8.10752351547015
272.5GHz,-180,20deg,-9.31093692316344
272.5GHz,-180,21deg,-10.6287583525078
272.5GHz,-180,22deg,-11.758111617014
272.5GHz,-180,23deg,-12.4085906472905
272.5GHz,-180,24deg,-12.5805455110572
272.5GHz,-180,25deg,-12.5613334160927
272.5GHz,-180,26deg,-12.6634351646052
272.5GHz,-180,27deg,-13.1027126810141
272.5GHz,-180,28deg,-14.0102815750026
272.5GHz,-180,29deg,-15.4258286240456
272.5GHz,-180,30deg,-17.1771835358238
272.5GHz,-180,31deg,-18.6353912122579
272.5GHz,-180,32deg,-19.0178053984596
272.5GHz,-180,33deg,-18.5712328123658
272.5GHz,-180,34deg,-18.1205181832666
272.5GHz,-180,35deg,-18.0504278978398
272.5GHz,-180,36deg,-18.3404291453341
272.5GHz,-180,37deg,-18.6956067687691
272.5GHz,-180,38deg,-18.5860024134403
272.5GHz,-180,39deg,-17.6598448562112
272.5GHz,-180,40deg,-16.2303304335979
272.5GHz,-180,41deg,-14.8565817667397
272.5GHz,-180,42deg,-13.8631308386154
272.5GHz,-180,43deg,-13.3467356336974
272.5GHz,-180,44deg,-13.2710992157703
272.5GHz,-180,45deg,-13.4962785390484
272.5GHz,-180,46deg,-13.7917843949704
272.5GHz,-180,47deg,-13.9361575261753
272.5GHz,-180,48deg,-13.9018988687724
272.5GHz,-180,49deg,-13.892772017077
272.5GHz,-180,50deg,-14.1825830621902
272.5GHz,-180,51deg,-15.0023856198986
272.5GHz,-180,52deg,-16.5479500517636
272.5GHz,-180,53deg,-18.9847423174959
272.5GHz,-180,54deg,-21.9909046263096
272.5GHz,-180,55deg,-22.7452767016537
272.5GHz,-180,56deg,-20.1020947920657
272.5GHz,-180,57deg,-17.4315270623602
272.5GHz,-180,58deg,-15.5752713479697
272.5GHz,-180,59deg,-14.3977406331695
272.5GHz,-180,60deg,-13.7137548698811
272.5GHz,-180,61deg,-13.3699630097971
272.5GHz,-180,62deg,-13.2309555693486
272.5GHz,-180,63deg,-13.1692133449113
272.5GHz,-180,64deg,-13.0715467047828
272.5GHz,-180,65deg,-12.8600852170149
272.5GHz,-180,66deg,-12.5112743669206
272.5GHz,-180,67deg,-12.0530227979133
272.5GHz,-180,68deg,-11.5406813200197
272.5GHz,-180,69deg,-11.0312189475648
272.5GHz,-180,70deg,-10.5692126984083
272.5GHz,-180,71deg,-10.1840563238842
272.5GHz,-180,72deg,-9.89243682690844
272.5GHz,-180,73deg,-9.70183308956399
272.5GHz,-180,74deg,-9.61339258122433
272.5GHz,-180,75deg,-9.62393130676986
272.5GHz,-180,76deg,-9.72725002601572
272.5GHz,-180,77deg,-9.91501114314427
272.5GHz,-180,78deg,-10.1773647186608
272.5GHz,-180,79deg,-10.5034487633342
272.5GHz,-180,80deg,-10.8818389052255
272.5GHz,-180,81deg,-11.3009831335336
272.5GHz,-180,82deg,-11.7496240846329
272.5GHz,-180,83deg,-12.2171840262892
272.5GHz,-180,84deg,-12.694070695027
272.5GHz,-180,85deg,-13.1718613908198
272.5GHz,-180,86deg,-13.6433410030145
272.5GHz,-180,87deg,-14.102402825448
272.5GHz,-180,88deg,-14.5438583204524
272.5GHz,-180,89deg,-14.9632304232827
272.5GHz,-180,90deg,-15.3566151895992
272.5GHz,-180,91deg,-15.7206860324263
272.5GHz,-180,92deg,-16.0528867645776
272.5GHz,-180,93deg,-16.3518201616873
272.5GHz,-180,94deg,-16.6177943163751
272.5GHz,-180,95deg,-16.8534468539987
272.5GHz,-180,96deg,-17.0643360955793
272.5GHz,-180,97deg,-17.2593784003937
272.5GHz,-180,98deg,-17.451028246772
272.5GHz,-180,99deg,-17.6551369605353
272.5GHz,-180,100deg,-17.8904661237578
272.5GHz,-180,101deg,-18.177836689384
272.5GHz,-180,102deg,-18.5388189481223
272.5GHz,-180,103deg,-18.9936554588935
272.5GHz,-180,104deg,-19.5576859328187
272.5GHz,-180,105deg,-20.2348611252281
272.5GHz,-180,106deg,-21.0062912847395
272.5GHz,-180,107deg,-21.8130959723301
272.5GHz,-180,108deg,-22.5420617517555
272.5GHz,-180,109deg,-23.044459433953
272.5GHz,-180,110deg,-23.219422433612
272.5GHz,-180,111deg,-23.1062086343074
272.5GHz,-180,112deg,-22.8674163413228
272.5GHz,-180,113deg,-22.6877210083063
272.5GHz,-180,114deg,-22.7079030914772
272.5GHz,-180,115deg,-23.0194334282095
272.5GHz,-180,116deg,-23.6817112419199
272.5GHz,-180,117deg,-24.7371362681301
272.5GHz,-180,118deg,-26.2166526687828
272.5GHz,-180,119deg,-28.1275860829123
272.5GHz,-180,120deg,-30.3876651990084
272.5GHz,-180,121deg,-32.5936059782751
272.5GHz,-180,122deg,-33.7007966506292
272.5GHz,-180,123deg,-33.0026883496782
272.5GHz,-180,124deg,-31.3953597653658
272.5GHz,-180,125deg,-29.8395368572467
272.5GHz,-180,126deg,-28.6990292930594
272.5GHz,-180,127deg,-28.0822928058983
272.5GHz,-180,128deg,-28.0062586816662
272.5GHz,-180,129deg,-28.3819940422364
272.5GHz,-180,130deg,-28.8841257690339
272.5GHz,-180,131deg,-28.8962585425435
272.5GHz,-180,132deg,-28.0929230453347
272.5GHz,-180,133deg,-26.9615443237957
272.5GHz,-180,134deg,-26.1376790563399
272.5GHz,-180,135deg,-25.9659914495604
272.5GHz,-180,136deg,-26.6227810110473
272.5GHz,-180,137deg,-28.2589331602926
272.5GHz,-180,138deg,-31.0171761462679
272.5GHz,-180,139deg,-34.5536907004876
272.5GHz,-180,140deg,-36.2718022077807
272.5GHz,-180,141deg,-35.3084205444476
272.5GHz,-180,142deg,-34.7965017834522
272.5GHz,-180,143deg,-35.3939695433952
272.5GHz,-180,144deg,-36.0479754956612
272.5GHz,-180,145deg,-35.5972991682866
272.5GHz,-180,146deg,-35.0081551090641
272.5GHz,-180,147deg,-35.3267356577579
272.5GHz,-180,148deg,-35.372958943245
272.5GHz,-180,149deg,-32.8217312668289
272.5GHz,-180,150deg,-29.7352248567985
272.5GHz,-180,151deg,-27.8666923857671
272.5GHz,-180,152deg,-27.4474321504119
272.5GHz,-180,153deg,-28.4692225027454
272.5GHz,-180,154deg,-30.7005611081705
272.5GHz,-180,155deg,-32.4968834080657
272.5GHz,-180,156deg,-31.7335819501081
272.5GHz,-180,157deg,-30.4361285694537
272.5GHz,-180,158deg,-29.7745574540833
272.5GHz,-180,159deg,-29.0426715405319
272.5GHz,-180,160deg,-27.6807408066452
272.5GHz,-180,161deg,-26.2068552101339
272.5GHz,-180,162deg,-25.0874632475344
272.5GHz,-180,163deg,-24.3069833928118
272.5GHz,-180,164deg,-23.8272144592112
272.5GHz,-180,165deg,-23.921815884174
272.5GHz,-180,166deg,-25.0916141846858
272.5GHz,-180,167deg,-27.7556851217306
272.5GHz,-180,168deg,-30.2308752620803
272.5GHz,-180,169deg,-28.2020352740948
272.5GHz,-180,170deg,-26.1946987309768
272.5GHz,-180,171deg,-26.5712468618853
272.5GHz,-180,172deg,-28.5780443584689
272.5GHz,-180,173deg,-25.7958504910348
272.5GHz,-180,174deg,-20.9860680627689
272.5GHz,-180,175deg,-17.9899990454244
272.5GHz,-180,176deg,-16.5536670514796
272.5GHz,-180,177deg,-16.2961465969839
272.5GHz,-180,178deg,-16.8853150836312
272.5GHz,-180,179deg,-17.854794121752
272.5GHz,-180,180deg,-18.5173759242009
272.5GHz,-179,0deg,4.05613389710988
272.5GHz,-179,1deg,4.06516415770619
272.5GHz,-179,2deg,3.78746021432178
272.5GHz,-179,3deg,3.23207260152382
272.5GHz,-179,4deg,2.41308468205708
272.5GHz,-179,5deg,1.34042067229915
272.5GHz,-179,6deg,0.00719255675663526
272.5GHz,-179,7deg,-1.62443315967738
272.5GHz,-179,8deg,-3.63296062931199
272.5GHz,-179,9deg,-6.12042106228284
272.5GHz,-179,10deg,-9.04692855235001
272.5GHz,-179,11deg,-11.4575557614838
272.5GHz,-179,12deg,-11.3048829614632
272.5GHz,-179,13deg,-9.48564501800283
272.5GHz,-179,14deg,-7.8596096031374
272.5GHz,-179,15deg,-6.84111862632608
272.5GHz,-179,16deg,-6.3920479615803
272.5GHz,-179,17deg,-6.43533995772786
272.5GHz,-179,18deg,-6.91519041345847
272.5GHz,-179,19deg,-7.78333234675156
272.5GHz,-179,20deg,-8.95757602449547
272.5GHz,-179,21deg,-10.2587156684113
272.5GHz,-179,22deg,-11.3771229120431
272.5GHz,-179,23deg,-12.0229009470529
272.5GHz,-179,24deg,-12.2197810423371
272.5GHz,-179,25deg,-12.2830194590661
272.5GHz,-179,26deg,-12.5308466164065
272.5GHz,-179,27deg,-13.1666143834854
272.5GHz,-179,28deg,-14.3115961649166
272.5GHz,-179,29deg,-16.0290385853791
272.5GHz,-179,30deg,-18.2436833547902
272.5GHz,-179,31deg,-20.4185250940224
272.5GHz,-179,32deg,-21.3849334563259
272.5GHz,-179,33deg,-20.9411927451509
272.5GHz,-179,34deg,-20.2146111583892
272.5GHz,-179,35deg,-19.842463971727
272.5GHz,-179,36deg,-19.8655562642551
272.5GHz,-179,37deg,-20.0554145868079
272.5GHz,-179,38deg,-20.0330029755352
272.5GHz,-179,39deg,-19.4920757044742
272.5GHz,-179,40deg,-18.5054330210627
272.5GHz,-179,41deg,-17.4203414311859
272.5GHz,-179,42deg,-16.5275668235204
272.5GHz,-179,43deg,-15.9573434990118
272.5GHz,-179,44deg,-15.7188525536932
272.5GHz,-179,45deg,-15.738984729782
272.5GHz,-179,46deg,-15.8894720181327
272.5GHz,-179,47deg,-16.0392962475124
272.5GHz,-179,48deg,-16.138205891245
272.5GHz,-179,49deg,-16.2582325814677
272.5GHz,-179,50deg,-16.5364450506249
272.5GHz,-179,51deg,-17.07077408473
272.5GHz,-179,52deg,-17.8080923842526
272.5GHz,-179,53deg,-18.4016112694548
272.5GHz,-179,54deg,-18.2569920828885
272.5GHz,-179,55deg,-17.1993107533424
272.5GHz,-179,56deg,-15.7496142039779
272.5GHz,-179,57deg,-14.4196277621752
272.5GHz,-179,58deg,-13.4215985560985
272.5GHz,-179,59deg,-12.7974191939485
272.5GHz,-179,60deg,-12.5270506647586
272.5GHz,-179,61deg,-12.5693025939855
272.5GHz,-179,62deg,-12.8710730334247
272.5GHz,-179,63deg,-13.3639515975082
272.5GHz,-179,64deg,-13.9561145316469
272.5GHz,-179,65deg,-14.5278959630833
272.5GHz,-179,66deg,-14.9459883824493
272.5GHz,-179,67deg,-15.1073696892723
272.5GHz,-179,68deg,-14.9893951474022
272.5GHz,-179,69deg,-14.6547022097158
272.5GHz,-179,70deg,-14.2050448315617
272.5GHz,-179,71deg,-13.7332755285295
272.5GHz,-179,72deg,-13.3040236138387
272.5GHz,-179,73deg,-12.9555319072349
272.5GHz,-179,74deg,-12.707676450755
272.5GHz,-179,75deg,-12.5689729520374
272.5GHz,-179,76deg,-12.5411754740121
272.5GHz,-179,77deg,-12.6219881737677
272.5GHz,-179,78deg,-12.8066047301516
272.5GHz,-179,79deg,-13.0885741550137
272.5GHz,-179,80deg,-13.4602825359642
272.5GHz,-179,81deg,-13.9132071729526
272.5GHz,-179,82deg,-14.438026149831
272.5GHz,-179,83deg,-15.0246293006672
272.5GHz,-179,84deg,-15.6620608577596
272.5GHz,-179,85deg,-16.3384226073163
272.5GHz,-179,86deg,-17.0407764462569
272.5GHz,-179,87deg,-17.7551052709301
272.5GHz,-179,88deg,-18.4664168276979
272.5GHz,-179,89deg,-19.1590951395749
272.5GHz,-179,90deg,-19.8175975990941
272.5GHz,-179,91deg,-20.4275380323235
272.5GHz,-179,92deg,-20.9770772501294
272.5GHz,-179,93deg,-21.4583946253557
272.5GHz,-179,94deg,-21.868916762237
272.5GHz,-179,95deg,-22.2120148280173
272.5GHz,-179,96deg,-22.4970571313183
272.5GHz,-179,97deg,-22.7389182266556
272.5GHz,-179,98deg,-22.9571666227254
272.5GHz,-179,99deg,-23.1751212183725
272.5GHz,-179,100deg,-23.4188222981784
272.5GHz,-179,101deg,-23.7157664527834
272.5GHz,-179,102deg,-24.0929888881634
272.5GHz,-179,103deg,-24.5736019987057
272.5GHz,-179,104deg,-25.169984450958
272.5GHz,-179,105deg,-25.8704396443838
272.5GHz,-179,106deg,-26.6161193720805
272.5GHz,-179,107deg,-27.2750043890596
272.5GHz,-179,108deg,-27.6545606559939
272.5GHz,-179,109deg,-27.6146936107418
272.5GHz,-179,110deg,-27.2087676695356
272.5GHz,-179,111deg,-26.6545643736507
272.5GHz,-179,112deg,-26.182448084494
272.5GHz,-179,113deg,-25.9551327589033
272.5GHz,-179,114deg,-26.0747487872157
272.5GHz,-179,115deg,-26.6107103610679
272.5GHz,-179,116deg,-27.6147376595838
272.5GHz,-179,117deg,-29.1033148767836
272.5GHz,-179,118deg,-30.9482866346269
272.5GHz,-179,119deg,-32.5661966095001
272.5GHz,-179,120deg,-32.8976301783368
272.5GHz,-179,121deg,-31.8821644883425
272.5GHz,-179,122deg,-30.5257024564987
272.5GHz,-179,123deg,-29.386445336907
272.5GHz,-179,124deg,-28.5526415235012
272.5GHz,-179,125deg,-27.9841376634965
272.5GHz,-179,126deg,-27.6558746444143
272.5GHz,-179,127deg,-27.589880247762
272.5GHz,-179,128deg,-27.8305384243025
272.5GHz,-179,129deg,-28.3848285021241
272.5GHz,-179,130deg,-29.1287696064753
272.5GHz,-179,131deg,-29.7188786042514
272.5GHz,-179,132deg,-29.7617511750865
272.5GHz,-179,133deg,-29.3127726524452
272.5GHz,-179,134deg,-28.8605687082714
272.5GHz,-179,135deg,-28.8418878022942
272.5GHz,-179,136deg,-29.5062908465002
272.5GHz,-179,137deg,-31.0190915569774
272.5GHz,-179,138deg,-33.5627398169613
272.5GHz,-179,139deg,-37.3923596459604
272.5GHz,-179,140deg,-42.3048255225956
272.5GHz,-179,141deg,-43.3173966235339
272.5GHz,-179,142deg,-39.7311692339402
272.5GHz,-179,143deg,-36.7051981319212
272.5GHz,-179,144deg,-34.6463832438709
272.5GHz,-179,145deg,-33.4909078693756
272.5GHz,-179,146deg,-33.1742379685609
272.5GHz,-179,147deg,-33.3559334191787
272.5GHz,-179,148deg,-33.1054111198646
272.5GHz,-179,149deg,-31.755549103409
272.5GHz,-179,150deg,-30.1159961203125
272.5GHz,-179,151deg,-29.1299622090569
272.5GHz,-179,152deg,-29.1982459869589
272.5GHz,-179,153deg,-30.5067541954375
272.5GHz,-179,154deg,-33.0763606142516
272.5GHz,-179,155deg,-35.6014936632201
272.5GHz,-179,156deg,-34.7645474131705
272.5GHz,-179,157deg,-32.3637516395356
272.5GHz,-179,158deg,-30.292347180828
