Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,0.779029694864452
272.5GHz,-180,1deg,0.143297828618964
272.5GHz,-180,2deg,-0.667229812662744
272.5GHz,-180,3deg,-1.61585155819363
272.5GHz,-180,4deg,-2.72792081613106
272.5GHz,-180,5deg,-4.08260935583848
272.5GHz,-180,6deg,-5.77565105079359
272.5GHz,-180,7deg,-7.84899991253915
272.5GHz,-180,8deg,-10.1406528787909
272.5GHz,-180,9deg,-12.1450876522982
272.5GHz,-180,10deg,-13.5564980601498
272.5GHz,-180,11deg,-15.0718966710396
272.5GHz,-180,12deg,-17.2139570810232
272.5GHz,-180,13deg,-16.6005762887188
272.5GHz,-180,14deg,-12.2922658418688
272.5GHz,-180,15deg,-8.71095881278729
272.5GHz,-180,16deg,-6.39986555723528
272.5GHz,-180,17deg,-5.06948967516934
272.5GHz,-180,18deg,-4.45263934547999
272.5GHz,-180,19deg,-4.31503766113871
272.5GHz,-180,20deg,-4.43722665945878
272.5GHz,-180,21deg,-4.64668666132064
272.5GHz,-180,22deg,-4.88000367739001
272.5GHz,-180,23deg,-5.1944022270791
272.5GHz,-180,24deg,-5.69430084610466
272.5GHz,-180,25deg,-6.43156118237041
272.5GHz,-180,26deg,-7.32679922897298
272.5GHz,-180,27deg,-8.15229765833487
272.5GHz,-180,28deg,-8.69741052158397
272.5GHz,-180,29deg,-9.05036827213161
272.5GHz,-180,30deg,-9.57080887733485
272.5GHz,-180,31deg,-10.6189847040856
272.5GHz,-180,32deg,-12.4118956559179
272.5GHz,-180,33deg,-14.80065330607
272.5GHz,-180,34deg,-16.3967969857941
272.5GHz,-180,35deg,-15.5943262664035
272.5GHz,-180,36deg,-14.0663778129356
272.5GHz,-180,37deg,-13.2804865814352
272.5GHz,-180,38deg,-13.5085665789613
272.5GHz,-180,39deg,-14.6080176947591
272.5GHz,-180,40deg,-15.6704315084986
272.5GHz,-180,41deg,-14.8583540661928
272.5GHz,-180,42deg,-12.6129526522915
272.5GHz,-180,43deg,-10.627842850222
272.5GHz,-180,44deg,-9.41063828276086
272.5GHz,-180,45deg,-8.94654853952948
272.5GHz,-180,46deg,-9.09422249556479
272.5GHz,-180,47deg,-9.59661297775009
272.5GHz,-180,48deg,-10.0246665296638
272.5GHz,-180,49deg,-9.9570168417921
272.5GHz,-180,50deg,-9.41302749266221
272.5GHz,-180,51deg,-8.79460820291954
272.5GHz,-180,52deg,-8.44903122367539
272.5GHz,-180,53deg,-8.54296729137689
272.5GHz,-180,54deg,-9.1347601006206
272.5GHz,-180,55deg,-10.2248327724618
272.5GHz,-180,56deg,-11.7290103314249
272.5GHz,-180,57deg,-13.3313279535196
272.5GHz,-180,58deg,-14.3148815234844
272.5GHz,-180,59deg,-14.1140453735101
272.5GHz,-180,60deg,-13.1822010028842
272.5GHz,-180,61deg,-12.2477354341509
272.5GHz,-180,62deg,-11.6463431895038
272.5GHz,-180,63deg,-11.4599228571227
272.5GHz,-180,64deg,-11.6835042714074
272.5GHz,-180,65deg,-12.2754230091704
272.5GHz,-180,66deg,-13.138820822238
272.5GHz,-180,67deg,-14.0517310585719
272.5GHz,-180,68deg,-14.609570406786
272.5GHz,-180,69deg,-14.4251295524918
272.5GHz,-180,70deg,-13.5503979641242
272.5GHz,-180,71deg,-12.3851629736882
272.5GHz,-180,72deg,-11.2530452180038
272.5GHz,-180,73deg,-10.2939960853638
272.5GHz,-180,74deg,-9.54094703493399
272.5GHz,-180,75deg,-8.9835628848843
272.5GHz,-180,76deg,-8.59723031529316
272.5GHz,-180,77deg,-8.35413832472639
272.5GHz,-180,78deg,-8.22728270296995
272.5GHz,-180,79deg,-8.19196553239729
272.5GHz,-180,80deg,-8.22649783222925
272.5GHz,-180,81deg,-8.3126628770726
272.5GHz,-180,82deg,-8.43603882864137
272.5GHz,-180,83deg,-8.58611338879929
272.5GHz,-180,84deg,-8.75610754881093
272.5GHz,-180,85deg,-8.94249143437906
272.5GHz,-180,86deg,-9.14426422528353
272.5GHz,-180,87deg,-9.36213183878843
272.5GHz,-180,88deg,-9.59772597126617
272.5GHz,-180,89deg,-9.85297340888975
272.5GHz,-180,90deg,-10.1296708170811
272.5GHz,-180,91deg,-10.4292717999452
272.5GHz,-180,92deg,-10.7528616485455
272.5GHz,-180,93deg,-11.1012802819421
272.5GHz,-180,94deg,-11.4753484840678
272.5GHz,-180,95deg,-11.8761491131547
272.5GHz,-180,96deg,-12.305308372158
272.5GHz,-180,97deg,-12.765210153932
272.5GHz,-180,98deg,-13.2590581729899
272.5GHz,-180,99deg,-13.7906750439375
272.5GHz,-180,100deg,-14.3638924399239
272.5GHz,-180,101deg,-14.9813421143841
272.5GHz,-180,102deg,-15.6424223496053
272.5GHz,-180,103deg,-16.3402678728458
272.5GHz,-180,104deg,-17.0579156409217
272.5GHz,-180,105deg,-17.7649541208696
272.5GHz,-180,106deg,-18.4180456066471
272.5GHz,-180,107deg,-18.9704764419235
272.5GHz,-180,108deg,-19.3927145575488
272.5GHz,-180,109deg,-19.6948355650973
272.5GHz,-180,110deg,-19.9336138464735
272.5GHz,-180,111deg,-20.1982778836169
272.5GHz,-180,112deg,-20.587934673588
272.5GHz,-180,113deg,-21.1947992080768
272.5GHz,-180,114deg,-22.0921839857334
272.5GHz,-180,115deg,-23.3067800581252
272.5GHz,-180,116deg,-24.7229962674068
272.5GHz,-180,117deg,-25.86329950804
272.5GHz,-180,118deg,-25.9284180342104
272.5GHz,-180,119deg,-24.8322107131147
272.5GHz,-180,120deg,-23.3634047540393
272.5GHz,-180,121deg,-22.087730167378
272.5GHz,-180,122deg,-21.1673542584209
272.5GHz,-180,123deg,-20.5832872922993
272.5GHz,-180,124deg,-20.2446180301199
272.5GHz,-180,125deg,-20.0279257775896
272.5GHz,-180,126deg,-19.8190842870344
272.5GHz,-180,127deg,-19.5738930041006
272.5GHz,-180,128deg,-19.3531570561972
272.5GHz,-180,129deg,-19.2938441266427
272.5GHz,-180,130deg,-19.5526287190722
272.5GHz,-180,131deg,-20.2723297561198
272.5GHz,-180,132deg,-21.5674766366427
272.5GHz,-180,133deg,-23.4679309363471
272.5GHz,-180,134deg,-25.6580729324745
272.5GHz,-180,135deg,-27.0272751130029
272.5GHz,-180,136deg,-26.8554971440869
272.5GHz,-180,137deg,-26.3205845873895
272.5GHz,-180,138deg,-26.4327987205082
272.5GHz,-180,139deg,-27.2878516544657
272.5GHz,-180,140deg,-28.1027591295809
272.5GHz,-180,141deg,-27.6379678714056
272.5GHz,-180,142deg,-26.3635697089037
272.5GHz,-180,143deg,-25.6023159216429
272.5GHz,-180,144deg,-25.9769776840232
272.5GHz,-180,145deg,-27.8132999524681
272.5GHz,-180,146deg,-31.3359381535156
272.5GHz,-180,147deg,-33.6516429540851
272.5GHz,-180,148deg,-30.1156853377678
272.5GHz,-180,149deg,-26.73303185114
272.5GHz,-180,150deg,-24.543883506808
272.5GHz,-180,151deg,-23.0860473151823
272.5GHz,-180,152deg,-22.1320613606847
272.5GHz,-180,153deg,-21.6874841180925
272.5GHz,-180,154deg,-21.8368391627559
272.5GHz,-180,155deg,-22.5868210587452
272.5GHz,-180,156deg,-23.7004590875576
272.5GHz,-180,157deg,-24.6151973533595
272.5GHz,-180,158deg,-24.9368877023097
272.5GHz,-180,159deg,-24.9056551508998
272.5GHz,-180,160deg,-24.5553344639622
272.5GHz,-180,161deg,-23.3915733346329
272.5GHz,-180,162deg,-21.6513155548016
272.5GHz,-180,163deg,-20.2681768588459
272.5GHz,-180,164deg,-19.8643186665622
272.5GHz,-180,165deg,-20.8128025427042
272.5GHz,-180,166deg,-23.6735037670341
272.5GHz,-180,167deg,-30.0687326860317
272.5GHz,-180,168deg,-34.5654219768108
272.5GHz,-180,169deg,-27.0751676772977
