Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,-2.45525236154689
272.5GHz,-180,1deg,-2.88553693256707
272.5GHz,-180,2deg,-3.08480899286824
272.5GHz,-180,3deg,-2.74800068765937
272.5GHz,-180,4deg,-1.95594932168189
272.5GHz,-180,5deg,-1.07990698949065
272.5GHz,-180,6deg,-0.431339588969388
272.5GHz,-180,7deg,-0.15957032066103
272.5GHz,-180,8deg,-0.301621525715771
272.5GHz,-180,9deg,-0.82967265691758
272.5GHz,-180,10deg,-1.67778539354218
272.5GHz,-180,11deg,-2.76331614173687
272.5GHz,-180,12deg,-4.00289842590033
272.5GHz,-180,13deg,-5.30319728715027
272.5GHz,-180,14deg,-6.52618012546431
272.5GHz,-180,15deg,-7.49508563991745
272.5GHz,-180,16deg,-8.09833555682718
272.5GHz,-180,17deg,-8.36883221883652
272.5GHz,-180,18deg,-8.41969150592574
272.5GHz,-180,19deg,-8.37875488580475
272.5GHz,-180,20deg,-8.39232415487136
272.5GHz,-180,21deg,-8.59509844327018
272.5GHz,-180,22deg,-9.03239981692788
272.5GHz,-180,23deg,-9.61026751285718
272.5GHz,-180,24deg,-10.1544339224526
272.5GHz,-180,25deg,-10.6003153719269
272.5GHz,-180,26deg,-11.0997563050043
272.5GHz,-180,27deg,-11.865537823681
272.5GHz,-180,28deg,-12.9493499537816
272.5GHz,-180,29deg,-14.0951023329481
272.5GHz,-180,30deg,-14.7529458928392
272.5GHz,-180,31deg,-14.5323732372943
272.5GHz,-180,32deg,-13.6070322942693
272.5GHz,-180,33deg,-12.3902165994171
272.5GHz,-180,34deg,-11.2382569779117
272.5GHz,-180,35deg,-10.420657870029
272.5GHz,-180,36deg,-10.1157241492175
272.5GHz,-180,37deg,-10.408626628758
272.5GHz,-180,38deg,-11.2641991297014
272.5GHz,-180,39deg,-12.3880542908882
272.5GHz,-180,40deg,-13.0228272356982
272.5GHz,-180,41deg,-12.4731835709177
272.5GHz,-180,42deg,-11.1279129081119
272.5GHz,-180,43deg,-9.71056940312203
272.5GHz,-180,44deg,-8.52235543964039
272.5GHz,-180,45deg,-7.6110705781833
272.5GHz,-180,46deg,-6.96661158533985
272.5GHz,-180,47deg,-6.57852374242526
272.5GHz,-180,48deg,-6.43314560693718
272.5GHz,-180,49deg,-6.49730023692546
272.5GHz,-180,50deg,-6.7077102480163
272.5GHz,-180,51deg,-6.97543357430867
272.5GHz,-180,52deg,-7.21038323626506
272.5GHz,-180,53deg,-7.35612389883075
272.5GHz,-180,54deg,-7.40646773772623
272.5GHz,-180,55deg,-7.3883796191296
272.5GHz,-180,56deg,-7.33274928372743
272.5GHz,-180,57deg,-7.26117281607344
272.5GHz,-180,58deg,-7.19157183685573
272.5GHz,-180,59deg,-7.14767225545995
272.5GHz,-180,60deg,-7.15992562415586
272.5GHz,-180,61deg,-7.2570265467936
272.5GHz,-180,62deg,-7.45427201123135
272.5GHz,-180,63deg,-7.74408824722955
272.5GHz,-180,64deg,-8.09114535501616
272.5GHz,-180,65deg,-8.43489842870623
272.5GHz,-180,66deg,-8.70436438810403
272.5GHz,-180,67deg,-8.84539878218395
272.5GHz,-180,68deg,-8.8462155435304
272.5GHz,-180,69deg,-8.74020798417523
