Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,0.237554646614429
272.5GHz,-180,1deg,0.350777625443689
272.5GHz,-180,2deg,-0.157373522340657
272.5GHz,-180,3deg,-1.33568572658805
272.5GHz,-180,4deg,-3.29620005095863
272.5GHz,-180,5deg,-6.29904594353574
272.5GHz,-180,6deg,-10.8890702957733
272.5GHz,-180,7deg,-15.6939777165766
272.5GHz,-180,8deg,-11.8422017484025
272.5GHz,-180,9deg,-7.5212391076318
272.5GHz,-180,10deg,-4.76102127959027
272.5GHz,-180,11deg,-2.95761420025054
272.5GHz,-180,12deg,-1.80544240611832
272.5GHz,-180,13deg,-1.18064302027662
272.5GHz,-180,14deg,-1.04490749150532
272.5GHz,-180,15deg,-1.39718131799258
272.5GHz,-180,16deg,-2.25307088647481
272.5GHz,-180,17deg,-3.64680086495019
272.5GHz,-180,18deg,-5.6586677503011
272.5GHz,-180,19deg,-8.48467833649709
272.5GHz,-180,20deg,-12.6099746060933
272.5GHz,-180,21deg,-19.112880471233
272.5GHz,-180,22deg,-21.4015509505836
272.5GHz,-180,23deg,-15.503509912448
272.5GHz,-180,24deg,-12.0307223462104
272.5GHz,-180,25deg,-9.9621763770146
272.5GHz,-180,26deg,-8.66759851521029
272.5GHz,-180,27deg,-7.91229221130678
272.5GHz,-180,28deg,-7.63861372698437
272.5GHz,-180,29deg,-7.86516274066357
272.5GHz,-180,30deg,-8.63663734467137
272.5GHz,-180,31deg,-10.0042291742484
272.5GHz,-180,32deg,-12.0176805088504
272.5GHz,-180,33deg,-14.7001906366809
272.5GHz,-180,34deg,-17.9247239771448
272.5GHz,-180,35deg,-20.9536030497066
272.5GHz,-180,36deg,-21.9891086756134
272.5GHz,-180,37deg,-20.4663628091773
272.5GHz,-180,38deg,-17.8928615303981
272.5GHz,-180,39deg,-15.3199311294342
272.5GHz,-180,40deg,-13.1586813527648
272.5GHz,-180,41deg,-11.5249429510364
272.5GHz,-180,42deg,-10.3865483954364
272.5GHz,-180,43deg,-9.6085569162366
272.5GHz,-180,44deg,-8.96019434507001
272.5GHz,-180,45deg,-8.17911598460785
