Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,4.08522252282973
272.5GHz,-180,1deg,3.91092769421392
272.5GHz,-180,2deg,3.55376121158595
272.5GHz,-180,3deg,3.03646027747899
272.5GHz,-180,4deg,2.37324347809873
272.5GHz,-180,5deg,1.56504630502187
272.5GHz,-180,6deg,0.598969195983297
272.5GHz,-180,7deg,-0.545780536753449
272.5GHz,-180,8deg,-1.88476712771911
272.5GHz,-180,9deg,-3.40986654600928
272.5GHz,-180,10deg,-5.07034374816716
272.5GHz,-180,11deg,-6.76232648147752
272.5GHz,-180,12deg,-8.3366179325102
272.5GHz,-180,13deg,-9.62790901021552
272.5GHz,-180,14deg,-10.5131347537415
272.5GHz,-180,15deg,-11.008411271237
272.5GHz,-180,16deg,-11.3172097217978
272.5GHz,-180,17deg,-11.7340627552257
272.5GHz,-180,18deg,-12.518981666848
272.5GHz,-180,19deg,-13.8647238806749
272.5GHz,-180,20deg,-15.9293984429329
272.5GHz,-180,21deg,-18.8615727879168
272.5GHz,-180,22deg,-22.5604413512062
272.5GHz,-180,23deg,-24.8248427602513
272.5GHz,-180,24deg,-22.7235992252584
272.5GHz,-180,25deg,-19.6019031817235
272.5GHz,-180,26deg,-16.9868336314106
272.5GHz,-180,27deg,-14.8905153123436
272.5GHz,-180,28deg,-13.2638480391353
272.5GHz,-180,29deg,-12.1141521195927
272.5GHz,-180,30deg,-11.4751433420443
272.5GHz,-180,31deg,-11.390071235552
272.5GHz,-180,32deg,-11.9054638619164
272.5GHz,-180,33deg,-13.0554708067868
272.5GHz,-180,34deg,-14.784441120776
272.5GHz,-180,35deg,-16.6591364966768
272.5GHz,-180,36deg,-17.5102839720659
272.5GHz,-180,37deg,-16.754956935171
272.5GHz,-180,38deg,-15.4857858822262
272.5GHz,-180,39deg,-14.5432291397043
272.5GHz,-180,40deg,-14.1177418202229
272.5GHz,-180,41deg,-14.166604312228
272.5GHz,-180,42deg,-14.5308521373865
272.5GHz,-180,43deg,-14.8599579557844
272.5GHz,-180,44deg,-14.612893570925
272.5GHz,-180,45deg,-13.5329379637768
272.5GHz,-180,46deg,-11.9957228932698
272.5GHz,-180,47deg,-10.5000995320249
272.5GHz,-180,48deg,-9.30861650677107
272.5GHz,-180,49deg,-8.51201514838331
272.5GHz,-180,50deg,-8.13593337408189
272.5GHz,-180,51deg,-8.19277622110978
272.5GHz,-180,52deg,-8.70272247291337
272.5GHz,-180,53deg,-9.70435338027145
272.5GHz,-180,54deg,-11.2644393700856
272.5GHz,-180,55deg,-13.4903128990984
272.5GHz,-180,56deg,-16.5299076470906
272.5GHz,-180,57deg,-20.3907025676891
272.5GHz,-180,58deg,-23.5990807184732
272.5GHz,-180,59deg,-23.183378848943
272.5GHz,-180,60deg,-21.5568389548966
272.5GHz,-180,61deg,-20.7352409997922
272.5GHz,-180,62deg,-20.8117432324115
272.5GHz,-180,63deg,-21.5026499026191
272.5GHz,-180,64deg,-22.1864507456931
272.5GHz,-180,65deg,-21.8984261980945
272.5GHz,-180,66deg,-20.4244417793842
272.5GHz,-180,67deg,-18.5516657197011
272.5GHz,-180,68deg,-16.8503826121016
272.5GHz,-180,69deg,-15.4741766791711
272.5GHz,-180,70deg,-14.4156676638333
272.5GHz,-180,71deg,-13.6311631825267
272.5GHz,-180,72deg,-13.0765020365545
272.5GHz,-180,73deg,-12.714475757824
272.5GHz,-180,74deg,-12.5145015097644
272.5GHz,-180,75deg,-12.4504754018172
272.5GHz,-180,76deg,-12.4985005568693
272.5GHz,-180,77deg,-12.6350242229934
272.5GHz,-180,78deg,-12.8356366165132
272.5GHz,-180,79deg,-13.0747565088355
272.5GHz,-180,80deg,-13.3264165185081
272.5GHz,-180,81deg,-13.5662007374251
272.5GHz,-180,82deg,-13.7739893523737
272.5GHz,-180,83deg,-13.936651480989
272.5GHz,-180,84deg,-14.0495817660891
272.5GHz,-180,85deg,-14.1163542648174
272.5GHz,-180,86deg,-14.1466395102255
272.5GHz,-180,87deg,-14.1532832987343
272.5GHz,-180,88deg,-14.1495840314921
272.5GHz,-180,89deg,-14.1474033044157
272.5GHz,-180,90deg,-14.1562239487302
272.5GHz,-180,91deg,-14.1829432652172
272.5GHz,-180,92deg,-14.2321024596192
272.5GHz,-180,93deg,-14.3063072726684
272.5GHz,-180,94deg,-14.4066878505798
272.5GHz,-180,95deg,-14.5333248198746
272.5GHz,-180,96deg,-14.6856192658624
272.5GHz,-180,97deg,-14.8626104514581
272.5GHz,-180,98deg,-15.0632540054448
272.5GHz,-180,99deg,-15.2866707583583
272.5GHz,-180,100deg,-15.5323660480756
272.5GHz,-180,101deg,-15.8004038027882
272.5GHz,-180,102deg,-16.0915021426303
272.5GHz,-180,103deg,-16.4070021765248
272.5GHz,-180,104deg,-16.7486553385841
272.5GHz,-180,105deg,-17.118184659789
272.5GHz,-180,106deg,-17.516610909098
272.5GHz,-180,107deg,-17.9434065374855
272.5GHz,-180,108deg,-18.3956591074717
272.5GHz,-180,109deg,-18.8675858998088
272.5GHz,-180,110deg,-19.3508824867897
272.5GHz,-180,111deg,-19.836346442075
272.5GHz,-180,112deg,-20.3167539264978
272.5GHz,-180,113deg,-20.7900085915917
272.5GHz,-180,114deg,-21.260587091839
272.5GHz,-180,115deg,-21.7371758884526
272.5GHz,-180,116deg,-22.2256045251872
272.5GHz,-180,117deg,-22.7182636923617
272.5GHz,-180,118deg,-23.1838373155737
272.5GHz,-180,119deg,-23.5649246541264
272.5GHz,-180,120deg,-23.7934697673794
272.5GHz,-180,121deg,-23.8242668428952
272.5GHz,-180,122deg,-23.6626972918423
272.5GHz,-180,123deg,-23.358255107813
272.5GHz,-180,124deg,-22.971963923951
272.5GHz,-180,125deg,-22.5518881185557
272.5GHz,-180,126deg,-22.1331882260005
272.5GHz,-180,127deg,-21.7529455617811
272.5GHz,-180,128deg,-21.462147704409
272.5GHz,-180,129deg,-21.324661030888
272.5GHz,-180,130deg,-21.4039185707004
272.5GHz,-180,131deg,-21.7405997478717
272.5GHz,-180,132deg,-22.3169555045748
272.5GHz,-180,133deg,-23.001573597661
272.5GHz,-180,134deg,-23.5204749850979
272.5GHz,-180,135deg,-23.6145014844802
272.5GHz,-180,136deg,-23.3465791083764
272.5GHz,-180,137deg,-23.0715833230121
272.5GHz,-180,138deg,-23.1210729968316
272.5GHz,-180,139deg,-23.6592279925568
272.5GHz,-180,140deg,-24.6674818793244
272.5GHz,-180,141deg,-25.9010452003858
272.5GHz,-180,142deg,-26.9490487614802
272.5GHz,-180,143deg,-27.7131500265637
272.5GHz,-180,144deg,-28.7510157755631
272.5GHz,-180,145deg,-30.953550777978
272.5GHz,-180,146deg,-35.6079519123241
272.5GHz,-180,147deg,-40.4812774558427
272.5GHz,-180,148deg,-33.6241038249853
272.5GHz,-180,149deg,-29.273551451654
272.5GHz,-180,150deg,-26.924779198765
272.5GHz,-180,151deg,-25.6381346429063
272.5GHz,-180,152deg,-25.0152999164731
272.5GHz,-180,153deg,-24.9572805297916
272.5GHz,-180,154deg,-25.5367796558637
272.5GHz,-180,155deg,-26.8238464092113
272.5GHz,-180,156deg,-28.6013198606326
272.5GHz,-180,157deg,-30.0999656183292
272.5GHz,-180,158deg,-30.9712361306091
272.5GHz,-180,159deg,-32.3889032131171
272.5GHz,-180,160deg,-34.9170333792522
272.5GHz,-180,161deg,-33.2019837634999
272.5GHz,-180,162deg,-28.6434866287129
272.5GHz,-180,163deg,-25.9113593734517
272.5GHz,-180,164deg,-25.0419679164288
272.5GHz,-180,165deg,-25.8213891013169
272.5GHz,-180,166deg,-27.9003667644525
272.5GHz,-180,167deg,-29.3881255767582
272.5GHz,-180,168deg,-28.2387742605407
272.5GHz,-180,169deg,-26.8736915607242
272.5GHz,-180,170deg,-26.5933576874416
272.5GHz,-180,171deg,-26.9210389061223
272.5GHz,-180,172deg,-26.6724981137507
272.5GHz,-180,173deg,-25.3853615696768
272.5GHz,-180,174deg,-23.6020934735316
272.5GHz,-180,175deg,-21.60070038415
272.5GHz,-180,176deg,-19.5666676947054
272.5GHz,-180,177deg,-17.8358169576934
272.5GHz,-180,178deg,-16.6661715092789
272.5GHz,-180,179deg,-16.1457092000232
272.5GHz,-180,180deg,-16.237811668638
272.5GHz,-179,0deg,4.08522252282973
272.5GHz,-179,1deg,3.89089640710142
272.5GHz,-179,2deg,3.51459635303297
