Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,120deg,-26.7554151012807
272.5GHz,-180,121deg,-27.1575915733772
272.5GHz,-180,122deg,-28.1040107260208
272.5GHz,-180,123deg,-29.5867028281081
272.5GHz,-180,124deg,-31.2767330728852
272.5GHz,-180,125deg,-32.2844196515745
272.5GHz,-180,126deg,-32.0261212343611
272.5GHz,-180,127deg,-31.3009530834403
272.5GHz,-180,128deg,-31.0045170106041
272.5GHz,-180,129deg,-31.4671955010925
272.5GHz,-180,130deg,-32.5436726375026
272.5GHz,-180,131deg,-33.1517423173312
272.5GHz,-180,132deg,-31.8959631228154
272.5GHz,-180,133deg,-29.8263094961391
272.5GHz,-180,134deg,-28.3663239621289
272.5GHz,-180,135deg,-27.9354537646578
272.5GHz,-180,136deg,-28.5336640368114
272.5GHz,-180,137deg,-29.6213730098098
272.5GHz,-180,138deg,-29.512890706452
272.5GHz,-180,139deg,-27.7014833623419
272.5GHz,-180,140deg,-25.9508739514679
272.5GHz,-180,141deg,-25.1312926669785
272.5GHz,-180,142deg,-25.2943719358361
272.5GHz,-180,143deg,-26.1224688174323
272.5GHz,-180,144deg,-26.8869650839115
272.5GHz,-180,145deg,-27.0018311914991
272.5GHz,-180,146deg,-26.9413844498457
272.5GHz,-180,147deg,-27.4444036546311
272.5GHz,-180,148deg,-28.6025992406485
272.5GHz,-180,149deg,-29.6497588700853
272.5GHz,-180,150deg,-29.8188899959322
272.5GHz,-180,151deg,-29.8594702666034
272.5GHz,-180,152deg,-30.653341542507
272.5GHz,-180,153deg,-31.7816226598404
272.5GHz,-180,154deg,-31.8836782008044
272.5GHz,-180,155deg,-31.6927719392443
272.5GHz,-180,156deg,-33.3660622007292
272.5GHz,-180,157deg,-37.9660300020193
272.5GHz,-180,158deg,-34.0692771989239
272.5GHz,-180,159deg,-28.7107706417042
272.5GHz,-180,160deg,-26.5878537308819
272.5GHz,-180,161deg,-27.1072289104355
272.5GHz,-180,162deg,-30.3029286699521
272.5GHz,-180,163deg,-30.8928391017207
272.5GHz,-180,164deg,-25.7768215901652
272.5GHz,-180,165deg,-22.7737481655966
272.5GHz,-180,166deg,-21.8627401409792
272.5GHz,-180,167deg,-22.3293438284578
272.5GHz,-180,168deg,-22.7635351787569
272.5GHz,-180,169deg,-21.7344147043254
