Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,2.27738999485255
272.5GHz,-180,1deg,1.90149407250396
272.5GHz,-180,2deg,1.03256277841979
272.5GHz,-180,3deg,-0.367696293968648
272.5GHz,-180,4deg,-2.38952178935482
272.5GHz,-180,5deg,-5.21391322012172
272.5GHz,-180,6deg,-9.0768794605041
272.5GHz,-180,7deg,-12.834509733187
272.5GHz,-180,8deg,-11.3240520848628
272.5GHz,-180,9deg,-7.93818748505777
272.5GHz,-180,10deg,-5.64419037953885
272.5GHz,-180,11deg,-4.41225082263407
272.5GHz,-180,12deg,-4.10203808614462
272.5GHz,-180,13deg,-4.70542890098866
272.5GHz,-180,14deg,-6.34991499659956
272.5GHz,-180,15deg,-9.34767105202405
272.5GHz,-180,16deg,-13.9612640511453
272.5GHz,-180,17deg,-15.4580489876291
272.5GHz,-180,18deg,-11.2768385545903
272.5GHz,-180,19deg,-8.2171827606636
272.5GHz,-180,20deg,-6.4633806175377
272.5GHz,-180,21deg,-5.57770792780106
272.5GHz,-180,22deg,-5.32069828414026
272.5GHz,-180,23deg,-5.57654677704894
272.5GHz,-180,24deg,-6.29728489683712
272.5GHz,-180,25deg,-7.46323102509482
272.5GHz,-180,26deg,-9.02193150600663
272.5GHz,-180,27deg,-10.7223275603548
272.5GHz,-180,28deg,-11.823955065627
272.5GHz,-180,29deg,-11.5302139342106
272.5GHz,-180,30deg,-10.3010972251843
272.5GHz,-180,31deg,-9.08839600245297
272.5GHz,-180,32deg,-8.3325510652173
272.5GHz,-180,33deg,-8.13813405802311
272.5GHz,-180,34deg,-8.49202099087917
272.5GHz,-180,35deg,-9.31948896940182
272.5GHz,-180,36deg,-10.4665613698092
272.5GHz,-180,37deg,-11.6626929563067
272.5GHz,-180,38deg,-12.542991208773
272.5GHz,-180,39deg,-12.8204471648008
272.5GHz,-180,40deg,-12.4899008943477
272.5GHz,-180,41deg,-11.8054955778529
272.5GHz,-180,42deg,-11.093506588476
272.5GHz,-180,43deg,-10.6182252288107
272.5GHz,-180,44deg,-10.5507478899567
272.5GHz,-180,45deg,-10.9875372362138
