Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,121deg,-24.4434873379111
272.5GHz,-180,122deg,-24.9356940581686
272.5GHz,-180,123deg,-25.6446502030773
272.5GHz,-180,124deg,-26.5220937237307
272.5GHz,-180,125deg,-27.2646612946453
272.5GHz,-180,126deg,-27.3872545029178
272.5GHz,-180,127deg,-26.8091595492626
272.5GHz,-180,128deg,-26.0665280647363
272.5GHz,-180,129deg,-25.7267858732424
272.5GHz,-180,130deg,-26.1488039457111
272.5GHz,-180,131deg,-27.6077004691038
272.5GHz,-180,132deg,-30.2705223082648
272.5GHz,-180,133deg,-32.5923469648568
272.5GHz,-180,134deg,-30.5070849153471
272.5GHz,-180,135deg,-27.4365491722037
272.5GHz,-180,136deg,-25.6787342672953
272.5GHz,-180,137deg,-25.2683154761488
272.5GHz,-180,138deg,-26.1066602961182
272.5GHz,-180,139deg,-28.0103082816483
272.5GHz,-180,140deg,-29.895764078774
272.5GHz,-180,141deg,-29.6990065641555
272.5GHz,-180,142deg,-28.5183988064066
272.5GHz,-180,143deg,-28.3494623155138
272.5GHz,-180,144deg,-29.9299174370097
272.5GHz,-180,145deg,-34.1193347739493
272.5GHz,-180,146deg,-43.7703762393992
272.5GHz,-180,147deg,-40.4476348951765
272.5GHz,-180,148deg,-35.5323283240112
272.5GHz,-180,149deg,-33.3501062452509
272.5GHz,-180,150deg,-30.587720338217
272.5GHz,-180,151deg,-27.4921865908623
272.5GHz,-180,152deg,-25.3333960696452
272.5GHz,-180,153deg,-24.4731167219642
272.5GHz,-180,154deg,-24.926461344984
272.5GHz,-180,155deg,-26.5580789437239
272.5GHz,-180,156deg,-28.6537517205411
272.5GHz,-180,157deg,-29.7201710794607
272.5GHz,-180,158deg,-30.1483076735047
272.5GHz,-180,159deg,-31.9802869829908
272.5GHz,-180,160deg,-35.6412913831002
272.5GHz,-180,161deg,-33.1412732937828
272.5GHz,-180,162deg,-28.5127402719793
272.5GHz,-180,163deg,-26.1520719374488
272.5GHz,-180,164deg,-25.4745930081594
272.5GHz,-180,165deg,-25.9318679065895
272.5GHz,-180,166deg,-27.0384944971902
272.5GHz,-180,167deg,-28.4288502601589
272.5GHz,-180,168deg,-29.9043236135904
272.5GHz,-180,169deg,-30.8248555746275
272.5GHz,-180,170deg,-30.5394858655846
272.5GHz,-180,171deg,-30.0821585307528
272.5GHz,-180,172deg,-29.5751335005127
272.5GHz,-180,173deg,-26.5959598153689
272.5GHz,-180,174deg,-22.3577125767783
272.5GHz,-180,175deg,-19.0654707329629
272.5GHz,-180,176deg,-16.978073169524
272.5GHz,-180,177deg,-15.8968864507795
272.5GHz,-180,178deg,-15.5672566738334
272.5GHz,-180,179deg,-15.7046168674755
272.5GHz,-180,180deg,-16.0312403394725
272.5GHz,-179,0deg,5.79514763809603
272.5GHz,-179,1deg,5.52130308458135
272.5GHz,-179,2deg,4.92350756729259
272.5GHz,-179,3deg,4.01205170783345
272.5GHz,-179,4deg,2.78241439329553
272.5GHz,-179,5deg,1.20300967490943
272.5GHz,-179,6deg,-0.803545060977011
272.5GHz,-179,7deg,-3.38918578904542
272.5GHz,-179,8deg,-6.81661989215899
272.5GHz,-179,9deg,-11.3452682119314
272.5GHz,-179,10deg,-15.1391128106283
272.5GHz,-179,11deg,-13.6581110532805
272.5GHz,-179,12deg,-11.5118561335267
272.5GHz,-179,13deg,-10.7311105357633
272.5GHz,-179,14deg,-11.1760988646196
272.5GHz,-179,15deg,-12.660643589277
272.5GHz,-179,16deg,-14.9852463612067
272.5GHz,-179,17deg,-17.530376016918
272.5GHz,-179,18deg,-18.6718677503624
272.5GHz,-179,19deg,-17.7365753510603
272.5GHz,-179,20deg,-16.2348149160731
272.5GHz,-179,21deg,-15.0781546940362
272.5GHz,-179,22deg,-14.468746916744
272.5GHz,-179,23deg,-14.4488984548047
272.5GHz,-179,24deg,-15.0562278556644
272.5GHz,-179,25deg,-16.3429291558072
272.5GHz,-179,26deg,-18.2679520708482
272.5GHz,-179,27deg,-20.140868813349
272.5GHz,-179,28deg,-20.1422950561485
272.5GHz,-179,29deg,-18.4392475929569
272.5GHz,-179,30deg,-16.9033383240731
272.5GHz,-179,31deg,-16.2077545011773
272.5GHz,-179,32deg,-16.4195973350098
272.5GHz,-179,33deg,-17.4757159645706
