Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,3.21599672042273
272.5GHz,-180,1deg,2.79764238010229
272.5GHz,-180,2deg,2.00921188323494
272.5GHz,-180,3deg,1.03288075640247
272.5GHz,-180,4deg,0.170552341904188
272.5GHz,-180,5deg,-0.291166961174352
272.5GHz,-180,6deg,-0.348021514192812
272.5GHz,-180,7deg,-0.268071468718892
272.5GHz,-180,8deg,-0.308580063352396
272.5GHz,-180,9deg,-0.571579344894005
272.5GHz,-180,10deg,-1.0311612324968
272.5GHz,-180,11deg,-1.61791506573906
272.5GHz,-180,12deg,-2.30833194593872
272.5GHz,-180,13deg,-3.15684469391417
272.5GHz,-180,14deg,-4.23772727007306
272.5GHz,-180,15deg,-5.55332772347944
272.5GHz,-180,16deg,-6.98633850039291
272.5GHz,-180,17deg,-8.36070070918408
272.5GHz,-180,18deg,-9.60036642247431
272.5GHz,-180,19deg,-10.768059240348
272.5GHz,-180,20deg,-11.8586038157008
272.5GHz,-180,21deg,-12.5963514000729
272.5GHz,-180,22deg,-12.6143017077138
272.5GHz,-180,23deg,-11.9948320476217
272.5GHz,-180,24deg,-11.2639921061551
272.5GHz,-180,25deg,-10.9201120637842
272.5GHz,-180,26deg,-11.3064553779905
272.5GHz,-180,27deg,-12.7156223550535
272.5GHz,-180,28deg,-15.4105194229859
272.5GHz,-180,29deg,-18.401140243754
272.5GHz,-180,30deg,-16.9341079584102
272.5GHz,-180,31deg,-13.625636406974
272.5GHz,-180,32deg,-11.538440394615
272.5GHz,-180,33deg,-10.6758226549453
272.5GHz,-180,34deg,-10.7880933923542
272.5GHz,-180,35deg,-11.5773674574815
272.5GHz,-180,36deg,-12.4137384934271
272.5GHz,-180,37deg,-12.3114484848603
272.5GHz,-180,38deg,-11.1466010407278
272.5GHz,-180,39deg,-9.81358661675426
272.5GHz,-180,40deg,-8.91461344987061
272.5GHz,-180,41deg,-8.62300122873379
272.5GHz,-180,42deg,-8.94368576561362
272.5GHz,-180,43deg,-9.7865625430025
272.5GHz,-180,44deg,-10.8736278995949
272.5GHz,-180,45deg,-11.5892784657457
272.5GHz,-180,46deg,-11.3320053238756
272.5GHz,-180,47deg,-10.3283668480127
272.5GHz,-180,48deg,-9.23155509386613
272.5GHz,-180,49deg,-8.40728324540486
272.5GHz,-180,50deg,-7.95875619517418
272.5GHz,-180,51deg,-7.89419430316151
272.5GHz,-180,52deg,-8.20436882579875
272.5GHz,-180,53deg,-8.88613121227922
272.5GHz,-180,54deg,-9.94302655093582
272.5GHz,-180,55deg,-11.3699333733611
272.5GHz,-180,56deg,-13.112201891863
272.5GHz,-180,57deg,-14.9821623233091
272.5GHz,-180,58deg,-16.5876740879802
272.5GHz,-180,59deg,-17.5528627819254
272.5GHz,-180,60deg,-17.994736149937
272.5GHz,-180,61deg,-18.3892871696503
272.5GHz,-180,62deg,-19.0495524563841
272.5GHz,-180,63deg,-19.8636572032712
272.5GHz,-180,64deg,-20.0991430284007
272.5GHz,-180,65deg,-18.9512225541416
272.5GHz,-180,66deg,-16.865130118535
272.5GHz,-180,67deg,-14.7188416850613
272.5GHz,-180,68deg,-12.8755101828708
272.5GHz,-180,69deg,-11.3851737623442
272.5GHz,-180,70deg,-10.2096109513012
272.5GHz,-180,71deg,-9.29699894180598
272.5GHz,-180,72deg,-8.60010863986082
272.5GHz,-180,73deg,-8.07909064709886
272.5GHz,-180,74deg,-7.70058494813055
272.5GHz,-180,75deg,-7.43627148681121
272.5GHz,-180,76deg,-7.26166830189618
272.5GHz,-180,77deg,-7.15536237957451
272.5GHz,-180,78deg,-7.09867438521905
272.5GHz,-180,79deg,-7.07567671582854
272.5GHz,-180,80deg,-7.07342397601371
272.5GHz,-180,81deg,-7.08221446659059
272.5GHz,-180,82deg,-7.09570220366599
272.5GHz,-180,83deg,-7.11073482327357
272.5GHz,-180,84deg,-7.12688950754946
272.5GHz,-180,85deg,-7.14577772772042
272.5GHz,-180,86deg,-7.17024960660687
272.5GHz,-180,87deg,-7.20363327009072
272.5GHz,-180,88deg,-7.2491065126567
272.5GHz,-180,89deg,-7.30924543472544
272.5GHz,-180,90deg,-7.38575167210349
272.5GHz,-180,91deg,-7.47933741239909
272.5GHz,-180,92deg,-7.58974450684551
272.5GHz,-180,93deg,-7.71588322894992
272.5GHz,-180,94deg,-7.85608854825211
272.5GHz,-180,95deg,-8.00849863855144
272.5GHz,-180,96deg,-8.17155465601901
272.5GHz,-180,97deg,-8.34459862538126
272.5GHz,-180,98deg,-8.52850956856433
272.5GHz,-180,99deg,-8.72627715828655
272.5GHz,-180,100deg,-8.94338393580421
272.5GHz,-180,101deg,-9.18786586823526
272.5GHz,-180,102deg,-9.46994654099418
272.5GHz,-180,103deg,-9.80117196964783
272.5GHz,-180,104deg,-10.1929789032592
272.5GHz,-180,105deg,-10.6545902733241
272.5GHz,-180,106deg,-11.1900765182188
272.5GHz,-180,107deg,-11.7944863456585
272.5GHz,-180,108deg,-12.4494633073146
272.5GHz,-180,109deg,-13.1202354547078
272.5GHz,-180,110deg,-13.7583021864428
272.5GHz,-180,111deg,-14.3149895709692
272.5GHz,-180,112deg,-14.7645609432707
272.5GHz,-180,113deg,-15.1222210216125
272.5GHz,-180,114deg,-15.4395607208045
