Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,4.39799090787404
272.5GHz,-180,1deg,4.20111071666983
272.5GHz,-180,2deg,3.67591209154625
272.5GHz,-180,3deg,2.83620230175299
272.5GHz,-180,4deg,1.68363209619695
272.5GHz,-180,5deg,0.200049167608881
272.5GHz,-180,6deg,-1.65708635193132
272.5GHz,-180,7deg,-3.93593534871845
272.5GHz,-180,8deg,-6.56247543559932
272.5GHz,-180,9deg,-8.88278134554529
272.5GHz,-180,10deg,-9.53248904595909
272.5GHz,-180,11deg,-8.7163593962119
272.5GHz,-180,12deg,-7.90393884171114
272.5GHz,-180,13deg,-7.73136970853357
272.5GHz,-180,14deg,-8.28165903883914
272.5GHz,-180,15deg,-9.45154418595047
272.5GHz,-180,16deg,-10.9636786743292
272.5GHz,-180,17deg,-12.2716784069903
272.5GHz,-180,18deg,-12.7825933006735
272.5GHz,-180,19deg,-12.5077963096016
272.5GHz,-180,20deg,-11.9696978509414
272.5GHz,-180,21deg,-11.5885180177153
272.5GHz,-180,22deg,-11.5589673576594
272.5GHz,-180,23deg,-11.9410642437949
272.5GHz,-180,24deg,-12.6962645433321
272.5GHz,-180,25deg,-13.6460784379079
272.5GHz,-180,26deg,-14.384236494326
272.5GHz,-180,27deg,-14.3960419912601
272.5GHz,-180,28deg,-13.6297348054187
272.5GHz,-180,29deg,-12.6078480043343
272.5GHz,-180,30deg,-11.8323371174931
272.5GHz,-180,31deg,-11.5487429254876
272.5GHz,-180,32deg,-11.8234109592544
272.5GHz,-180,33deg,-12.5924401591488
272.5GHz,-180,34deg,-13.6401665658351
272.5GHz,-180,35deg,-14.6303193023224
272.5GHz,-180,36deg,-15.3870546376611
272.5GHz,-180,37deg,-16.1698645582299
272.5GHz,-180,38deg,-17.4708539933603
272.5GHz,-180,39deg,-19.6687540638206
272.5GHz,-180,40deg,-22.2140784057701
272.5GHz,-180,41deg,-21.5723910334923
272.5GHz,-180,42deg,-18.1905115310605
272.5GHz,-180,43deg,-15.2794474045046
272.5GHz,-180,44deg,-13.2131118645185
272.5GHz,-180,45deg,-11.8054010197309
272.5GHz,-180,46deg,-10.9104552857177
272.5GHz,-180,47deg,-10.4496242624675
272.5GHz,-180,48deg,-10.3862520581992
272.5GHz,-180,49deg,-10.7013266312466
272.5GHz,-180,50deg,-11.3695178451447
272.5GHz,-180,51deg,-12.3232046391011
272.5GHz,-180,52deg,-13.3864874482
272.5GHz,-180,53deg,-14.2042645936887
272.5GHz,-180,54deg,-14.3625160195521
272.5GHz,-180,55deg,-13.7993676598852
