Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,3.56785310926474
272.5GHz,-180,1deg,3.31989158669461
272.5GHz,-180,2deg,2.45723717908426
272.5GHz,-180,3deg,0.949654084267861
272.5GHz,-180,4deg,-1.2557052852247
272.5GHz,-180,5deg,-4.15210330978051
272.5GHz,-180,6deg,-7.08524006766365
272.5GHz,-180,7deg,-7.66725973782698
272.5GHz,-180,8deg,-5.71038353747006
272.5GHz,-180,9deg,-3.57592458992141
272.5GHz,-180,10deg,-1.95124794472044
272.5GHz,-180,11deg,-0.8422871886755
272.5GHz,-180,12deg,-0.215949866291578
272.5GHz,-180,13deg,-0.0730780494100275
272.5GHz,-180,14deg,-0.425589600984049
272.5GHz,-180,15deg,-1.27186790697852
272.5GHz,-180,16deg,-2.58276537568155
272.5GHz,-180,17deg,-4.30275009681261
272.5GHz,-180,18deg,-6.37911393467437
272.5GHz,-180,19deg,-8.81720754224894
272.5GHz,-180,20deg,-11.6622928271154
272.5GHz,-180,21deg,-14.4793493599846
272.5GHz,-180,22deg,-15.0893383398392
272.5GHz,-180,23deg,-12.9984318848047
272.5GHz,-180,24deg,-10.736225319493
272.5GHz,-180,25deg,-9.20817326536813
272.5GHz,-180,26deg,-8.50434446531341
272.5GHz,-180,27deg,-8.65263482047157
272.5GHz,-180,28deg,-9.75543704112256
272.5GHz,-180,29deg,-12.0496040998967
272.5GHz,-180,30deg,-15.9799520300674
272.5GHz,-180,31deg,-20.9557878425238
272.5GHz,-180,32deg,-19.4207737017127
272.5GHz,-180,33deg,-16.0398341885633
272.5GHz,-180,34deg,-14.5299042916048
272.5GHz,-180,35deg,-14.5568076597908
272.5GHz,-180,36deg,-15.9620480349972
272.5GHz,-180,37deg,-18.8460584807896
272.5GHz,-180,38deg,-22.5694251769765
272.5GHz,-180,39deg,-21.8836432117139
272.5GHz,-180,40deg,-18.4728280987719
272.5GHz,-180,41deg,-16.3361812360455
272.5GHz,-180,42deg,-15.4905286173049
272.5GHz,-180,43deg,-15.4740763781098
272.5GHz,-180,44deg,-15.3786071053249
272.5GHz,-180,45deg,-14.065812155842
272.5GHz,-180,46deg,-11.8126674646178
272.5GHz,-180,47deg,-9.66024236543207
272.5GHz,-180,48deg,-8.05981669430976
272.5GHz,-180,49deg,-7.07663811312268
272.5GHz,-180,50deg,-6.67598317414619
272.5GHz,-180,51deg,-6.81245943874124
272.5GHz,-180,52deg,-7.4501030833016
272.5GHz,-180,53deg,-8.56634267250696
272.5GHz,-180,54deg,-10.1546898468562
272.5GHz,-180,55deg,-12.23147251779
272.5GHz,-180,56deg,-14.8500156650888
272.5GHz,-180,57deg,-18.119979295507
272.5GHz,-180,58deg,-22.1642784377212
272.5GHz,-180,59deg,-26.3445699831017
272.5GHz,-180,60deg,-26.9671748295993
272.5GHz,-180,61deg,-24.3698715386926
272.5GHz,-180,62deg,-21.7929918288702
272.5GHz,-180,63deg,-19.5130449671178
272.5GHz,-180,64deg,-17.33143098816
272.5GHz,-180,65deg,-15.2111912821525
272.5GHz,-180,66deg,-13.2225816718737
272.5GHz,-180,67deg,-11.4383052051918
272.5GHz,-180,68deg,-9.89545461034595
272.5GHz,-180,69deg,-8.6002890329822
272.5GHz,-180,70deg,-7.54145191271092
272.5GHz,-180,71deg,-6.69956457504239
272.5GHz,-180,72deg,-6.05244886045342
272.5GHz,-180,73deg,-5.57756911999508
272.5GHz,-180,74deg,-5.25300542870627
272.5GHz,-180,75deg,-5.05772851401205
272.5GHz,-180,76deg,-4.97159144676052
272.5GHz,-180,77deg,-4.97526398796184
272.5GHz,-180,78deg,-5.05023927135128
272.5GHz,-180,79deg,-5.17898613018416
272.5GHz,-180,80deg,-5.34527243713236
272.5GHz,-180,81deg,-5.53463106561866
272.5GHz,-180,82deg,-5.73488269709641
272.5GHz,-180,83deg,-5.9365859762704
272.5GHz,-180,84deg,-6.13327906153551
272.5GHz,-180,85deg,-6.32142057185993
272.5GHz,-180,86deg,-6.50002056680675
272.5GHz,-180,87deg,-6.67003910961611
272.5GHz,-180,88deg,-6.83368452475961
272.5GHz,-180,89deg,-6.99374919465404
272.5GHz,-180,90deg,-7.15308731056335
272.5GHz,-180,91deg,-7.3142900818043
272.5GHz,-180,92deg,-7.4795703702846
272.5GHz,-180,93deg,-7.65083957932906
272.5GHz,-180,94deg,-7.82994306485935
272.5GHz,-180,95deg,-8.01900964964415
272.5GHz,-180,96deg,-8.22086018631888
272.5GHz,-180,97deg,-8.43940773171564
272.5GHz,-180,98deg,-8.67997002727431
272.5GHz,-180,99deg,-8.94940722062838
272.5GHz,-180,100deg,-9.25599466521866
272.5GHz,-180,101deg,-9.60893613028361
272.5GHz,-180,102deg,-10.0174046507691
272.5GHz,-180,103deg,-10.488956314254
272.5GHz,-180,104deg,-11.0271095869473
272.5GHz,-180,105deg,-11.6279035674149
272.5GHz,-180,106deg,-12.2755884223011
272.5GHz,-180,107deg,-12.9387390167777
272.5GHz,-180,108deg,-13.570376987663
272.5GHz,-180,109deg,-14.1177133458502
272.5GHz,-180,110deg,-14.5436741686069
272.5GHz,-180,111deg,-14.849889204553
272.5GHz,-180,112deg,-15.0818616037822
272.5GHz,-180,113deg,-15.309958124291
272.5GHz,-180,114deg,-15.6009441923192
272.5GHz,-180,115deg,-15.996059697309
272.5GHz,-180,116deg,-16.4991173643744
272.5GHz,-180,117deg,-17.0731192698473
272.5GHz,-180,118deg,-17.6501336818826
272.5GHz,-180,119deg,-18.1632957334218
272.5GHz,-180,120deg,-18.5916127650227
272.5GHz,-180,121deg,-18.9778006430187
272.5GHz,-180,122deg,-19.393097025711
272.5GHz,-180,123deg,-19.8759369077843
272.5GHz,-180,124deg,-20.3892893011858
272.5GHz,-180,125deg,-20.8344337793526
272.5GHz,-180,126deg,-21.1479142057033
272.5GHz,-180,127deg,-21.4156870359145
272.5GHz,-180,128deg,-21.8609741444291
272.5GHz,-180,129deg,-22.7069042464884
272.5GHz,-180,130deg,-23.957883838875
272.5GHz,-180,131deg,-24.9254013926646
272.5GHz,-180,132deg,-24.3279147286324
272.5GHz,-180,133deg,-22.5921893578178
272.5GHz,-180,134deg,-21.1416736521646
272.5GHz,-180,135deg,-20.6075282053893
272.5GHz,-180,136deg,-21.224495117608
272.5GHz,-180,137deg,-23.2022786778511
272.5GHz,-180,138deg,-26.3795705429394
272.5GHz,-180,139deg,-27.3202852106754
272.5GHz,-180,140deg,-24.5560490822489
272.5GHz,-180,141deg,-22.5985234742839
272.5GHz,-180,142deg,-22.2850029906154
272.5GHz,-180,143deg,-23.4562520436818
272.5GHz,-180,144deg,-25.3400708284219
272.5GHz,-180,145deg,-25.5816474548601
272.5GHz,-180,146deg,-24.1362723716896
272.5GHz,-180,147deg,-23.4196716588949
272.5GHz,-180,148deg,-24.1861664128392
272.5GHz,-180,149deg,-25.9749017004735
272.5GHz,-180,150deg,-26.4027422275279
272.5GHz,-180,151deg,-24.8500558246315
272.5GHz,-180,152deg,-24.0441695597572
272.5GHz,-180,153deg,-25.0864758427285
272.5GHz,-180,154deg,-28.0759366445396
272.5GHz,-180,155deg,-29.7593386696074
272.5GHz,-180,156deg,-27.220351123286
272.5GHz,-180,157deg,-25.9099538470273
272.5GHz,-180,158deg,-27.0261302464846
272.5GHz,-180,159deg,-29.2853216484614
272.5GHz,-180,160deg,-27.1953584139902
