Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,1.89081974093455
272.5GHz,-180,1deg,1.48566800909603
272.5GHz,-180,2deg,0.578367335414385
272.5GHz,-180,3deg,-0.757676550930755
272.5GHz,-180,4deg,-2.34380746104041
272.5GHz,-180,5deg,-3.82551159921183
272.5GHz,-180,6deg,-4.77566198523977
272.5GHz,-180,7deg,-5.09018522597424
272.5GHz,-180,8deg,-5.06080948872611
272.5GHz,-180,9deg,-4.95801739428537
272.5GHz,-180,10deg,-4.86050654580725
272.5GHz,-180,11deg,-4.79985717387063
272.5GHz,-180,12deg,-4.90498253580243
272.5GHz,-180,13deg,-5.39295691871658
272.5GHz,-180,14deg,-6.48124793338496
272.5GHz,-180,15deg,-8.30611947939058
272.5GHz,-180,16deg,-10.6881852791723
272.5GHz,-180,17deg,-12.3681070016148
272.5GHz,-180,18deg,-11.7841939790738
272.5GHz,-180,19deg,-10.186410261271
272.5GHz,-180,20deg,-8.88238949783088
272.5GHz,-180,21deg,-8.05195117164272
272.5GHz,-180,22deg,-7.57409177996657
272.5GHz,-180,23deg,-7.33402313029773
272.5GHz,-180,24deg,-7.2920613477634
272.5GHz,-180,25deg,-7.49321140657139
272.5GHz,-180,26deg,-8.04970953960695
272.5GHz,-180,27deg,-9.10577308880019
272.5GHz,-180,28deg,-10.7633435191206
272.5GHz,-180,29deg,-12.7886776210083
272.5GHz,-180,30deg,-13.8348202140711
272.5GHz,-180,31deg,-12.6521629207475
272.5GHz,-180,32deg,-10.7217955539031
272.5GHz,-180,33deg,-9.24092266987006
272.5GHz,-180,34deg,-8.35415146967298
272.5GHz,-180,35deg,-7.87728032968865
272.5GHz,-180,36deg,-7.52900362618671
272.5GHz,-180,37deg,-7.06285223456141
272.5GHz,-180,38deg,-6.43237618495132
272.5GHz,-180,39deg,-5.80335763494803
272.5GHz,-180,40deg,-5.39294996450083
272.5GHz,-180,41deg,-5.35752062093449
272.5GHz,-180,42deg,-5.78612624871345
272.5GHz,-180,43deg,-6.72545313855387
272.5GHz,-180,44deg,-8.18660248324582
272.5GHz,-180,45deg,-10.0967706198971
272.5GHz,-180,46deg,-12.122865910584
272.5GHz,-180,47deg,-13.4565400801677
272.5GHz,-180,48deg,-13.4834007587642
272.5GHz,-180,49deg,-12.7800185318271
272.5GHz,-180,50deg,-12.1419842606976
272.5GHz,-180,51deg,-11.8942450898415
