Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,0.414225353089611
272.5GHz,-180,1deg,0.7203423733083
272.5GHz,-180,2deg,0.971511158054692
272.5GHz,-180,3deg,1.10961562346833
272.5GHz,-180,4deg,1.13320397497496
272.5GHz,-180,5deg,1.06052651888342
272.5GHz,-180,6deg,0.886989338904117
272.5GHz,-180,7deg,0.570694058166854
272.5GHz,-180,8deg,0.0531455125484412
272.5GHz,-180,9deg,-0.706874650305598
272.5GHz,-180,10deg,-1.69952619292601
272.5GHz,-180,11deg,-2.81714772390652
272.5GHz,-180,12deg,-3.80232189220832
272.5GHz,-180,13deg,-4.33113554785403
272.5GHz,-180,14deg,-4.34545448652951
272.5GHz,-180,15deg,-4.17110962105419
272.5GHz,-180,16deg,-4.18727890155857
272.5GHz,-180,17deg,-4.60553953244294
272.5GHz,-180,18deg,-5.48253327805022
272.5GHz,-180,19deg,-6.76926127436523
272.5GHz,-180,20deg,-8.33112347306514
272.5GHz,-180,21deg,-9.96353247849574
272.5GHz,-180,22deg,-11.4603322122726
272.5GHz,-180,23deg,-12.7504817232276
272.5GHz,-180,24deg,-13.9425020131541
272.5GHz,-180,25deg,-15.0832688685219
272.5GHz,-180,26deg,-15.7498688712078
272.5GHz,-180,27deg,-15.3070134478281
272.5GHz,-180,28deg,-14.1271009769367
272.5GHz,-180,29deg,-13.1339529799392
272.5GHz,-180,30deg,-12.8114365990402
272.5GHz,-180,31deg,-13.3098426102443
272.5GHz,-180,32deg,-14.6969047392153
272.5GHz,-180,33deg,-17.0858974958781
272.5GHz,-180,34deg,-20.6892362054137
272.5GHz,-180,35deg,-25.1631667915471
272.5GHz,-180,36deg,-25.9698225141483
272.5GHz,-180,37deg,-23.4854329873696
272.5GHz,-180,38deg,-22.1082010134527
272.5GHz,-180,39deg,-21.5199963113153
272.5GHz,-180,40deg,-19.7421356519765
272.5GHz,-180,41deg,-16.4257437098843
272.5GHz,-180,42deg,-13.2574534142243
272.5GHz,-180,43deg,-10.9071285749444
272.5GHz,-180,44deg,-9.37825941605732
272.5GHz,-180,45deg,-8.54191638195728
272.5GHz,-180,46deg,-8.2388130823543
272.5GHz,-180,47deg,-8.2754740653782
272.5GHz,-180,48deg,-8.43190449007884
272.5GHz,-180,49deg,-8.53629077404857
272.5GHz,-180,50deg,-8.56685628360332
272.5GHz,-180,51deg,-8.6478546647841
272.5GHz,-180,52deg,-8.93955408301141
272.5GHz,-180,53deg,-9.55175845776053
272.5GHz,-180,54deg,-10.5143636637776
272.5GHz,-180,55deg,-11.7520356416405
272.5GHz,-180,56deg,-13.0306315430034
272.5GHz,-180,57deg,-13.9608911957084
272.5GHz,-180,58deg,-14.272752407531
272.5GHz,-180,59deg,-14.1268499485443
272.5GHz,-180,60deg,-13.9000353297539
272.5GHz,-180,61deg,-13.8482982553925
272.5GHz,-180,62deg,-14.0501615471623
272.5GHz,-180,63deg,-14.443257546906
272.5GHz,-180,64deg,-14.823744336859
272.5GHz,-180,65deg,-14.8680601343054
272.5GHz,-180,66deg,-14.3303280456837
272.5GHz,-180,67deg,-13.2875269243477
272.5GHz,-180,68deg,-12.0339422224319
272.5GHz,-180,69deg,-10.8162227773876
272.5GHz,-180,70deg,-9.75668424237576
272.5GHz,-180,71deg,-8.89511137604866
272.5GHz,-180,72deg,-8.23248130759792
272.5GHz,-180,73deg,-7.75402299846199
272.5GHz,-180,74deg,-7.43902885127404
272.5GHz,-180,75deg,-7.26450078228402
272.5GHz,-180,76deg,-7.20625315641892
272.5GHz,-180,77deg,-7.23914290715503
272.5GHz,-180,78deg,-7.3372619040968
272.5GHz,-180,79deg,-7.47458276465731
272.5GHz,-180,80deg,-7.62632323059139
272.5GHz,-180,81deg,-7.77098781599442
272.5GHz,-180,82deg,-7.89263455399587
272.5GHz,-180,83deg,-7.98258610405111
272.5GHz,-180,84deg,-8.03984700713498
272.5GHz,-180,85deg,-8.06999196666637
272.5GHz,-180,86deg,-8.08295436050023
272.5GHz,-180,87deg,-8.09051815806103
272.5GHz,-180,88deg,-8.10422136996412
272.5GHz,-180,89deg,-8.13400721261157
272.5GHz,-180,90deg,-8.18760524480956
272.5GHz,-180,91deg,-8.27043969745053
272.5GHz,-180,92deg,-8.38583315490162
272.5GHz,-180,93deg,-8.53532430653002
272.5GHz,-180,94deg,-8.71898599430461
272.5GHz,-180,95deg,-8.93568506961944
272.5GHz,-180,96deg,-9.18326323199801
272.5GHz,-180,97deg,-9.45864299548525
272.5GHz,-180,98deg,-9.75788220174214
272.5GHz,-180,99deg,-10.0762192290713
272.5GHz,-180,100deg,-10.4081704673729
272.5GHz,-180,101deg,-10.7477571481158
272.5GHz,-180,102deg,-11.0889385432472
272.5GHz,-180,103deg,-11.4262963092157
272.5GHz,-180,104deg,-11.7559387117351
272.5GHz,-180,105deg,-12.0764842801381
272.5GHz,-180,106deg,-12.3898880442573
272.5GHz,-180,107deg,-12.7018575799936
272.5GHz,-180,108deg,-13.0217119745409
272.5GHz,-180,109deg,-13.3617305526036
272.5GHz,-180,110deg,-13.736214800572
272.5GHz,-180,111deg,-14.1605335322637
272.5GHz,-180,112deg,-14.6502748279392
272.5GHz,-180,113deg,-15.220267550698
272.5GHz,-180,114deg,-15.8826221335465
272.5GHz,-180,115deg,-16.641986736577
272.5GHz,-180,116deg,-17.484979534972
272.5GHz,-180,117deg,-18.3606460678464
272.5GHz,-180,118deg,-19.156360607935
272.5GHz,-180,119deg,-19.7013271797162
272.5GHz,-180,120deg,-19.8539373096098
