Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,4.07340531904449
272.5GHz,-180,1deg,3.84721686303276
272.5GHz,-180,2deg,3.27585145259337
272.5GHz,-180,3deg,2.4207984467154
272.5GHz,-180,4deg,1.37502995377748
272.5GHz,-180,5deg,0.247799358865316
272.5GHz,-180,6deg,-0.882500647458244
272.5GHz,-180,7deg,-2.02003896851964
272.5GHz,-180,8deg,-3.23821660875544
272.5GHz,-180,9deg,-4.57641712236876
272.5GHz,-180,10deg,-5.90131851163306
272.5GHz,-180,11deg,-6.88180347185765
272.5GHz,-180,12deg,-7.31702849699119
272.5GHz,-180,13deg,-7.46725919888823
272.5GHz,-180,14deg,-7.76150693994492
272.5GHz,-180,15deg,-8.45043454375485
272.5GHz,-180,16deg,-9.5928982111069
272.5GHz,-180,17deg,-11.1406211552908
272.5GHz,-180,18deg,-12.9973216989556
272.5GHz,-180,19deg,-15.0115674844692
272.5GHz,-180,20deg,-16.8139500231066
272.5GHz,-180,21deg,-17.6614226041423
272.5GHz,-180,22deg,-17.1815199080142
272.5GHz,-180,23deg,-16.058234660962
272.5GHz,-180,24deg,-15.0527867204155
272.5GHz,-180,25deg,-14.5424761849322
272.5GHz,-180,26deg,-14.7301921425871
272.5GHz,-180,27deg,-15.7461722937278
272.5GHz,-180,28deg,-17.379800874776
272.5GHz,-180,29deg,-17.9735052784653
272.5GHz,-180,30deg,-15.924735787189
272.5GHz,-180,31deg,-13.2838621928324
272.5GHz,-180,32deg,-11.3510341038986
272.5GHz,-180,33deg,-10.1985947133368
272.5GHz,-180,34deg,-9.63680000698677
272.5GHz,-180,35deg,-9.40970191013115
272.5GHz,-180,36deg,-9.23665316609765
272.5GHz,-180,37deg,-8.9152687667509
272.5GHz,-180,38deg,-8.43667006334606
272.5GHz,-180,39deg,-7.95335016546267
272.5GHz,-180,40deg,-7.64893181704118
272.5GHz,-180,41deg,-7.6694313602428
272.5GHz,-180,42deg,-8.12951661672827
272.5GHz,-180,43deg,-9.14119844897909
272.5GHz,-180,44deg,-10.8388794937509
272.5GHz,-180,45deg,-13.3650877896251
272.5GHz,-180,46deg,-16.5116167974771
272.5GHz,-180,47deg,-17.9881015578844
272.5GHz,-180,48deg,-15.9794193085983
272.5GHz,-180,49deg,-13.5600122399407
272.5GHz,-180,50deg,-11.9113442656773
272.5GHz,-180,51deg,-10.9881961221398
272.5GHz,-180,52deg,-10.6481014635809
272.5GHz,-180,53deg,-10.7951751858475
272.5GHz,-180,54deg,-11.3790720806314
272.5GHz,-180,55deg,-12.382028229289
272.5GHz,-180,56deg,-13.8041499080594
272.5GHz,-180,57deg,-15.6380138434831
272.5GHz,-180,58deg,-17.8039745019801
272.5GHz,-180,59deg,-19.9896635085604
272.5GHz,-180,60deg,-21.4884827168962
272.5GHz,-180,61deg,-21.7318068233918
272.5GHz,-180,62deg,-21.0939891654579
272.5GHz,-180,63deg,-20.1936447608012
272.5GHz,-180,64deg,-19.276152195985
272.5GHz,-180,65deg,-18.369800903223
272.5GHz,-180,66deg,-17.4712382012752
272.5GHz,-180,67deg,-16.6001338173731
272.5GHz,-180,68deg,-15.7885949436899
272.5GHz,-180,69deg,-15.0613870565601
272.5GHz,-180,70deg,-14.4280260019152
272.5GHz,-180,71deg,-13.885023688067
272.5GHz,-180,72deg,-13.4216588623723
272.5GHz,-180,73deg,-13.0252168176556
272.5GHz,-180,74deg,-12.6842974799834
272.5GHz,-180,75deg,-12.390164575025
272.5GHz,-180,76deg,-12.1366893973999
272.5GHz,-180,77deg,-11.9196013176252
272.5GHz,-180,78deg,-11.7356444971627
272.5GHz,-180,79deg,-11.5819874317223
272.5GHz,-180,80deg,-11.4559772600614
272.5GHz,-180,81deg,-11.3551621146388
272.5GHz,-180,82deg,-11.2774392758738
272.5GHz,-180,83deg,-11.2211975379773
272.5GHz,-180,84deg,-11.1853710152425
272.5GHz,-180,85deg,-11.1693775077895
272.5GHz,-180,86deg,-11.1729583044354
272.5GHz,-180,87deg,-11.1959602807861
272.5GHz,-180,88deg,-11.2381068555872
272.5GHz,-180,89deg,-11.2987986631695
272.5GHz,-180,90deg,-11.3769756586114
272.5GHz,-180,91deg,-11.4710655383423
272.5GHz,-180,92deg,-11.5790406875962
272.5GHz,-180,93deg,-11.6986051690944
272.5GHz,-180,94deg,-11.82752919612
272.5GHz,-180,95deg,-11.9641344912546
272.5GHz,-180,96deg,-12.1079053989305
272.5GHz,-180,97deg,-12.2601595586915
272.5GHz,-180,98deg,-12.4246698404101
272.5GHz,-180,99deg,-12.6081044466505
272.5GHz,-180,100deg,-12.8201590836166
272.5GHz,-180,101deg,-13.0732902811471
272.5GHz,-180,102deg,-13.3819937998431
272.5GHz,-180,103deg,-13.7615611447196
272.5GHz,-180,104deg,-14.2261462802582
272.5GHz,-180,105deg,-14.7857627838981
272.5GHz,-180,106deg,-15.4415612070456
272.5GHz,-180,107deg,-16.1787076154798
272.5GHz,-180,108deg,-16.9573914925203
272.5GHz,-180,109deg,-17.7069635807704
272.5GHz,-180,110deg,-18.3362087261695
272.5GHz,-180,111deg,-18.7724925436085
272.5GHz,-180,112deg,-19.0126861026923
272.5GHz,-180,113deg,-19.1355721405955
272.5GHz,-180,114deg,-19.2596862535473
272.5GHz,-180,115deg,-19.4902768327219
272.5GHz,-180,116deg,-19.8897132448324
272.5GHz,-180,117deg,-20.4658804035711
272.5GHz,-180,118deg,-21.1643518932139
272.5GHz,-180,119deg,-21.8691302633172
272.5GHz,-180,120deg,-22.4416452729729
272.5GHz,-180,121deg,-22.8087343062586
272.5GHz,-180,122deg,-23.0183216420209
272.5GHz,-180,123deg,-23.1774501915538
272.5GHz,-180,124deg,-23.336605532957
272.5GHz,-180,125deg,-23.4310622172121
272.5GHz,-180,126deg,-23.3339425133272
272.5GHz,-180,127deg,-23.0111290027438
272.5GHz,-180,128deg,-22.6174171543008
272.5GHz,-180,129deg,-22.4103683762246
272.5GHz,-180,130deg,-22.6265931741504
272.5GHz,-180,131deg,-23.4371716043113
272.5GHz,-180,132deg,-24.8970976041786
272.5GHz,-180,133deg,-26.6369870379041
272.5GHz,-180,134deg,-27.2785347396513
272.5GHz,-180,135deg,-26.0973654717969
272.5GHz,-180,136deg,-24.6012710777296
272.5GHz,-180,137deg,-23.8182529877402
272.5GHz,-180,138deg,-23.9985547252056
272.5GHz,-180,139deg,-25.2204892602529
272.5GHz,-180,140deg,-27.5835467496643
272.5GHz,-180,141deg,-31.1610065139853
272.5GHz,-180,142deg,-35.0065952630856
272.5GHz,-180,143deg,-35.1220669656374
272.5GHz,-180,144deg,-32.7403307399686
272.5GHz,-180,145deg,-30.997324919969
272.5GHz,-180,146deg,-30.4399450292484
272.5GHz,-180,147deg,-31.2901476864735
272.5GHz,-180,148deg,-32.9104245113995
272.5GHz,-180,149deg,-31.1645510789421
272.5GHz,-180,150deg,-27.1869749469866
272.5GHz,-180,151deg,-24.5182078708196
272.5GHz,-180,152deg,-23.5186717577676
272.5GHz,-180,153deg,-24.2122872030156
272.5GHz,-180,154deg,-26.8476272167457
272.5GHz,-180,155deg,-31.095724999266
272.5GHz,-180,156deg,-30.8624687212868
272.5GHz,-180,157deg,-28.2457235249491
272.5GHz,-180,158deg,-28.2891620943672
272.5GHz,-180,159deg,-32.0182745185276
272.5GHz,-180,160deg,-35.7706175950258
272.5GHz,-180,161deg,-28.2989024063667
272.5GHz,-180,162deg,-24.4460745724178
272.5GHz,-180,163deg,-23.1216731770831
272.5GHz,-180,164deg,-23.4353712705661
272.5GHz,-180,165deg,-24.7516597225379
272.5GHz,-180,166deg,-26.3344839636196
272.5GHz,-180,167deg,-27.9467833921007
272.5GHz,-180,168deg,-29.7774088715355
272.5GHz,-180,169deg,-29.5938611820236
272.5GHz,-180,170deg,-26.9889805538402
