Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,3.73554342320449
272.5GHz,-180,1deg,3.53062146813235
272.5GHz,-180,2deg,3.09110307795277
272.5GHz,-180,3deg,2.41654162208251
272.5GHz,-180,4deg,1.48149454646446
272.5GHz,-180,5deg,0.22910019032948
272.5GHz,-180,6deg,-1.43704721617761
272.5GHz,-180,7deg,-3.67022489441224
272.5GHz,-180,8deg,-6.72305968134053
272.5GHz,-180,9deg,-11.0417369538212
272.5GHz,-180,10deg,-17.060146108303
272.5GHz,-180,11deg,-19.1255512337549
272.5GHz,-180,12deg,-15.5055794768695
272.5GHz,-180,13deg,-13.3710923188199
272.5GHz,-180,14deg,-12.5243783189092
272.5GHz,-180,15deg,-12.4742500100547
272.5GHz,-180,16deg,-12.9881160843734
272.5GHz,-180,17deg,-13.9103764449996
272.5GHz,-180,18deg,-14.8415487040661
272.5GHz,-180,19deg,-14.9327071757551
272.5GHz,-180,20deg,-13.8458344007234
272.5GHz,-180,21deg,-12.3694336222462
272.5GHz,-180,22deg,-11.176549202957
272.5GHz,-180,23deg,-10.4520892269821
272.5GHz,-180,24deg,-10.164404659943
272.5GHz,-180,25deg,-10.2097260503218
272.5GHz,-180,26deg,-10.4458732424056
272.5GHz,-180,27deg,-10.7157274777919
272.5GHz,-180,28deg,-10.9267443743498
272.5GHz,-180,29deg,-11.1453378103236
272.5GHz,-180,30deg,-11.5754610503446
272.5GHz,-180,31deg,-12.4296148351141
272.5GHz,-180,32deg,-13.784650668421
272.5GHz,-180,33deg,-15.3512120706292
272.5GHz,-180,34deg,-16.2523941537497
272.5GHz,-180,35deg,-15.9788535592786
272.5GHz,-180,36deg,-15.3575111029352
272.5GHz,-180,37deg,-15.2072867177192
272.5GHz,-180,38deg,-15.777226058929
272.5GHz,-180,39deg,-16.9738364850171
272.5GHz,-180,40deg,-18.3271872414104
272.5GHz,-180,41deg,-18.9038735819374
272.5GHz,-180,42deg,-18.1959761063201
272.5GHz,-180,43deg,-16.8076549589851
272.5GHz,-180,44deg,-15.3688540884088
272.5GHz,-180,45deg,-14.1105345493859
272.5GHz,-180,46deg,-13.0879766741965
272.5GHz,-180,47deg,-12.3026329495164
272.5GHz,-180,48deg,-11.7291020303789
272.5GHz,-180,49deg,-11.3259954731862
272.5GHz,-180,50deg,-11.0497696281991
272.5GHz,-180,51deg,-10.8648289593981
272.5GHz,-180,52deg,-10.7411968276419
272.5GHz,-180,53deg,-10.6419970052015
272.5GHz,-180,54deg,-10.5153288469495
272.5GHz,-180,55deg,-10.3063032225939
272.5GHz,-180,56deg,-9.98808178573034
272.5GHz,-180,57deg,-9.58536648254514
272.5GHz,-180,58deg,-9.16522523605793
272.5GHz,-180,59deg,-8.80545505547835
272.5GHz,-180,60deg,-8.56861117036447
272.5GHz,-180,61deg,-8.49274828377996
