Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,0.931178601210464
272.5GHz,-180,1deg,0.633507064901904
272.5GHz,-180,2deg,0.280295742911484
272.5GHz,-180,3deg,-0.138732467924174
272.5GHz,-180,4deg,-0.663935495801942
272.5GHz,-180,5deg,-1.34622609569082
272.5GHz,-180,6deg,-2.22759563364551
272.5GHz,-180,7deg,-3.33210508000988
272.5GHz,-180,8deg,-4.67571460013805
272.5GHz,-180,9deg,-6.30173843404253
272.5GHz,-180,10deg,-8.33876901329811
272.5GHz,-180,11deg,-11.0699165506096
272.5GHz,-180,12deg,-15.0102254837538
272.5GHz,-180,13deg,-20.2762872025679
272.5GHz,-180,14deg,-20.0317698596542
272.5GHz,-180,15deg,-15.9875073547123
272.5GHz,-180,16deg,-13.5318784316087
272.5GHz,-180,17deg,-12.2593019076619
272.5GHz,-180,18deg,-11.6426240284493
272.5GHz,-180,19deg,-11.3096010601399
272.5GHz,-180,20deg,-11.044508310955
272.5GHz,-180,21deg,-10.8270352112822
272.5GHz,-180,22deg,-10.7847083294571
272.5GHz,-180,23deg,-11.0815667538234
272.5GHz,-180,24deg,-11.8343840023333
272.5GHz,-180,25deg,-13.0478847864551
272.5GHz,-180,26deg,-14.5116818726981
272.5GHz,-180,27deg,-15.7743958849102
272.5GHz,-180,28deg,-16.6087895605637
272.5GHz,-180,29deg,-17.4360030244081
272.5GHz,-180,30deg,-18.4534679267165
272.5GHz,-180,31deg,-17.9784390376461
272.5GHz,-180,32deg,-14.8645689343417
272.5GHz,-180,33deg,-11.4535617093179
272.5GHz,-180,34deg,-8.81803609569494
272.5GHz,-180,35deg,-6.97400651203585
272.5GHz,-180,36deg,-5.78635284913078
272.5GHz,-180,37deg,-5.13512415086214
272.5GHz,-180,38deg,-4.92766953755951
272.5GHz,-180,39deg,-5.09063364024455
272.5GHz,-180,40deg,-5.55997033954303
272.5GHz,-180,41deg,-6.27078740982228
272.5GHz,-180,42deg,-7.14910940142334
272.5GHz,-180,43deg,-8.11111800365122
272.5GHz,-180,44deg,-9.07556477546197
272.5GHz,-180,45deg,-9.98367719913289
272.5GHz,-180,46deg,-10.8039660126123
272.5GHz,-180,47deg,-11.5070191247949
272.5GHz,-180,48deg,-12.0356124278221
272.5GHz,-180,49deg,-12.3216339412781
272.5GHz,-180,50deg,-12.3583521919052
272.5GHz,-180,51deg,-12.2457623353326
272.5GHz,-180,52deg,-12.1447440813948
272.5GHz,-180,53deg,-12.2013598015156
272.5GHz,-180,54deg,-12.5118545000984
