Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,1.1385109236448
272.5GHz,-180,1deg,1.08319001518386
272.5GHz,-180,2deg,1.02019235601675
272.5GHz,-180,3deg,0.905160489163862
272.5GHz,-180,4deg,0.700114873079407
272.5GHz,-180,5deg,0.378480251733331
272.5GHz,-180,6deg,-0.0791452026459521
272.5GHz,-180,7deg,-0.692572744965246
272.5GHz,-180,8deg,-1.48609107618865
272.5GHz,-180,9deg,-2.48268478291425
272.5GHz,-180,10deg,-3.68583159647255
272.5GHz,-180,11deg,-5.05432644711223
272.5GHz,-180,12deg,-6.49145958200111
272.5GHz,-180,13deg,-7.88680660214865
272.5GHz,-180,14deg,-9.20712801236415
272.5GHz,-180,15deg,-10.5164144033966
272.5GHz,-180,16deg,-11.8207863482343
272.5GHz,-180,17deg,-12.8287621899843
272.5GHz,-180,18deg,-13.0153130583137
272.5GHz,-180,19deg,-12.3302533596898
272.5GHz,-180,20deg,-11.3371794721412
272.5GHz,-180,21deg,-10.5102725507033
272.5GHz,-180,22deg,-10.0352222954571
272.5GHz,-180,23deg,-9.94875860983282
272.5GHz,-180,24deg,-10.2305895648142
272.5GHz,-180,25deg,-10.8252028622201
272.5GHz,-180,26deg,-11.6250638299137
272.5GHz,-180,27deg,-12.4322276320064
272.5GHz,-180,28deg,-12.9537960709289
272.5GHz,-180,29deg,-12.9631658016274
272.5GHz,-180,30deg,-12.5509046184105
272.5GHz,-180,31deg,-12.0627292114323
272.5GHz,-180,32deg,-11.8168239387611
272.5GHz,-180,33deg,-11.9715119413874
272.5GHz,-180,34deg,-12.496906865393
272.5GHz,-180,35deg,-13.1129489083882
272.5GHz,-180,36deg,-13.3284415913091
272.5GHz,-180,37deg,-12.9268534059309
272.5GHz,-180,38deg,-12.2992405601679
272.5GHz,-180,39deg,-11.9602528430318
272.5GHz,-180,40deg,-12.210271469781
272.5GHz,-180,41deg,-13.1827895772803
272.5GHz,-180,42deg,-14.8371411980891
272.5GHz,-180,43deg,-16.4922466239922
272.5GHz,-180,44deg,-16.3343548598884
272.5GHz,-180,45deg,-14.3181900522975
272.5GHz,-180,46deg,-12.2287838824436
272.5GHz,-180,47deg,-10.7423315547695
272.5GHz,-180,48deg,-9.91160933167194
272.5GHz,-180,49deg,-9.69534244829487
272.5GHz,-180,50deg,-10.0775044243219
272.5GHz,-180,51deg,-11.0946716473847
272.5GHz,-180,52deg,-12.8569781622781
272.5GHz,-180,53deg,-15.5573632315716
272.5GHz,-180,54deg,-19.1166730008899
272.5GHz,-180,55deg,-20.4581598288281
272.5GHz,-180,56deg,-17.351171409937
272.5GHz,-180,57deg,-14.2683779977853
272.5GHz,-180,58deg,-12.1667638013941
272.5GHz,-180,59deg,-10.8427311495652
272.5GHz,-180,60deg,-10.1040191556339
272.5GHz,-180,61deg,-9.82025831033534
272.5GHz,-180,62deg,-9.89198917638041
272.5GHz,-180,63deg,-10.225805616678
272.5GHz,-180,64deg,-10.7183169538445
272.5GHz,-180,65deg,-11.2526473573043
272.5GHz,-180,66deg,-11.7157766246563
