Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,2.53852482131316
272.5GHz,-180,1deg,2.36728895370445
272.5GHz,-180,2deg,1.85222356259686
272.5GHz,-180,3deg,1.024192364339
272.5GHz,-180,4deg,-0.0796485794288491
272.5GHz,-180,5deg,-1.44318757049164
272.5GHz,-180,6deg,-3.10178441881227
272.5GHz,-180,7deg,-5.1594140275949
272.5GHz,-180,8deg,-7.76257092998814
272.5GHz,-180,9deg,-10.8380687347637
272.5GHz,-180,10deg,-12.8487331136039
272.5GHz,-180,11deg,-11.6791925047373
272.5GHz,-180,12deg,-9.57325990751349
272.5GHz,-180,13deg,-8.16523469055799
272.5GHz,-180,14deg,-7.55184129690334
272.5GHz,-180,15deg,-7.45942581471471
272.5GHz,-180,16deg,-7.44244842424594
272.5GHz,-180,17deg,-7.07395882244457
272.5GHz,-180,18deg,-6.31917141755448
272.5GHz,-180,19deg,-5.48802573898764
272.5GHz,-180,20deg,-4.85273100602395
272.5GHz,-180,21deg,-4.52334487421762
272.5GHz,-180,22deg,-4.50967719322169
272.5GHz,-180,23deg,-4.7804157972064
272.5GHz,-180,24deg,-5.29381090320703
272.5GHz,-180,25deg,-6.02518774276088
272.5GHz,-180,26deg,-7.00433160644115
272.5GHz,-180,27deg,-8.35008421427719
272.5GHz,-180,28deg,-10.2950966319821
272.5GHz,-180,29deg,-13.2565683068102
272.5GHz,-180,30deg,-18.1833991586569
272.5GHz,-180,31deg,-27.837349346094
272.5GHz,-180,32deg,-23.1202135909792
272.5GHz,-180,33deg,-17.4960740427104
272.5GHz,-180,34deg,-15.0440762426875
272.5GHz,-180,35deg,-14.1811396293029
272.5GHz,-180,36deg,-14.3998076143609
272.5GHz,-180,37deg,-15.2832865927589
272.5GHz,-180,38deg,-15.9177455376876
272.5GHz,-180,39deg,-15.2745115857455
272.5GHz,-180,40deg,-13.9077976337759
272.5GHz,-180,41deg,-12.913004163982
272.5GHz,-180,42deg,-12.7262253670318
272.5GHz,-180,43deg,-13.3938729008683
272.5GHz,-180,44deg,-14.6793218692319
272.5GHz,-180,45deg,-15.7628017325821
272.5GHz,-180,46deg,-15.5712256465125
272.5GHz,-180,47deg,-14.487980053152
272.5GHz,-180,48deg,-13.5698263742515
272.5GHz,-180,49deg,-13.2412070537406
272.5GHz,-180,50deg,-13.5367943828469
272.5GHz,-180,51deg,-14.3625246099516
272.5GHz,-180,52deg,-15.502703217648
272.5GHz,-180,53deg,-16.4245380804247
272.5GHz,-180,54deg,-16.2285957863645
272.5GHz,-180,55deg,-14.6956884993207
272.5GHz,-180,56deg,-12.6766233291746
272.5GHz,-180,57deg,-10.8577396694271
272.5GHz,-180,58deg,-9.48028475708041
272.5GHz,-180,59deg,-8.59792964438411
272.5GHz,-180,60deg,-8.21525356171243
272.5GHz,-180,61deg,-8.33319576951005
272.5GHz,-180,62deg,-8.96343018298356
272.5GHz,-180,63deg,-10.1293737917311
272.5GHz,-180,64deg,-11.8379553926648
272.5GHz,-180,65deg,-13.9234130543281
272.5GHz,-180,66deg,-15.528603728634
272.5GHz,-180,67deg,-15.1903239242566
272.5GHz,-180,68deg,-13.3471026279072
272.5GHz,-180,69deg,-11.3936332311725
272.5GHz,-180,70deg,-9.80776032228263
272.5GHz,-180,71deg,-8.61385714918177
272.5GHz,-180,72deg,-7.74961736544548
272.5GHz,-180,73deg,-7.15293577320653
272.5GHz,-180,74deg,-6.77505072400096
272.5GHz,-180,75deg,-6.5792035736501
272.5GHz,-180,76deg,-6.53724876078897
272.5GHz,-180,77deg,-6.62658914500554
272.5GHz,-180,78deg,-6.82776205646956
272.5GHz,-180,79deg,-7.12262617609901
272.5GHz,-180,80deg,-7.493078418724
272.5GHz,-180,81deg,-7.92028570863494
272.5GHz,-180,82deg,-8.38448124727728
272.5GHz,-180,83deg,-8.86540773004658
272.5GHz,-180,84deg,-9.34344179103602
272.5GHz,-180,85deg,-9.80126819930986
272.5GHz,-180,86deg,-10.2257211315684
272.5GHz,-180,87deg,-10.6092134057355
272.5GHz,-180,88deg,-10.9502173000898
272.5GHz,-180,89deg,-11.2525993485568
272.5GHz,-180,90deg,-11.5240685301546
272.5GHz,-180,91deg,-11.774288800096
272.5GHz,-180,92deg,-12.0131926120954
272.5GHz,-180,93deg,-12.2498024401833
272.5GHz,-180,94deg,-12.4916093158866
272.5GHz,-180,95deg,-12.7443936467811
272.5GHz,-180,96deg,-13.0123208264297
272.5GHz,-180,97deg,-13.2981617221679
272.5GHz,-180,98deg,-13.603531537226
272.5GHz,-180,99deg,-13.9290837907329
272.5GHz,-180,100deg,-14.2746307316288
272.5GHz,-180,101deg,-14.6391881260136
272.5GHz,-180,102deg,-15.0209638182486
272.5GHz,-180,103deg,-15.4173260661294
272.5GHz,-180,104deg,-15.8247947908781
272.5GHz,-180,105deg,-16.2390871498681
272.5GHz,-180,106deg,-16.6552087370153
272.5GHz,-180,107deg,-17.0675155372192
272.5GHz,-180,108deg,-17.469610929715
272.5GHz,-180,109deg,-17.8539582507587
272.5GHz,-180,110deg,-18.2112774613888
272.5GHz,-180,111deg,-18.5302024138771
272.5GHz,-180,112deg,-18.7981713136187
272.5GHz,-180,113deg,-19.0046541790234
272.5GHz,-180,114deg,-19.1469266877093
272.5GHz,-180,115deg,-19.2365907373996
272.5GHz,-180,116deg,-19.3033905087087
272.5GHz,-180,117deg,-19.3937227874308
272.5GHz,-180,118deg,-19.5643245549585
