Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,3.81395667438393
272.5GHz,-180,1deg,3.88033728119323
272.5GHz,-180,2deg,3.67252628081272
272.5GHz,-180,3deg,3.17581915074233
272.5GHz,-180,4deg,2.37463525907752
272.5GHz,-180,5deg,1.24930023839685
272.5GHz,-180,6deg,-0.229666668626642
272.5GHz,-180,7deg,-2.11220664043858
272.5GHz,-180,8deg,-4.49014551301276
272.5GHz,-180,9deg,-7.53822046466374
272.5GHz,-180,10deg,-11.5465159354165
272.5GHz,-180,11deg,-16.1829228385855
272.5GHz,-180,12deg,-16.2761787547751
272.5GHz,-180,13deg,-12.7383896692328
272.5GHz,-180,14deg,-10.0970842689888
272.5GHz,-180,15deg,-8.45092591623233
272.5GHz,-180,16deg,-7.53037694906403
272.5GHz,-180,17deg,-7.17696735782111
272.5GHz,-180,18deg,-7.30225877173632
272.5GHz,-180,19deg,-7.84484855102043
272.5GHz,-180,20deg,-8.74085004427675
272.5GHz,-180,21deg,-9.90707408885421
272.5GHz,-180,22deg,-11.2455490559448
272.5GHz,-180,23deg,-12.6729092568758
272.5GHz,-180,24deg,-14.140408224466
272.5GHz,-180,25deg,-15.5832950715753
272.5GHz,-180,26deg,-16.8156372870409
272.5GHz,-180,27deg,-17.5637850199214
272.5GHz,-180,28deg,-17.7755224844276
272.5GHz,-180,29deg,-17.7375201240703
272.5GHz,-180,30deg,-17.7536043996829
272.5GHz,-180,31deg,-17.9235058473618
272.5GHz,-180,32deg,-18.1545834418115
272.5GHz,-180,33deg,-18.2440117472777
272.5GHz,-180,34deg,-18.0041130302181
272.5GHz,-180,35deg,-17.4076910908717
272.5GHz,-180,36deg,-16.6217418416757
272.5GHz,-180,37deg,-15.8934896949052
272.5GHz,-180,38deg,-15.4348112236233
272.5GHz,-180,39deg,-15.387233479759
272.5GHz,-180,40deg,-15.8328777803583
272.5GHz,-180,41deg,-16.8090840127314
272.5GHz,-180,42deg,-18.3088660503846
272.5GHz,-180,43deg,-20.2517608106628
272.5GHz,-180,44deg,-22.3525777632164
272.5GHz,-180,45deg,-23.7045012855854
272.5GHz,-180,46deg,-22.9572680375776
272.5GHz,-180,47deg,-20.618054598599
272.5GHz,-180,48deg,-18.1632934094969
272.5GHz,-180,49deg,-16.201396789977
272.5GHz,-180,50deg,-14.845391187611
272.5GHz,-180,51deg,-14.0698779067073
272.5GHz,-180,52deg,-13.7965704006783
272.5GHz,-180,53deg,-13.8856789757269
272.5GHz,-180,54deg,-14.1009659836587
272.5GHz,-180,55deg,-14.1332499106586
272.5GHz,-180,56deg,-13.7838163275278
272.5GHz,-180,57deg,-13.1406936258703
272.5GHz,-180,58deg,-12.457801207042
272.5GHz,-180,59deg,-11.9401572914652
272.5GHz,-180,60deg,-11.6851154392109
272.5GHz,-180,61deg,-11.7138459136586
272.5GHz,-180,62deg,-12.0024186652547
272.5GHz,-180,63deg,-12.4924487098903
272.5GHz,-180,64deg,-13.086396786735
272.5GHz,-180,65deg,-13.6408515871416
272.5GHz,-180,66deg,-13.985479041445
272.5GHz,-180,67deg,-13.9933867186229
272.5GHz,-180,68deg,-13.6604498070406
272.5GHz,-180,69deg,-13.0981451675444
272.5GHz,-180,70deg,-12.4492150829131
272.5GHz,-180,71deg,-11.8233445547696
272.5GHz,-180,72deg,-11.2846459585867
272.5GHz,-180,73deg,-10.8634873951022
272.5GHz,-180,74deg,-10.570081199623
272.5GHz,-180,75deg,-10.4035842880262
272.5GHz,-180,76deg,-10.35722393081
272.5GHz,-180,77deg,-10.4210045423238
272.5GHz,-180,78deg,-10.5831252810207
272.5GHz,-180,79deg,-10.8307584601565
272.5GHz,-180,80deg,-11.1505370540214
272.5GHz,-180,81deg,-11.5289342487071
272.5GHz,-180,82deg,-11.9526268709241
272.5GHz,-180,83deg,-12.4088780303367
272.5GHz,-180,84deg,-12.8859335506459
272.5GHz,-180,85deg,-13.3733969840138
272.5GHz,-180,86deg,-13.8625325332411
272.5GHz,-180,87deg,-14.3464490291618
272.5GHz,-180,88deg,-14.8201414680012
272.5GHz,-180,89deg,-15.2804015183
272.5GHz,-180,90deg,-15.7256407088667
272.5GHz,-180,91deg,-16.1556860748182
272.5GHz,-180,92deg,-16.5716014240678
272.5GHz,-180,93deg,-16.9755609824937
272.5GHz,-180,94deg,-17.3707651130252
272.5GHz,-180,95deg,-17.7613500039566
272.5GHz,-180,96deg,-18.1522110460444
272.5GHz,-180,97deg,-18.5486344639986
272.5GHz,-180,98deg,-18.9556122404494
272.5GHz,-180,99deg,-19.3767041516833
272.5GHz,-180,100deg,-19.812329206146
272.5GHz,-180,101deg,-20.2574831090333
272.5GHz,-180,102deg,-20.699228652268
272.5GHz,-180,103deg,-21.115072181881
272.5GHz,-180,104deg,-21.4744515042613
272.5GHz,-180,105deg,-21.7459987492662
272.5GHz,-180,106deg,-21.9108172280207
272.5GHz,-180,107deg,-21.9761799364825
272.5GHz,-180,108deg,-21.9804011891763
272.5GHz,-180,109deg,-21.9850583819057
272.5GHz,-180,110deg,-22.0605977657196
272.5GHz,-180,111deg,-22.2740468812115
272.5GHz,-180,112deg,-22.6820768196339
272.5GHz,-180,113deg,-23.3265225839629
272.5GHz,-180,114deg,-24.225758524747
272.5GHz,-180,115deg,-25.3517644929588
272.5GHz,-180,116deg,-26.5816032906616
272.5GHz,-180,117deg,-27.6445977142014
272.5GHz,-180,118deg,-28.203619278974
272.5GHz,-180,119deg,-28.1652749940422
272.5GHz,-180,120deg,-27.7921916214542
272.5GHz,-180,121deg,-27.4040316319649
272.5GHz,-180,122deg,-27.1706236572056
272.5GHz,-180,123deg,-27.1258682967375
272.5GHz,-180,124deg,-27.2309866086556
272.5GHz,-180,125deg,-27.4220138538545
272.5GHz,-180,126deg,-27.638510347842
272.5GHz,-180,127deg,-27.8274783582231
272.5GHz,-180,128deg,-27.9225006680142
272.5GHz,-180,129deg,-27.8335982503084
272.5GHz,-180,130deg,-27.5025800916312
272.5GHz,-180,131deg,-26.9987462681082
272.5GHz,-180,132deg,-26.5293377469971
272.5GHz,-180,133deg,-26.3495755278208
272.5GHz,-180,134deg,-26.6933846820453
272.5GHz,-180,135deg,-27.7678485311835
272.5GHz,-180,136deg,-29.7414253134954
272.5GHz,-180,137deg,-32.4572122665983
272.5GHz,-180,138deg,-34.2199138732933
272.5GHz,-180,139deg,-33.3878722634223
272.5GHz,-180,140deg,-32.3459691962474
272.5GHz,-180,141deg,-32.6409084609254
272.5GHz,-180,142deg,-34.6277758132305
272.5GHz,-180,143deg,-37.8837270232477
272.5GHz,-180,144deg,-38.3797806484565
272.5GHz,-180,145deg,-35.7770685926487
272.5GHz,-180,146deg,-33.7387481471587
272.5GHz,-180,147deg,-31.9110728240411
272.5GHz,-180,148deg,-29.7671527346321
272.5GHz,-180,149deg,-27.8500886241069
272.5GHz,-180,150deg,-26.7507396472748
272.5GHz,-180,151deg,-26.6676281084089
272.5GHz,-180,152deg,-27.50587144109
272.5GHz,-180,153deg,-28.7529648328863
272.5GHz,-180,154deg,-29.4580957605494
272.5GHz,-180,155deg,-29.3408003759793
272.5GHz,-180,156deg,-28.9388833487686
272.5GHz,-180,157deg,-28.2353012782821
272.5GHz,-180,158deg,-27.0834617515799
272.5GHz,-180,159deg,-26.047405745784
272.5GHz,-180,160deg,-25.7610857957735
272.5GHz,-180,161deg,-26.3652142584295
272.5GHz,-180,162deg,-27.2252566535806
272.5GHz,-180,163deg,-27.0842640067099
272.5GHz,-180,164deg,-26.2032462148928
272.5GHz,-180,165deg,-25.9519773910137
272.5GHz,-180,166deg,-26.9037403560539
272.5GHz,-180,167deg,-28.5531237333323
272.5GHz,-180,168deg,-28.8710784132312
272.5GHz,-180,169deg,-27.7639552069498
