Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,1.51825880238318
272.5GHz,-180,1deg,0.75721322605507
272.5GHz,-180,2deg,-0.605916955151573
272.5GHz,-180,3deg,-2.63413005009759
272.5GHz,-180,4deg,-5.46108382929106
272.5GHz,-180,5deg,-9.05632309436421
272.5GHz,-180,6deg,-11.3679020998929
272.5GHz,-180,7deg,-9.3342683217548
272.5GHz,-180,8deg,-6.41037625160073
272.5GHz,-180,9deg,-4.2663270153506
272.5GHz,-180,10deg,-2.92312418532753
272.5GHz,-180,11deg,-2.31303941960371
272.5GHz,-180,12deg,-2.41077352957535
272.5GHz,-180,13deg,-3.18102469213985
272.5GHz,-180,14deg,-4.49604803940351
272.5GHz,-180,15deg,-6.03151454601514
272.5GHz,-180,16deg,-7.31984736007414
272.5GHz,-180,17deg,-8.19361499264135
272.5GHz,-180,18deg,-8.94136308996469
272.5GHz,-180,19deg,-9.74707550031118
272.5GHz,-180,20deg,-10.3690669024466
272.5GHz,-180,21deg,-10.5090243389407
272.5GHz,-180,22deg,-10.3704355005835
272.5GHz,-180,23deg,-10.4487604678188
272.5GHz,-180,24deg,-11.1093102387207
272.5GHz,-180,25deg,-12.5291967998263
272.5GHz,-180,26deg,-14.4380399217553
272.5GHz,-180,27deg,-14.9921170322479
272.5GHz,-180,28deg,-12.9443785622359
272.5GHz,-180,29deg,-10.6178750715521
272.5GHz,-180,30deg,-9.22881242558525
272.5GHz,-180,31deg,-8.93985685993776
272.5GHz,-180,32deg,-9.78578110121662
272.5GHz,-180,33deg,-11.8410871019292
272.5GHz,-180,34deg,-14.9390969873491
272.5GHz,-180,35deg,-16.9715308180061
272.5GHz,-180,36deg,-15.6977492714138
272.5GHz,-180,37deg,-14.2582916143452
272.5GHz,-180,38deg,-14.1741724792454
272.5GHz,-180,39deg,-15.5379948787854
272.5GHz,-180,40deg,-17.4442823852475
272.5GHz,-180,41deg,-16.2605680007415
272.5GHz,-180,42deg,-12.7297363957575
272.5GHz,-180,43deg,-9.8465772923803
272.5GHz,-180,44deg,-7.91891300854096
272.5GHz,-180,45deg,-6.73270483639399
272.5GHz,-180,46deg,-6.07000325145868
272.5GHz,-180,47deg,-5.71980292637432
272.5GHz,-180,48deg,-5.47017099744139
272.5GHz,-180,49deg,-5.15737699934843
272.5GHz,-180,50deg,-4.74434587333621
272.5GHz,-180,51deg,-4.32630792237957
272.5GHz,-180,52deg,-4.04796785861388
272.5GHz,-180,53deg,-4.0295188118056
272.5GHz,-180,54deg,-4.34717895831246
272.5GHz,-180,55deg,-5.04175902537349
272.5GHz,-180,56deg,-6.1254506642211
272.5GHz,-180,57deg,-7.56903229926467
272.5GHz,-180,58deg,-9.2500052844042
272.5GHz,-180,59deg,-10.8581459615285
272.5GHz,-180,60deg,-11.9151117170892
272.5GHz,-180,61deg,-12.1972364107181
272.5GHz,-180,62deg,-12.0285411669188
272.5GHz,-180,63deg,-11.8480018946097
272.5GHz,-180,64deg,-11.8704132559325
272.5GHz,-180,65deg,-12.100116959755
272.5GHz,-180,66deg,-12.3868614986626
272.5GHz,-180,67deg,-12.4700119488942
272.5GHz,-180,68deg,-12.1187489545187
272.5GHz,-180,69deg,-11.3286714336839
272.5GHz,-180,70deg,-10.3045649926067
272.5GHz,-180,71deg,-9.26357632627731
272.5GHz,-180,72deg,-8.3319652100295
272.5GHz,-180,73deg,-7.55672891716453
272.5GHz,-180,74deg,-6.94104377347545
272.5GHz,-180,75deg,-6.46809177306354
272.5GHz,-180,76deg,-6.11328563452549
272.5GHz,-180,77deg,-5.85027096615335
272.5GHz,-180,78deg,-5.65416392006439
272.5GHz,-180,79deg,-5.50358696080601
272.5GHz,-180,80deg,-5.38199701714435
272.5GHz,-180,81deg,-5.27832338181592
272.5GHz,-180,82deg,-5.18684320980347
272.5GHz,-180,83deg,-5.10635683847072
272.5GHz,-180,84deg,-5.03890768891196
272.5GHz,-180,85deg,-4.98838027013447
272.5GHz,-180,86deg,-4.95926290835365
272.5GHz,-180,87deg,-4.95573230512011
272.5GHz,-180,88deg,-4.98108558379975
272.5GHz,-180,89deg,-5.03746192216462
272.5GHz,-180,90deg,-5.12576714114456
272.5GHz,-180,91deg,-5.24572362257044
272.5GHz,-180,92deg,-5.39599418530028
272.5GHz,-180,93deg,-5.57435784543498
272.5GHz,-180,94deg,-5.77794012326187
272.5GHz,-180,95deg,-6.00351650253997
272.5GHz,-180,96deg,-6.24791102251518
272.5GHz,-180,97deg,-6.50849875121426
272.5GHz,-180,98deg,-6.78378878797084
272.5GHz,-180,99deg,-7.07401700871185
272.5GHz,-180,100deg,-7.38162732915584
272.5GHz,-180,101deg,-7.71148529546049
272.5GHz,-180,102deg,-8.07066250116871
272.5GHz,-180,103deg,-8.46765207749218
272.5GHz,-180,104deg,-8.9109037003093
272.5GHz,-180,105deg,-9.40658441134778
272.5GHz,-180,106deg,-9.95551360687657
272.5GHz,-180,107deg,-10.5494393652192
272.5GHz,-180,108deg,-11.1675325465674
272.5GHz,-180,109deg,-11.7754583830228
272.5GHz,-180,110deg,-12.3309819705709
272.5GHz,-180,111deg,-12.7987658588478
272.5GHz,-180,112deg,-13.1694259950058
272.5GHz,-180,113deg,-13.4690634315021
272.5GHz,-180,114deg,-13.7491959982693
272.5GHz,-180,115deg,-14.0627136063388
272.5GHz,-180,116deg,-14.4395330338841
272.5GHz,-180,117deg,-14.8707418371102
272.5GHz,-180,118deg,-15.3068759252848
272.5GHz,-180,119deg,-15.6796431719009
272.5GHz,-180,120deg,-15.9482293697219
272.5GHz,-180,121deg,-16.1376053115518
272.5GHz,-180,122deg,-16.323613614612
272.5GHz,-180,123deg,-16.568971499135
272.5GHz,-180,124deg,-16.854119927789
272.5GHz,-180,125deg,-17.046062013563
272.5GHz,-180,126deg,-16.9710887249845
272.5GHz,-180,127deg,-16.6031583313621
272.5GHz,-180,128deg,-16.1499425142182
272.5GHz,-180,129deg,-15.9137713316037
272.5GHz,-180,130deg,-16.1571114529185
272.5GHz,-180,131deg,-17.0918331289125
272.5GHz,-180,132deg,-18.8942600073152
272.5GHz,-180,133deg,-21.477250653422
272.5GHz,-180,134deg,-23.2028820648883
272.5GHz,-180,135deg,-21.9203887829377
272.5GHz,-180,136deg,-20.0463046433534
272.5GHz,-180,137deg,-19.2794063902017
272.5GHz,-180,138deg,-19.9144354663145
272.5GHz,-180,139deg,-22.0748252424358
272.5GHz,-180,140deg,-25.1993967015928
272.5GHz,-180,141deg,-25.3080955262745
272.5GHz,-180,142deg,-22.8598672059031
272.5GHz,-180,143deg,-21.6992165984724
272.5GHz,-180,144deg,-22.3576540239021
272.5GHz,-180,145deg,-24.5834854438893
272.5GHz,-180,146deg,-26.1217128616137
272.5GHz,-180,147deg,-24.4572831583612
272.5GHz,-180,148deg,-22.9995872591728
272.5GHz,-180,149deg,-23.2486268225842
272.5GHz,-180,150deg,-24.4898830339142
272.5GHz,-180,151deg,-23.7869822582073
272.5GHz,-180,152deg,-21.3698670731009
272.5GHz,-180,153deg,-20.0242491219283
272.5GHz,-180,154deg,-20.4886348712065
272.5GHz,-180,155deg,-22.8539794812311
272.5GHz,-180,156deg,-25.3013005283497
272.5GHz,-180,157deg,-23.5712831667871
272.5GHz,-180,158deg,-21.821454356322
272.5GHz,-180,159deg,-22.6591845361851
272.5GHz,-180,160deg,-27.625882343344
272.5GHz,-180,161deg,-30.6504876074366
272.5GHz,-180,162deg,-22.2242289808914
272.5GHz,-180,163deg,-18.6537574094562
272.5GHz,-180,164deg,-17.5767314045104
272.5GHz,-180,165deg,-18.1287724376652
272.5GHz,-180,166deg,-19.714365082799
272.5GHz,-180,167deg,-21.5308519200357
272.5GHz,-180,168deg,-23.0502987860124
272.5GHz,-180,169deg,-24.201290721157
272.5GHz,-180,170deg,-23.7203411015039
272.5GHz,-180,171deg,-21.851152063266
272.5GHz,-180,172deg,-20.9377992278989
272.5GHz,-180,173deg,-22.2164805395345
272.5GHz,-180,174deg,-26.9255686763749
272.5GHz,-180,175deg,-28.7364327450713
272.5GHz,-180,176deg,-22.1435464388121
272.5GHz,-180,177deg,-19.0669189528739
272.5GHz,-180,178deg,-18.235604285634
272.5GHz,-180,179deg,-18.7792484038101
272.5GHz,-180,180deg,-19.995556244402
272.5GHz,-179,0deg,1.51825880238318
272.5GHz,-179,1deg,0.732386455843917
272.5GHz,-179,2deg,-0.651185882810684
272.5GHz,-179,3deg,-2.68758658028693
272.5GHz,-179,4deg,-5.49010172242124
272.5GHz,-179,5deg,-8.98797983272318
272.5GHz,-179,6deg,-11.2504872661593
272.5GHz,-179,7deg,-9.44207804184444
272.5GHz,-179,8deg,-6.63010884164304
272.5GHz,-179,9deg,-4.50572655506903
272.5GHz,-179,10deg,-3.14461431754465
272.5GHz,-179,11deg,-2.49400651112106
272.5GHz,-179,12deg,-2.52764449228006
272.5GHz,-179,13deg,-3.2010344138107
272.5GHz,-179,14deg,-4.37962269385451
272.5GHz,-179,15deg,-5.76670612733165
272.5GHz,-179,16deg,-6.98306541093566
272.5GHz,-179,17deg,-7.91288854516696
272.5GHz,-179,18deg,-8.78560922006715
272.5GHz,-179,19deg,-9.73905073547069
272.5GHz,-179,20deg,-10.5453590054985
272.5GHz,-179,21deg,-10.901583539125
272.5GHz,-179,22deg,-10.9633800286946
272.5GHz,-179,23deg,-11.2121568431867
272.5GHz,-179,24deg,-12.0345769380501
272.5GHz,-179,25deg,-13.6352223737782
272.5GHz,-179,26deg,-15.7566281090933
272.5GHz,-179,27deg,-16.4112153286188
272.5GHz,-179,28deg,-14.3101323401629
272.5GHz,-179,29deg,-12.0112165949125
272.5GHz,-179,30deg,-10.7260455781315
272.5GHz,-179,31deg,-10.6096107482208
272.5GHz,-179,32deg,-11.7528139149782
272.5GHz,-179,33deg,-14.4368741563095
272.5GHz,-179,34deg,-19.1710325007807
272.5GHz,-179,35deg,-22.510847408863
272.5GHz,-179,36deg,-18.6373151055194
272.5GHz,-179,37deg,-16.1044663796261
272.5GHz,-179,38deg,-15.597797884488
272.5GHz,-179,39deg,-16.7096098442723
272.5GHz,-179,40deg,-18.525678363378
272.5GHz,-179,41deg,-17.5557488409546
272.5GHz,-179,42deg,-14.0350254241847
272.5GHz,-179,43deg,-11.0687014376478
272.5GHz,-179,44deg,-9.09196604166207
272.5GHz,-179,45deg,-7.92752070065782
272.5GHz,-179,46deg,-7.38853460972326
272.5GHz,-179,47deg,-7.29487937736027
272.5GHz,-179,48deg,-7.43702894197751
272.5GHz,-179,49deg,-7.58228287977966
272.5GHz,-179,50deg,-7.57004810085383
272.5GHz,-179,51deg,-7.41990381757384
272.5GHz,-179,52deg,-7.29517347126001
272.5GHz,-179,53deg,-7.37000658367014
272.5GHz,-179,54deg,-7.75274886303881
272.5GHz,-179,55deg,-8.47515373826813
272.5GHz,-179,56deg,-9.48822455109917
272.5GHz,-179,57deg,-10.6371055398294
272.5GHz,-179,58deg,-11.6524715066335
272.5GHz,-179,59deg,-12.2766984657174
272.5GHz,-179,60deg,-12.5022217844412
272.5GHz,-179,61deg,-12.5765308181469
272.5GHz,-179,62deg,-12.7631136555191
272.5GHz,-179,63deg,-13.2012445801722
272.5GHz,-179,64deg,-13.885759947729
272.5GHz,-179,65deg,-14.6320935367107
272.5GHz,-179,66deg,-15.0329719942746
272.5GHz,-179,67deg,-14.6725765716472
272.5GHz,-179,68deg,-13.5985917057021
272.5GHz,-179,69deg,-12.2358893821376
272.5GHz,-179,70deg,-10.9229417432078
272.5GHz,-179,71deg,-9.80051168222011
272.5GHz,-179,72deg,-8.89792212282823
272.5GHz,-179,73deg,-8.20081113898827
