Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,2.00134777553084
272.5GHz,-180,1deg,1.59877038260925
272.5GHz,-180,2deg,0.885304334803504
272.5GHz,-180,3deg,-0.0746999368978145
272.5GHz,-180,4deg,-1.20342017286212
272.5GHz,-180,5deg,-2.41918614586972
272.5GHz,-180,6deg,-3.66661859542958
272.5GHz,-180,7deg,-4.95011239051534
272.5GHz,-180,8deg,-6.32177054712824
272.5GHz,-180,9deg,-7.80632932245184
272.5GHz,-180,10deg,-9.31493959213676
272.5GHz,-180,11deg,-10.6364843483226
272.5GHz,-180,12deg,-11.5544229017065
272.5GHz,-180,13deg,-11.9544699581384
272.5GHz,-180,14deg,-11.8337685553893
272.5GHz,-180,15deg,-11.3686476605054
272.5GHz,-180,16deg,-10.8940000542015
272.5GHz,-180,17deg,-10.6974715582622
272.5GHz,-180,18deg,-10.8902731607893
272.5GHz,-180,19deg,-11.395529470739
272.5GHz,-180,20deg,-11.9689989902716
272.5GHz,-180,21deg,-12.3035978875879
272.5GHz,-180,22deg,-12.2684660217054
272.5GHz,-180,23deg,-12.0205935794113
272.5GHz,-180,24deg,-11.8200937096564
272.5GHz,-180,25deg,-11.8414568508035
272.5GHz,-180,26deg,-12.1118185799766
272.5GHz,-180,27deg,-12.4736776799375
272.5GHz,-180,28deg,-12.5811556343146
272.5GHz,-180,29deg,-12.1365142886081
272.5GHz,-180,30deg,-11.2482850627979
272.5GHz,-180,31deg,-10.3020758091461
272.5GHz,-180,32deg,-9.60264538157994
272.5GHz,-180,33deg,-9.29314388092203
272.5GHz,-180,34deg,-9.42129509989647
272.5GHz,-180,35deg,-9.99839599481022
272.5GHz,-180,36deg,-11.0377997187799
272.5GHz,-180,37deg,-12.5839248487806
272.5GHz,-180,38deg,-14.6919087744848
272.5GHz,-180,39deg,-17.0543979417667
272.5GHz,-180,40deg,-17.6780325876793
272.5GHz,-180,41deg,-15.2648344408349
272.5GHz,-180,42deg,-12.3153578346202
272.5GHz,-180,43deg,-9.96720337092631
272.5GHz,-180,44deg,-8.25169006178154
272.5GHz,-180,45deg,-7.04326181295273
272.5GHz,-180,46deg,-6.22786158481511
272.5GHz,-180,47deg,-5.72035723768637
272.5GHz,-180,48deg,-5.46497835165035
272.5GHz,-180,49deg,-5.43451085057767
272.5GHz,-180,50deg,-5.6282203015989
272.5GHz,-180,51deg,-6.06850978933527
272.5GHz,-180,52deg,-6.7980284884429
272.5GHz,-180,53deg,-7.87947147159289
272.5GHz,-180,54deg,-9.39968079720927
272.5GHz,-180,55deg,-11.476859997764
272.5GHz,-180,56deg,-14.249417381853
272.5GHz,-180,57deg,-17.6706223061269
272.5GHz,-180,58deg,-20.3130704774674
272.5GHz,-180,59deg,-19.6828980311999
272.5GHz,-180,60deg,-17.85155849807
272.5GHz,-180,61deg,-16.6825155330231
272.5GHz,-180,62deg,-16.380609790605
272.5GHz,-180,63deg,-16.8768724660749
272.5GHz,-180,64deg,-18.0824576747421
272.5GHz,-180,65deg,-19.7299314618371
272.5GHz,-180,66deg,-20.8472174957949
272.5GHz,-180,67deg,-20.0920124466071
272.5GHz,-180,68deg,-18.0789760455694
272.5GHz,-180,69deg,-16.0727971691501
272.5GHz,-180,70deg,-14.4708675986571
272.5GHz,-180,71deg,-13.2799462816023
272.5GHz,-180,72deg,-12.4316421506934
272.5GHz,-180,73deg,-11.8568256884097
272.5GHz,-180,74deg,-11.4967924468988
272.5GHz,-180,75deg,-11.301859298702
272.5GHz,-180,76deg,-11.2284271369536
272.5GHz,-180,77deg,-11.2368797715841
272.5GHz,-180,78deg,-11.2909042805092
272.5GHz,-180,79deg,-11.3583464853378
272.5GHz,-180,80deg,-11.4132740564282
272.5GHz,-180,81deg,-11.4383459864676
272.5GHz,-180,82deg,-11.4262344769993
272.5GHz,-180,83deg,-11.3791623659657
272.5GHz,-180,84deg,-11.3065617876858
272.5GHz,-180,85deg,-11.2217653790848
272.5GHz,-180,86deg,-11.1388818056971
272.5GHz,-180,87deg,-11.0705960438796
272.5GHz,-180,88deg,-11.0270449602143
272.5GHz,-180,89deg,-11.0155342839625
272.5GHz,-180,90deg,-11.0407552529215
272.5GHz,-180,91deg,-11.1052176396552
272.5GHz,-180,92deg,-11.2097214079665
272.5GHz,-180,93deg,-11.3537793071379
272.5GHz,-180,94deg,-11.5359613328929
272.5GHz,-180,95deg,-11.754164191671
272.5GHz,-180,96deg,-12.0058240255762
272.5GHz,-180,97deg,-12.2880957298057
272.5GHz,-180,98deg,-12.5980207603903
272.5GHz,-180,99deg,-12.9326982481794
272.5GHz,-180,100deg,-13.2894612521851
272.5GHz,-180,101deg,-13.6660417556307
272.5GHz,-180,102deg,-14.0606883327673
272.5GHz,-180,103deg,-14.4721879186951
272.5GHz,-180,104deg,-14.899751003023
272.5GHz,-180,105deg,-15.342762117351
272.5GHz,-180,106deg,-15.8004824428365
272.5GHz,-180,107deg,-16.2719075404881
272.5GHz,-180,108deg,-16.7560831586893
272.5GHz,-180,109deg,-17.2531678201255
272.5GHz,-180,110deg,-17.7662731728967
272.5GHz,-180,111deg,-18.3035456829291
272.5GHz,-180,112deg,-18.8792036914824
272.5GHz,-180,113deg,-19.5115893383354
272.5GHz,-180,114deg,-20.2157886748837
272.5GHz,-180,115deg,-20.9876804870725
272.5GHz,-180,116deg,-21.7764597631317
272.5GHz,-180,117deg,-22.4524785379164
272.5GHz,-180,118deg,-22.8145743839342
272.5GHz,-180,119deg,-22.7072990198317
272.5GHz,-180,120deg,-22.1737125602205
272.5GHz,-180,121deg,-21.422052110181
272.5GHz,-180,122deg,-20.6580479333296
272.5GHz,-180,123deg,-19.999136614603
272.5GHz,-180,124deg,-19.4851741417466
272.5GHz,-180,125deg,-19.1148667216346
272.5GHz,-180,126deg,-18.8782892631851
272.5GHz,-180,127deg,-18.7806188983354
272.5GHz,-180,128deg,-18.8534564451575
272.5GHz,-180,129deg,-19.1501635340801
272.5GHz,-180,130deg,-19.7242889910919
272.5GHz,-180,131deg,-20.5850632544667
272.5GHz,-180,132deg,-21.610686765498
272.5GHz,-180,133deg,-22.4475585872499
272.5GHz,-180,134deg,-22.6763329283053
272.5GHz,-180,135deg,-22.3682411239639
272.5GHz,-180,136deg,-22.0765759190754
272.5GHz,-180,137deg,-22.2860278021668
272.5GHz,-180,138deg,-23.2328077145232
272.5GHz,-180,139deg,-24.8362175553905
272.5GHz,-180,140deg,-26.2322552253243
272.5GHz,-180,141deg,-26.0474614031421
272.5GHz,-180,142deg,-24.9738870114581
272.5GHz,-180,143deg,-24.4900306586591
272.5GHz,-180,144deg,-25.1589486445234
272.5GHz,-180,145deg,-27.0303532330053
272.5GHz,-180,146deg,-29.159197654241
272.5GHz,-180,147deg,-28.9073136745787
272.5GHz,-180,148deg,-27.0047342559663
272.5GHz,-180,149deg,-25.5085247909568
272.5GHz,-180,150deg,-24.4506907833274
272.5GHz,-180,151deg,-23.417597682152
272.5GHz,-180,152deg,-22.4624485386506
272.5GHz,-180,153deg,-22.0137519895457
272.5GHz,-180,154deg,-22.4235617570628
272.5GHz,-180,155deg,-23.7821929882861
272.5GHz,-180,156deg,-25.6215366846333
272.5GHz,-180,157deg,-26.6760608340689
272.5GHz,-180,158deg,-26.9462305505783
272.5GHz,-180,159deg,-28.3442947159598
272.5GHz,-180,160deg,-32.7886078094309
272.5GHz,-180,161deg,-33.8424721518321
272.5GHz,-180,162deg,-27.0344947260705
272.5GHz,-180,163deg,-23.6264590987766
272.5GHz,-180,164deg,-22.5608142875179
272.5GHz,-180,165deg,-23.3014019728952
272.5GHz,-180,166deg,-25.6682445453178
272.5GHz,-180,167deg,-29.2378285988847
272.5GHz,-180,168deg,-32.4004663345379
272.5GHz,-180,169deg,-33.962245537652
272.5GHz,-180,170deg,-32.5580515042786
272.5GHz,-180,171deg,-28.5639160032495
272.5GHz,-180,172deg,-25.8489808781271
272.5GHz,-180,173deg,-25.1847401717564
272.5GHz,-180,174deg,-26.2459548381908
272.5GHz,-180,175deg,-26.2982303152505
272.5GHz,-180,176deg,-22.9272168065502
272.5GHz,-180,177deg,-19.8221337847029
272.5GHz,-180,178deg,-18.1372069756918
272.5GHz,-180,179deg,-17.710230166747
272.5GHz,-180,180deg,-18.2887800042202
272.5GHz,-179,0deg,2.00134777553084
272.5GHz,-179,1deg,1.57613937066649
272.5GHz,-179,2deg,0.840954930218111
272.5GHz,-179,3deg,-0.138897536972548
272.5GHz,-179,4deg,-1.28314270104026
272.5GHz,-179,5deg,-2.50750250167778
272.5GHz,-179,6deg,-3.75642163381872
272.5GHz,-179,7deg,-5.0373753411027
272.5GHz,-179,8deg,-6.40534437704437
272.5GHz,-179,9deg,-7.8821815921618
272.5GHz,-179,10deg,-9.36557910535417
272.5GHz,-179,11deg,-10.622596120503
272.5GHz,-179,12deg,-11.4311632038968
272.5GHz,-179,13deg,-11.7179428950475
272.5GHz,-179,14deg,-11.5427324198538
272.5GHz,-179,15deg,-11.0945854458384
272.5GHz,-179,16deg,-10.6639491007363
272.5GHz,-179,17deg,-10.4992739780075
272.5GHz,-179,18deg,-10.7081686838969
272.5GHz,-179,19deg,-11.2493675490763
272.5GHz,-179,20deg,-11.9573976901149
272.5GHz,-179,21deg,-12.6057600406667
272.5GHz,-179,22deg,-13.03405928332
272.5GHz,-179,23deg,-13.2430698690403
272.5GHz,-179,24deg,-13.3353178405477
272.5GHz,-179,25deg,-13.3848159665016
272.5GHz,-179,26deg,-13.3738915723043
272.5GHz,-179,27deg,-13.2281145043454
272.5GHz,-179,28deg,-12.9179916860335
272.5GHz,-179,29deg,-12.5253890357638
272.5GHz,-179,30deg,-12.1970153009543
272.5GHz,-179,31deg,-12.0591216946681
272.5GHz,-179,32deg,-12.1804115325768
272.5GHz,-179,33deg,-12.5759864922563
272.5GHz,-179,34deg,-13.2220453858933
272.5GHz,-179,35deg,-14.080689627668
272.5GHz,-179,36deg,-15.1537630370528
272.5GHz,-179,37deg,-16.5551758322065
272.5GHz,-179,38deg,-18.4955903252223
272.5GHz,-179,39deg,-20.6861644238604
272.5GHz,-179,40deg,-20.3019456905823
272.5GHz,-179,41deg,-16.7390314138335
272.5GHz,-179,42deg,-13.3276611431324
272.5GHz,-179,43deg,-10.8253235683956
272.5GHz,-179,44deg,-9.12583874363845
272.5GHz,-179,45deg,-8.08908089613982
272.5GHz,-179,46deg,-7.61826391864
272.5GHz,-179,47deg,-7.65115492648147
272.5GHz,-179,48deg,-8.14735821451772
272.5GHz,-179,49deg,-9.07559251610272
272.5GHz,-179,50deg,-10.3943434370666
272.5GHz,-179,51deg,-12.0127146879679
272.5GHz,-179,52deg,-13.7162821032717
272.5GHz,-179,53deg,-15.1019897577349
272.5GHz,-179,54deg,-15.7476220318176
272.5GHz,-179,55deg,-15.6329895855915
272.5GHz,-179,56deg,-15.1158394915695
272.5GHz,-179,57deg,-14.529151503903
272.5GHz,-179,58deg,-14.056091165636
272.5GHz,-179,59deg,-13.7954357812345
272.5GHz,-179,60deg,-13.8136870339779
272.5GHz,-179,61deg,-14.1602641344865
272.5GHz,-179,62deg,-14.8623352074221
272.5GHz,-179,63deg,-15.8964449786851
272.5GHz,-179,64deg,-17.1077613897342
272.5GHz,-179,65deg,-18.0723108257818
272.5GHz,-179,66deg,-18.1922715083119
272.5GHz,-179,67deg,-17.3694262001305
272.5GHz,-179,68deg,-16.1332122576034
272.5GHz,-179,69deg,-14.9444732750371
272.5GHz,-179,70deg,-13.9803656674581
272.5GHz,-179,71deg,-13.2666545228632
272.5GHz,-179,72deg,-12.7765871534494
272.5GHz,-179,73deg,-12.4696272434389
272.5GHz,-179,74deg,-12.3041560984837
272.5GHz,-179,75deg,-12.2413367028982
272.5GHz,-179,76deg,-12.246304525314
272.5GHz,-179,77deg,-12.2887434921629
272.5GHz,-179,78deg,-12.3434923462292
272.5GHz,-179,79deg,-12.3912719594111
272.5GHz,-179,80deg,-12.4193315052627
272.5GHz,-179,81deg,-12.4216708240185
272.5GHz,-179,82deg,-12.3985522609713
272.5GHz,-179,83deg,-12.3552602542103
272.5GHz,-179,84deg,-12.3003614408846
272.5GHz,-179,85deg,-12.2438808734425
272.5GHz,-179,86deg,-12.1957675524301
272.5GHz,-179,87deg,-12.164846144223
272.5GHz,-179,88deg,-12.1582660376638
272.5GHz,-179,89deg,-12.1813431166028
272.5GHz,-179,90deg,-12.237653917448
272.5GHz,-179,91deg,-12.3292579356076
272.5GHz,-179,92deg,-12.4569597329869
272.5GHz,-179,93deg,-12.6205580177269
272.5GHz,-179,94deg,-12.8190560238676
272.5GHz,-179,95deg,-13.0508255108021
272.5GHz,-179,96deg,-13.313727433668
272.5GHz,-179,97deg,-13.6051978779113
272.5GHz,-179,98deg,-13.92230947777
272.5GHz,-179,99deg,-14.2618167434811
272.5GHz,-179,100deg,-14.6201889404184
272.5GHz,-179,101deg,-14.9936281181826
272.5GHz,-179,102deg,-15.3780673161947
272.5GHz,-179,103deg,-15.7691537590799
272.5GHz,-179,104deg,-16.1622553899564
272.5GHz,-179,105deg,-16.55259263013
272.5GHz,-179,106deg,-16.9356761517083
272.5GHz,-179,107deg,-17.308271275816
272.5GHz,-179,108deg,-17.6700158575894
272.5GHz,-179,109deg,-18.0255112589888
272.5GHz,-179,110deg,-18.3862329324739
272.5GHz,-179,111deg,-18.7712018857562
272.5GHz,-179,112deg,-19.2052582792412
272.5GHz,-179,113deg,-19.7138521632014
272.5GHz,-179,114deg,-20.3129282651293
272.5GHz,-179,115deg,-20.9914858797577
272.5GHz,-179,116deg,-21.6853691339234
272.5GHz,-179,117deg,-22.2543789245878
272.5GHz,-179,118deg,-22.5113121668251
272.5GHz,-179,119deg,-22.34841143063
