Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,-0.847478279163709
272.5GHz,-180,1deg,-0.678902077751804
272.5GHz,-180,2deg,-0.874648817647675
272.5GHz,-180,3deg,-1.46338695771127
272.5GHz,-180,4deg,-2.46468307679875
272.5GHz,-180,5deg,-3.89883283092776
272.5GHz,-180,6deg,-5.80801283134027
272.5GHz,-180,7deg,-8.29555203799712
272.5GHz,-180,8deg,-11.583262430718
272.5GHz,-180,9deg,-15.8411754597455
272.5GHz,-180,10deg,-18.0687900307369
272.5GHz,-180,11deg,-14.4447798010324
272.5GHz,-180,12deg,-10.7819909480086
272.5GHz,-180,13deg,-8.23117035364019
272.5GHz,-180,14deg,-6.53013954168565
272.5GHz,-180,15deg,-5.47340635603613
272.5GHz,-180,16deg,-4.91416816554546
272.5GHz,-180,17deg,-4.7219256550881
272.5GHz,-180,18deg,-4.77439340505242
272.5GHz,-180,19deg,-4.97816433708839
272.5GHz,-180,20deg,-5.293756186218
272.5GHz,-180,21deg,-5.73324679031934
272.5GHz,-180,22deg,-6.33045161770912
272.5GHz,-180,23deg,-7.11611872489468
272.5GHz,-180,24deg,-8.11738708399772
272.5GHz,-180,25deg,-9.36848879799653
272.5GHz,-180,26deg,-10.9109237297231
272.5GHz,-180,27deg,-12.7838951021963
272.5GHz,-180,28deg,-15.0241089479968
272.5GHz,-180,29deg,-17.568156260248
272.5GHz,-180,30deg,-19.3080289433345
272.5GHz,-180,31deg,-17.725130298341
272.5GHz,-180,32deg,-14.4732027777712
272.5GHz,-180,33deg,-11.7620721761473
272.5GHz,-180,34deg,-9.92110243959156
272.5GHz,-180,35deg,-8.85682964999258
272.5GHz,-180,36deg,-8.43264154584677
272.5GHz,-180,37deg,-8.49696435740704
272.5GHz,-180,38deg,-8.85803486603928
272.5GHz,-180,39deg,-9.25663087071277
272.5GHz,-180,40deg,-9.39335456143382
272.5GHz,-180,41deg,-9.08328370530856
272.5GHz,-180,42deg,-8.41809429192389
272.5GHz,-180,43deg,-7.68299730422979
272.5GHz,-180,44deg,-7.15130601863928
272.5GHz,-180,45deg,-7.00044174812955
272.5GHz,-180,46deg,-7.32796402456492
272.5GHz,-180,47deg,-8.17739116448078
272.5GHz,-180,48deg,-9.53108392080915
272.5GHz,-180,49deg,-11.2334033560623
272.5GHz,-180,50deg,-12.8229349231446
272.5GHz,-180,51deg,-13.5860576226476
272.5GHz,-180,52deg,-13.3432694710829
272.5GHz,-180,53deg,-12.6439899738287
272.5GHz,-180,54deg,-11.9318738006676
272.5GHz,-180,55deg,-11.3321368049686
272.5GHz,-180,56deg,-10.849065418655
272.5GHz,-180,57deg,-10.4891934406671
272.5GHz,-180,58deg,-10.2819421307617
272.5GHz,-180,59deg,-10.255588423492
272.5GHz,-180,60deg,-10.4089878102628
272.5GHz,-180,61deg,-10.6907425363247
272.5GHz,-180,62deg,-10.9874933029289
272.5GHz,-180,63deg,-11.1383813638961
272.5GHz,-180,64deg,-11.0030590228448
272.5GHz,-180,65deg,-10.5529768320194
272.5GHz,-180,66deg,-9.88348054417368
272.5GHz,-180,67deg,-9.13314923362748
272.5GHz,-180,68deg,-8.41140102413246
272.5GHz,-180,69deg,-7.7811499663332
272.5GHz,-180,70deg,-7.27065416489102
272.5GHz,-180,71deg,-6.88834688100421
272.5GHz,-180,72deg,-6.63269491700754
272.5GHz,-180,73deg,-6.49745853300774
272.5GHz,-180,74deg,-6.47416379911245
272.5GHz,-180,75deg,-6.55313771878881
272.5GHz,-180,76deg,-6.72387693207283
272.5GHz,-180,77deg,-6.97514729223659
272.5GHz,-180,78deg,-7.2950124661263
272.5GHz,-180,79deg,-7.67089464477228
272.5GHz,-180,80deg,-8.08972828259286
272.5GHz,-180,81deg,-8.53824614987992
272.5GHz,-180,82deg,-9.00341568984043
272.5GHz,-180,83deg,-9.47301175105834
272.5GHz,-180,84deg,-9.93626856956877
272.5GHz,-180,85deg,-10.3845108349918
272.5GHz,-180,86deg,-10.8116413080813
272.5GHz,-180,87deg,-11.214379247508
272.5GHz,-180,88deg,-11.5922015886568
272.5GHz,-180,89deg,-11.9470160489995
272.5GHz,-180,90deg,-12.2826581181735
272.5GHz,-180,91deg,-12.6043263082072
272.5GHz,-180,92deg,-12.9180483653475
272.5GHz,-180,93deg,-13.2302212340512
272.5GHz,-180,94deg,-13.5472110600766
272.5GHz,-180,95deg,-13.8749516411526
272.5GHz,-180,96deg,-14.2184460885494
272.5GHz,-180,97deg,-14.5810583511606
272.5GHz,-180,98deg,-14.9634863257852
272.5GHz,-180,99deg,-15.36236522927
272.5GHz,-180,100deg,-15.7686243283245
272.5GHz,-180,101deg,-16.166110139773
272.5GHz,-180,102deg,-16.5316304564486
272.5GHz,-180,103deg,-16.8381513776916
272.5GHz,-180,104deg,-17.0623987891451
272.5GHz,-180,105deg,-17.1954714589667
272.5GHz,-180,106deg,-17.2513599009165
272.5GHz,-180,107deg,-17.2677770237111
