Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,0deg,3.11621516059355
272.5GHz,-180,1deg,3.19030342848485
272.5GHz,-180,2deg,3.09771024365642
272.5GHz,-180,3deg,2.80618383232381
272.5GHz,-180,4deg,2.2881883801678
272.5GHz,-180,5deg,1.52799657285818
272.5GHz,-180,6deg,0.525742973185222
272.5GHz,-180,7deg,-0.703306046107439
272.5GHz,-180,8deg,-2.13690779483162
272.5GHz,-180,9deg,-3.76364819144732
272.5GHz,-180,10deg,-5.60841879943916
272.5GHz,-180,11deg,-7.75547909000372
272.5GHz,-180,12deg,-10.3402655373211
272.5GHz,-180,13deg,-13.3628481861552
272.5GHz,-180,14deg,-15.7007726072813
272.5GHz,-180,15deg,-15.0512091588072
272.5GHz,-180,16deg,-12.9212860407016
272.5GHz,-180,17deg,-11.2665417473824
272.5GHz,-180,18deg,-10.3846280034937
272.5GHz,-180,19deg,-10.176080798289
272.5GHz,-180,20deg,-10.4959723057529
272.5GHz,-180,21deg,-11.1934401306128
272.5GHz,-180,22deg,-12.1237281680834
272.5GHz,-180,23deg,-13.1789975311259
272.5GHz,-180,24deg,-14.3208746368783
272.5GHz,-180,25deg,-15.5700458144292
272.5GHz,-180,26deg,-16.9158646703931
272.5GHz,-180,27deg,-18.1131094930029
272.5GHz,-180,28deg,-18.5087994265004
272.5GHz,-180,29deg,-17.66056248188
272.5GHz,-180,30deg,-16.1121938618703
272.5GHz,-180,31deg,-14.5683735954306
272.5GHz,-180,32deg,-13.3149367560839
272.5GHz,-180,33deg,-12.3864366620594
272.5GHz,-180,34deg,-11.7317913822554
272.5GHz,-180,35deg,-11.2755096114041
272.5GHz,-180,36deg,-10.9407902298467
272.5GHz,-180,37deg,-10.6716833485802
272.5GHz,-180,38deg,-10.4583275449799
272.5GHz,-180,39deg,-10.3451492599256
272.5GHz,-180,40deg,-10.409543040936
272.5GHz,-180,41deg,-10.7275979132782
272.5GHz,-180,42deg,-11.3498627961057
272.5GHz,-180,43deg,-12.2942703429054
272.5GHz,-180,44deg,-13.555306597403
272.5GHz,-180,45deg,-15.1329288746535
272.5GHz,-180,46deg,-17.085606942708
272.5GHz,-180,47deg,-19.6026741965477
272.5GHz,-180,48deg,-23.093647347832
272.5GHz,-180,49deg,-28.0791381137124
