time,scenario,motion_type,x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,vx_tx,vy_tx,vz_tx,vx_rx,vy_rx,vz_rx,distance,velocity,acceleration,los_angle_tx,los_angle_rx,los_ele_tx,los_ele_rx,velocity_angle,mobility_factor,phi_tx_optimal,theta_tx_optimal,phi_rx_optimal,theta_rx_optimal
0,1,real,23.1279155452584,17.4923837095398,2.18262683295015,10.9738990717196,25,2,0.2449075583317,-0.501471700535913,0,0.102590984453345,2.3167372582336,0,14.2869790846053,2.821800089037,0,148.296100652362,-31.7038993476376,90.7324173762103,89.2675826237897,-87.1090794415892,0.188205131027381,148.296100652362,90.7324173762103,328.296100652362,89.2675826237897
0.1,1,real,23.1523075073625,17.4357189701273,2.17961185175082,10.9915079501392,25,2.00199056270364,0.243919621040389,-0.566647394124469,-0.0301498119932881,0.17608878419665,-1.88989126712458,0.0199056270363539,14.3225326912587,1.32592643718862,-1.49587365184838,148.117492010949,-31.882507989051,90.7105734242052,89.2894265757948,87.065528129936,0.164191800482352,148.117492010949,90.7105734242052,328.117492010949,89.2894265757948
0.2,1,real,23.1749382781723,17.369988571096,2.16942335327241,11.0174087711441,24.8173181861576,2.00603858423752,0.226307708098773,-0.657303990313132,-0.101884984784106,0.259008210048123,-1.82681813842396,0.0404802153388469,14.258153340892,1.17860108419481,-0.147325352993815,148.509642402615,-31.4903575973845,90.6565690774431,89.3434309225569,91.601616123027,0.167001220944378,148.509642402615,90.6565690774431,328.509642402615,89.3434309225569
0.3,1,real,23.1936482995622,17.2952393192567,2.14504644206875,11.0500495011111,24.6392194215685,2.01120393246759,0.187100213898635,-0.7474925183931,-0.243769112036567,0.326407299670644,-1.78098764589108,0.051653482300742,14.1922143916399,1.08387875334529,-0.0947223308495133,148.836069553058,-31.1639304469418,90.5403472907365,89.4596527092635,97.6767546985789,0.172429140812043,148.836069553058,90.5403472907365,328.836069553058,89.4596527092635
0.4,1,real,23.2054947440453,17.2132886408979,2.09322156524582,11.0824249870175,24.4575499379219,2.01334033391937,0.118464444831578,-0.819506783587464,-0.518248768229278,0.323754859063414,-1.81669483646644,0.0213640145177604,14.1228369347111,1.15226304387672,0.0683842905314254,149.139150431647,-30.8608495683526,90.3240766598712,89.6759233401288,101.632916961203,0.186623484899298,149.139150431647,90.3240766598712,329.139150431647,89.6759233401288
0.5,1,real,23.2091741403838,17.126302582892,2.00762054327565,11.110792497151,24.268086964073,2.01023674746543,0.0367939633840692,-0.869860580059742,-0.856010219701725,0.283675101334917,-1.89462973848855,-0.0310358645394351,14.049054394411,1.33853831137485,0.186275267498133,149.446261224885,-30.5537387751154,89.9893304235946,90.0106695764054,103.545233973222,0.208449570745721,149.446261224885,89.9893304235946,329.446261224885,90.0106695764054
0.6,1,real,23.2064238803321,17.0371130660016,2,11.1387984264661,24.0865888826006,2.00441679968992,-0.0275026005167703,-0.891895168903492,0.869425679426497,0.280059293151252,-1.8149808147238,-0.0581994777550171,13.9757902421197,1.34431018005227,0.00577186867742241,149.708053102003,-30.2919468979974,89.9818926886412,90.0181073113588,108.42750077445,0.205880935940473,149.708053102003,89.9818926886412,329.708053102003,90.0181073113588
0.7,1,real,23.2000844394209,16.9480909802215,2.07832135656285,11.1709770907666,23.9326513445685,2,-0.0633944091118908,-0.890220857800756,0.783213565628525,0.321786643005479,-1.53937538032146,0.0431853044197571,13.9100554033242,1.05707514605491,-0.287235033997365,149.858908724337,-30.1410912756626,90.3226088436209,89.6773911563791,120.683115426128,0.18515346034565,149.858908724337,90.3226088436209,329.858908724337,89.6773911563791
0.8,1,real,23.1923671115175,16.8594600257443,2.15230365394241,11.204765333801,23.8044502864657,2.00299992541788,-0.0771732790339672,-0.88630954477217,0.739822973795592,0.337882430343238,-1.28201058102753,0.0299992541787861,13.8548828109796,0.91252411744064,-0.144551028614268,149.914238315452,-30.0857616845484,90.6174457917727,89.3825542082273,136.367525467789,0.167164555652236,149.914238315452,90.6174457917727,329.914238315452,89.3825542082273
0.9,1,real,23.1853648504589,16.7712025784848,2.22394466853522,11.2300719845094,23.6880924267259,2,-0.0700226105860275,-0.882574472595611,0.716410145928107,0.253066507084222,-1.16357859739845,0.0415321593820261,13.8138533327196,0.79925602458639,-0.11326809285425,149.947915025227,-30.0520849747726,90.9288969663003,89.0711030336997,138.985151016898,0.157312244236492,149.947915025227,90.9288969663003,329.947915025227,89.0711030336997
1,1,real,23.1798937436103,16.683314899276,2.29421796746668,11.2427482601432,23.5741270904761,2,-0.0547110684857577,-0.878876792087512,0.702732989314617,0.126762756338359,-1.13965336249721,0.0545266735164023,13.786417198106,0.721878519289523,-0.0773775052968677,150.003967065506,-29.9960329344941,91.2228505360312,88.7771494639688,124.833969392204,0.153829543428511,150.003967065506,91.2228505360312,330.003967065506,88.7771494639688
1.1,1,real,23.1760682181995,16.5958953731076,2.36367070206253,11.248598794656,23.4579591642476,2,-0.0382552541084551,-0.874195261683954,0.69452734595846,0.0585053451278944,-1.16167926228598,0.00303700106091029,13.765344263867,0.755095067692312,0.0332165484027892,150.087494030728,-29.9125059692724,91.5138902932351,88.4861097067649,108.60206663539,0.154437082980063,150.087494030728,91.5138902932351,330.087494030728,88.4861097067649
